	2A01S2	2A12B3	2A12S2	2A12S3	2B01S2	2B02S1	2B02S2	2B03B1	2B03B2	2B03B3	2B03S1	2B03S2	301B1	301S1	301S2	301S3	302S1	303S2	M01S1	M01S2	M01S3	M02S1	M04S1	M04S2	M04S3	M06S2	M06S3	M07S1	M07S2	M08B1	M08S2	M08S3	M11S1	M11S2	M11S3	M15S1	M15S2	M15S3	M16S3	M19S1	M19S2	M19S3	M20B1	M20B2	M20B3	M22S1	M22S2	M24S1	M24S2	M26S1	M26S2	M28S1	M28S2	M28S3	M30B1	M30B2	M30B3	M30S1	M30S2	M32B1	M32B3	M32S2	M32S3	PCR_blank_002
M19S1	0.7966666666666666	1.0	0.8933333333333333	1.0	0.8913333333333333	1.0	1.0	1.0	1.0	1.0	0.9866666666666667	1.0	0.9966666666666667	1.0	0.512	1.0	0.9986666666666667	1.0	0.5986666666666667	0.52	0.5213333333333333	1.0	0.9993333333333333	1.0	0.514	0.8913333333333333	0.7613333333333333	0.5053333333333333	0.5133333333333333	0.5193333333333333	0.664	0.57	0.5853333333333334	0.5926666666666667	0.5133333333333333	0.7906666666666666	0.5093333333333333	0.998	0.516	0.0	1.0	0.5433333333333333	0.982	1.0	1.0	0.578	1.0	0.8926666666666667	0.9973333333333333	0.892	1.0	0.8913333333333333	1.0	0.8926666666666667	0.986	0.9393333333333334	0.8933333333333333	0.9846666666666667	1.0	0.8886666666666667	0.9906666666666667	1.0	1.0	1.0
M19S2	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.9993333333333333	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.708	1.0	1.0	1.0	1.0	0.9993333333333333	1.0	1.0	1.0	1.0	0.684	0.4866666666666667	1.0	1.0	0.8573333333333333	1.0	0.4	1.0	1.0	0.0	0.6093333333333333	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.214	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
M19S3	0.7913333333333333	0.9986666666666667	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.522	0.9986666666666667	1.0	1.0	0.578	0.5326666666666666	0.52	0.7066666666666667	1.0	1.0	0.528	1.0	0.754	0.5273333333333333	0.5286666666666666	0.532	0.6613333333333333	0.24066666666666667	0.24	0.59	0.5153333333333333	0.6466666666666666	0.53	0.606	0.5206666666666667	0.5433333333333333	0.6093333333333333	0.0	1.0	1.0	1.0	0.574	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.566	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
M20B1	1.0	0.9766666666666667	0.9826666666666667	1.0	0.982	1.0	1.0	0.10466666666666667	0.272	1.0	0.9866666666666667	0.15066666666666667	0.9966666666666667	1.0	1.0	1.0	0.11666666666666667	1.0	1.0	1.0	0.6253333333333333	1.0	0.9993333333333333	1.0	1.0	0.982	0.43666666666666665	0.998	1.0	1.0	1.0	1.0	0.982	0.9993333333333333	1.0	0.43266666666666664	0.9986666666666667	0.998	1.0	0.982	1.0	1.0	0.0	1.0	1.0	0.996	1.0	0.982	0.9973333333333333	0.982	1.0	0.982	0.14733333333333334	0.982	0.986	0.9846666666666667	0.9826666666666667	0.9846666666666667	1.0	0.98	0.9906666666666667	1.0	0.15666666666666668	0.9986666666666667
M20B2	1.0	1.0	1.0	1.0	1.0	1.0	0.5173333333333333	1.0	1.0	1.0	1.0	1.0	0.5	1.0	1.0	1.0	1.0	1.0	0.8353333333333334	0.878	1.0	0.8813333333333333	0.8453333333333334	0.8373333333333334	1.0	1.0	0.9153333333333333	1.0	1.0	1.0	0.742	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	1.0	0.558	1.0	1.0	0.642	1.0	0.894	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.9053333333333333	1.0
M20B3	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	1.0	0.49533333333333335	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.314	1.0	1.0	1.0	1.0	1.0	1.0
M22S1	0.794	1.0	0.996	1.0	0.996	1.0	0.558	1.0	1.0	1.0	0.996	1.0	0.5473333333333333	1.0	0.574	1.0	0.9986666666666667	1.0	0.5993333333333334	0.5733333333333334	0.578	1.0	0.9993333333333333	1.0	0.5753333333333334	0.996	0.7566666666666667	0.5686666666666667	0.5773333333333334	0.5693333333333334	0.4093333333333333	0.582	0.6286666666666667	0.5993333333333334	0.572	0.792	0.5726666666666667	0.998	0.5766666666666667	0.578	1.0	0.574	0.996	0.558	1.0	0.0	1.0	0.996	0.6433333333333333	0.996	1.0	0.996	1.0	0.996	0.996	0.9526666666666667	0.996	0.996	1.0	0.996	0.996	1.0	0.9053333333333333	1.0
M22S2	0.974	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.972	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.49533333333333335	1.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.49133333333333334	1.0	1.0	1.0	1.0	1.0	1.0
M24S1	1.0	1.0	0.49733333333333335	1.0	0.16266666666666665	1.0	1.0	1.0	1.0	0.988	0.9866666666666667	1.0	0.996	1.0	1.0	0.9886666666666667	0.9986666666666667	1.0	1.0	1.0	1.0	1.0	0.9993333333333333	1.0	1.0	0.30933333333333335	1.0	0.998	1.0	1.0	1.0	1.0	0.9566666666666667	0.9993333333333333	1.0	0.9993333333333333	0.9986666666666667	0.998	1.0	0.8926666666666667	1.0	1.0	0.982	1.0	1.0	0.996	1.0	0.0	0.9973333333333333	0.16866666666666666	1.0	0.17066666666666666	1.0	0.348	0.986	0.9846666666666667	0.826	0.9846666666666667	0.9973333333333333	0.4186666666666667	0.9906666666666667	1.0	1.0	1.0
M24S2	1.0	1.0	0.9973333333333333	1.0	0.992	1.0	0.64	1.0	1.0	1.0	0.9973333333333333	1.0	0.6333333333333333	1.0	1.0	1.0	0.9986666666666667	1.0	1.0	1.0	1.0	1.0	0.9993333333333333	1.0	1.0	0.9973333333333333	1.0	0.998	1.0	1.0	0.7433333333333333	1.0	0.9973333333333333	0.9993333333333333	1.0	0.9993333333333333	0.9986666666666667	0.998	1.0	0.9973333333333333	1.0	1.0	0.9973333333333333	0.642	1.0	0.6433333333333333	1.0	0.9973333333333333	0.0	0.9973333333333333	1.0	0.9973333333333333	1.0	0.9973333333333333	0.9973333333333333	0.9973333333333333	0.9973333333333333	0.9973333333333333	1.0	0.9973333333333333	0.9973333333333333	1.0	0.9053333333333333	1.0
M26S1	1.0	0.992	0.47	1.0	0.134	1.0	1.0	1.0	1.0	0.9926666666666667	0.9866666666666667	1.0	0.996	0.9926666666666667	1.0	0.9926666666666667	0.9986666666666667	1.0	1.0	1.0	1.0	1.0	0.9993333333333333	1.0	1.0	0.31266666666666665	1.0	0.998	1.0	1.0	1.0	1.0	0.9573333333333334	0.9993333333333333	1.0	0.9993333333333333	0.9986666666666667	0.998	1.0	0.892	1.0	1.0	0.982	1.0	1.0	0.996	1.0	0.16866666666666666	0.9973333333333333	0.0	1.0	0.09333333333333334	1.0	0.3466666666666667	0.986	0.9813333333333333	0.8206666666666667	0.9846666666666667	1.0	0.38533333333333336	0.9906666666666667	1.0	1.0	1.0
M26S2	1.0	1.0	1.0	0.188	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.9433333333333334	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.9193333333333333	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.894	1.0	1.0	1.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.9993333333333333	1.0	1.0	1.0	1.0
M28S1	1.0	0.9986666666666667	0.4746666666666667	1.0	0.10866666666666666	1.0	1.0	1.0	1.0	0.9973333333333333	0.9866666666666667	1.0	0.9953333333333333	0.9986666666666667	1.0	0.9993333333333333	0.9986666666666667	1.0	1.0	1.0	1.0	1.0	0.9993333333333333	1.0	1.0	0.30466666666666664	1.0	0.998	1.0	1.0	0.9993333333333333	1.0	0.9573333333333334	0.9993333333333333	0.9993333333333333	0.9993333333333333	0.9966666666666667	0.998	1.0	0.8913333333333333	1.0	1.0	0.982	1.0	1.0	0.996	1.0	0.17066666666666666	0.9973333333333333	0.09333333333333334	1.0	0.0	1.0	0.3373333333333333	0.986	0.984	0.8313333333333334	0.9846666666666667	1.0	0.394	0.9906666666666667	1.0	1.0	1.0
M28S2	1.0	0.9766666666666667	1.0	1.0	1.0	1.0	1.0	0.15133333333333332	0.2753333333333333	1.0	1.0	0.15666666666666668	1.0	1.0	1.0	1.0	0.156	1.0	1.0	1.0	0.626	1.0	1.0	1.0	1.0	1.0	0.43733333333333335	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.43333333333333335	1.0	1.0	1.0	1.0	1.0	1.0	0.14733333333333334	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.16533333333333333	0.9986666666666667
M28S3	1.0	1.0	0.5013333333333333	1.0	0.348	1.0	1.0	1.0	1.0	0.998	0.9866666666666667	1.0	0.996	1.0	1.0	1.0	0.9986666666666667	1.0	1.0	1.0	1.0	1.0	0.9993333333333333	1.0	1.0	0.338	1.0	0.998	1.0	1.0	0.9993333333333333	1.0	0.9573333333333334	0.9993333333333333	0.9993333333333333	0.9993333333333333	0.9966666666666667	0.998	1.0	0.8926666666666667	1.0	1.0	0.982	1.0	1.0	0.996	1.0	0.348	0.9973333333333333	0.3466666666666667	1.0	0.3373333333333333	1.0	0.0	0.986	0.9846666666666667	0.832	0.9846666666666667	1.0	0.4226666666666667	0.9906666666666667	1.0	1.0	1.0
M30B1	1.0	1.0	0.986	1.0	0.986	1.0	1.0	1.0	1.0	1.0	0.9873333333333333	1.0	0.9966666666666667	1.0	1.0	1.0	0.9986666666666667	1.0	1.0	1.0	1.0	1.0	0.9993333333333333	1.0	1.0	0.9853333333333333	1.0	0.998	1.0	1.0	1.0	1.0	0.986	0.9993333333333333	1.0	0.9993333333333333	0.9986666666666667	0.998	1.0	0.986	1.0	1.0	0.986	1.0	1.0	0.996	1.0	0.986	0.9973333333333333	0.986	1.0	0.986	1.0	0.986	0.0	0.986	0.986	0.986	1.0	0.984	0.9906666666666667	1.0	1.0	1.0
M30B2	0.9566666666666667	1.0	0.9846666666666667	1.0	0.9846666666666667	1.0	1.0	1.0	1.0	1.0	0.9873333333333333	1.0	0.9966666666666667	1.0	0.9553333333333334	1.0	0.9986666666666667	1.0	0.956	0.9546666666666667	0.956	0.7033333333333334	0.9993333333333333	1.0	0.9553333333333334	0.9846666666666667	0.9566666666666667	0.9533333333333334	0.956	0.9553333333333334	0.956	0.6433333333333333	0.42533333333333334	0.954	0.9553333333333334	0.812	0.9546666666666667	0.39	0.956	0.9393333333333334	0.214	0.566	0.9846666666666667	1.0	1.0	0.9526666666666667	1.0	0.9846666666666667	0.9973333333333333	0.9813333333333333	1.0	0.984	1.0	0.9846666666666667	0.986	0.0	0.9846666666666667	0.9846666666666667	1.0	0.9813333333333333	0.9906666666666667	1.0	1.0	1.0
M30B3	1.0	0.9826666666666667	0.798	1.0	0.828	1.0	1.0	1.0	1.0	0.9553333333333334	0.9873333333333333	1.0	0.9953333333333333	0.87	1.0	0.9326666666666666	0.9986666666666667	1.0	1.0	1.0	1.0	1.0	0.9993333333333333	1.0	1.0	0.8333333333333334	1.0	0.998	1.0	1.0	0.9993333333333333	1.0	0.9573333333333334	0.9993333333333333	1.0	0.9993333333333333	0.9986666666666667	0.998	1.0	0.8933333333333333	1.0	1.0	0.9826666666666667	1.0	1.0	0.996	1.0	0.826	0.9973333333333333	0.8206666666666667	1.0	0.8313333333333334	1.0	0.832	0.986	0.9846666666666667	0.0	0.9846666666666667	0.9953333333333333	0.834	0.9906666666666667	1.0	1.0	1.0
M30S1	1.0	1.0	0.9846666666666667	1.0	0.9846666666666667	1.0	1.0	1.0	1.0	1.0	0.9873333333333333	1.0	0.9966666666666667	1.0	1.0	1.0	0.9986666666666667	1.0	1.0	1.0	1.0	1.0	0.9993333333333333	1.0	1.0	0.9846666666666667	1.0	0.998	1.0	1.0	1.0	1.0	0.9846666666666667	0.9993333333333333	1.0	0.9993333333333333	0.9986666666666667	0.998	1.0	0.9846666666666667	1.0	1.0	0.9846666666666667	1.0	0.314	0.996	0.49133333333333334	0.9846666666666667	0.9973333333333333	0.9846666666666667	1.0	0.9846666666666667	1.0	0.9846666666666667	0.986	0.9846666666666667	0.9846666666666667	0.0	1.0	0.9846666666666667	0.9906666666666667	1.0	1.0	1.0
M30S2	1.0	1.0	1.0	1.0	0.9946666666666667	1.0	1.0	1.0	1.0	0.9953333333333333	1.0	1.0	1.0	1.0	0.9973333333333333	0.7073333333333334	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.9986666666666667	1.0	1.0	1.0	1.0	0.9993333333333333	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.9973333333333333	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.9953333333333333	1.0	0.0	1.0	1.0	1.0	1.0	1.0
M32B1	1.0	1.0	0.4786666666666667	1.0	0.41133333333333333	1.0	1.0	1.0	1.0	1.0	0.986	1.0	0.9966666666666667	0.998	1.0	1.0	0.9986666666666667	1.0	1.0	1.0	1.0	1.0	0.9993333333333333	1.0	1.0	0.4186666666666667	0.9933333333333333	0.998	1.0	1.0	1.0	1.0	0.9526666666666667	0.9993333333333333	1.0	0.9993333333333333	0.9986666666666667	0.998	1.0	0.8886666666666667	1.0	1.0	0.98	1.0	1.0	0.996	1.0	0.4186666666666667	0.9973333333333333	0.38533333333333336	0.9993333333333333	0.394	1.0	0.4226666666666667	0.984	0.9813333333333333	0.834	0.9846666666666667	1.0	0.0	0.9906666666666667	1.0	1.0	1.0
M32B3	1.0	1.0	0.9906666666666667	1.0	0.9906666666666667	1.0	1.0	1.0	1.0	1.0	0.9906666666666667	1.0	0.9966666666666667	1.0	1.0	1.0	0.9986666666666667	1.0	1.0	1.0	1.0	1.0	0.9993333333333333	1.0	1.0	0.9906666666666667	1.0	0.998	1.0	1.0	1.0	1.0	0.9906666666666667	0.9993333333333333	1.0	0.9993333333333333	0.9986666666666667	0.998	1.0	0.9906666666666667	1.0	1.0	0.9906666666666667	1.0	1.0	0.996	1.0	0.9906666666666667	0.9973333333333333	0.9906666666666667	1.0	0.9906666666666667	1.0	0.9906666666666667	0.9906666666666667	0.9906666666666667	0.9906666666666667	0.9906666666666667	1.0	0.9906666666666667	0.0	1.0	1.0	1.0
M32S2	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	1.0	1.0
M32S3	1.0	0.9766666666666667	1.0	1.0	1.0	1.0	0.9053333333333333	0.158	0.2866666666666667	1.0	1.0	0.16	0.9046666666666666	1.0	1.0	1.0	0.16333333333333333	1.0	1.0	1.0	0.63	1.0	1.0	1.0	1.0	0.9993333333333333	0.438	1.0	1.0	1.0	0.9053333333333333	1.0	1.0	1.0	1.0	0.44133333333333336	1.0	1.0	1.0	1.0	1.0	1.0	0.15666666666666668	0.9053333333333333	1.0	0.9053333333333333	1.0	1.0	0.9053333333333333	1.0	1.0	1.0	0.16533333333333333	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	0.9986666666666667
PCR_blank_002	0.33866666666666667	0.9986666666666667	0.968	1.0	1.0	0.068	1.0	0.9986666666666667	0.9986666666666667	1.0	1.0	0.9986666666666667	1.0	1.0	1.0	1.0	0.9986666666666667	1.0	1.0	1.0	0.9986666666666667	1.0	1.0	1.0	1.0	1.0	0.9986666666666667	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.9986666666666667	1.0	1.0	1.0	1.0	1.0	1.0	0.9986666666666667	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.9986666666666667	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.9986666666666667	0.0
