materialSampleID,watersample,sampleDepth,waterColumnLocation,samplingStation,controlType,volumeFiltered,dateFiltered,timeFiltration,totalDNAconc,unitsDNAconc,eventDate,eventTime,decimalLatitude,decimalLongitude,recordedBy,tide,waterTemp,depthWaterTemp
2023SAB-114,413462,122,Bottom,SAB_22REAL,,3.61,8/23/2023,11:00:00,2.06,ng/ul,8/23/2023,11:00:00,45 59.2905,59 02.8209,"Nick Jeffery, Ryan Stanley, Harri Pettitt-Wade, Katie Thistle",,,
2023SAB-115,413463,122,Bottom,SAB_22REAL,,3.3,8/23/2023,11:00:00,1.85,ng/ul,8/23/2023,11:00:00,45 59.2905,59 02.8209,"Nick Jeffery, Ryan Stanley, Harri Pettitt-Wade, Katie Thistle",,,
2023SAB-116,413464,122,Bottom,SAB_22REAL,,3.28,8/23/2023,11:00:00,1.42,ng/ul,8/23/2023,11:00:00,45 59.2905,59 02.8209,"Nick Jeffery, Ryan Stanley, Harri Pettitt-Wade, Katie Thistle",,,
2023SAB-117,413465,93,Bottom,SAB_21REAL,,3.2,8/23/2023,13:15:00,1.71,ng/ul,8/23/2023,13:15:00,45 59.8475,58 52.2189,"Nick Jeffery, Ryan Stanley, Harri Pettitt-Wade, Katie Thistle",,,
2023SAB-118,413466,93,Bottom,SAB_21REAL,,3.19,8/23/2023,13:15:00,1.62,ng/ul,8/23/2023,13:15:00,45 59.8475,58 52.2189,"Nick Jeffery, Ryan Stanley, Harri Pettitt-Wade, Katie Thistle",,,
2023SAB-119,413467,93,Bottom,SAB_21REAL,,3.21,8/23/2023,13:15:00,1.75,ng/ul,8/23/2023,13:15:00,45 59.8475,58 52.2189,"Nick Jeffery, Ryan Stanley, Harri Pettitt-Wade, Katie Thistle",,,
2023SAB-12,413390,62.1,Bottom,SAB_15,,3.17,8/16/2023,10:50:00,1.89,ng/ul,8/16/2023,10:50:00,46 00.5891,59 11.8446,"Nick Jeffery, Ryan Stanley, Harri Pettitt-Wade, Katie Thistle",,,
2023SAB-120,413468,148,Bottom,SAB_25REAL,,3.17,8/23/2023,14:59:00,2.01,ng/ul,8/23/2023,14:59:00,45 59.4782,58 55.8503,"Nick Jeffery, Ryan Stanley, Harri Pettitt-Wade, Katie Thistle",,,
2023SAB-121,413469,148,Bottom,SAB_25REAL,,3.19,8/23/2023,14:59:00,3.05,ng/ul,8/23/2023,14:59:00,45 59.4782,58 55.8503,"Nick Jeffery, Ryan Stanley, Harri Pettitt-Wade, Katie Thistle",,,
2023SAB-122,413470,148,Bottom,SAB_25REAL,,3.24,8/23/2023,14:59:00,1.52,ng/ul,8/23/2023,14:59:00,45 59.4782,58 55.8503,"Nick Jeffery, Ryan Stanley, Harri Pettitt-Wade, Katie Thistle",,,
2023SAB-13,413391,28.9,Bottom,SAB_16,,3.16,8/16/2023,11:20:00,7,ng/ul,8/16/2023,11:20:00,45 59.7532,59 12.1106,"Nick Jeffery, Ryan Stanley, Harri Pettitt-Wade, Katie Thistle",,,
