ID	2023ESI_01	2023ESI_02	2023ESI_03	2023ESI_04	2023ESI_05	2023ESI_06	2023ESI_07	2023ESI_08	2023ESI_09	2023ESI_10	2023ESI_12	2023ESI_13	2023ESI_14	2023ESI_15	2023ESI_17	2023ESI_18	2023ESI_19	2023ESI_21	2023ESI_22	499612	499613	499614	499615	499616	499617	499618	499619	499620	499621	499622	499623	499624	499625	499626	499627	499628	499629	499630	499631	499632	499633	499634	499635	499636	499637	499638	499639	499640	499641	499642	499643	499644	499645	499646	499647	499648	499649	499650	499651	499652	499653	499654	499655	ENEG1	ENEG2	EXT004	PCRBlank004
102728a2f4054d96242082d58b95dc7e	0	0	173410	0	0	0	0	0	49213	0	0	0	0	17672	0	0	0	8961	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	91425	72119	0	0	0	0	0	0	0	0	13	0
31b74ef62b4422e3579db4d236d3fb1d	0	0	0	0	0	0	101	0	0	128638	16578	0	0	0	120514	0	0	0	70600	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
02afebb71268594917fa69fbc6637889	4885	4941	1680	1330	33819	16508	0	216	15501	2128	816	2091	79647	2842	2593	8459	0	5504	1094	8233	311	0	8813	0	0	0	2	0	0	0	0	0	0	0	31316	164	0	0	0	0	0	0	0	0	902	0	4608	0	362	0	2539	27006	48104	0	0	0	359	0	0	12	0	0	0	0	850	0	0
5ba8ac0932668789e379cc462b15ef3c	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	117913	0	0	0	0	0	125902	0	50842	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
093cdf969fb5b2be538a63e4000e7ff1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11887	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	251961	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
7c353778430ba00627a8390e099b6eb7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	135899	123957	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
8bd9c02a1f8ca7ffc208fe32930f7944	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	212529	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
071955d5156af7851b7e0aac1e49ac4d	0	196204	0	0	0	0	0	0	0	0	803	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1888	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
545fbdada0ac175a1ead9d95237e716a	0	0	0	0	0	0	0	0	0	0	100474	0	0	0	0	0	0	0	11829	0	0	0	0	0	0	0	0	0	0	0	0	54895	25967	0	0	0	0	132	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
caba00a3b4252ef1350b9c03c66fea54	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	100441	0	91165	0	0	0	0	0	0	0	0	0	0	0	0	0	0
86cf7adc6e5d05e04c179c3e6028cb5f	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	33189	156004	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0328f7352141cd9e7fb5646114ca216b	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	78196	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	44523	0	62133	0	0	0	0	0	0	0	0	0	0
f7e3adbeff07c41ffad9206ea68e8840	774	0	8637	0	0	413	0	710	2139	0	711	0	0	94	89	0	0	168	0	0	0	0	355	160543	477	0	0	0	274	0	0	0	0	0	0	0	0	0	0	0	0	0	490	0	0	0	0	0	0	18	0	0	531	0	0	0	166	0	0	0	0	0	144	0	0	0	0
8377854474338cf60b17f3172f6e33e4	74467	0	0	0	0	0	0	0	40685	0	25757	0	0	11381	0	0	0	19438	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
cc5de1240d6aec211bdc0ba4bb567a1c	0	0	62296	0	0	39707	0	9886	36275	0	0	0	0	0	0	0	0	16214	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
b7f87ab8278616a8dece7e08c8153da0	0	151894	0	0	0	2664	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	310	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
f9e78fc6f0b100d87729a84e14c147ff	0	0	68432	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	76322	0	0	0	0	0	0	0	0	0	0	0	0
339af72793a4dc2c1641492dba0ed5f7	0	0	0	0	0	0	0	0	30123	0	0	0	0	108393	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
b488a799cb78c275db3b62e0fa04e354	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	119237	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
bf0716044f0c0be85735b0ac90b17861	0	0	0	0	0	0	0	30717	53010	0	23380	0	0	0	0	0	0	3072	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1600	0	0	0	0	0	0	0	0	0	0	0	0	0	0
358b85466f0093cbcaddf3f25b296726	0	0	93983	0	0	1450	0	0	4892	0	0	0	0	0	222	0	0	9562	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
76e006c6c343db86deb936663daa40d7	78821	0	0	0	0	0	0	0	0	0	0	0	0	14826	0	0	0	5421	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
d0af698e36317d5384ac9eabba931827	0	92704	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
a42d34d610321be33454794f85ce9a86	688	0	0	0	0	0	0	0	0	0	0	0	0	18860	0	0	0	4386	156	0	0	0	0	0	0	0	0	0	68	0	0	0	180	0	409	0	0	0	1141	5	451	0	745	276	0	0	903	1566	1101	0	317	124	0	0	61053	0	0	0	0	0	0	0	0	0	0	0	0
e75110e493a85f1f5bc70a4f083f7cf3	0	0	0	0	0	0	0	0	0	0	4851	0	0	3934	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	81714	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
cdf21a5df5e58db82f8179ebc58c02c3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	708	0	0	0	0	0	0	2062	0	0	0	0	0	0	0	338	0	0	0	0	0	0	0	0	0	83588	0	330	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
eb6f61b2ac5687ebaa2527a5d84dd469	2028	4463	641	0	0	4702	0	0	808	6545	4400	0	2166	1729	13554	2204	0	879	2664	0	2173	3048	2115	0	0	0	1910	197	0	0	2385	490	0	0	4691	1958	0	0	0	0	0	0	0	0	0	0	0	0	348	0	0	1780	910	0	0	307	0	0	0	0	0	0	0	0	0	0	0
5faa96cd8f04a611c4101959b3245f05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	56647	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
29715cbfac4933ea6978f13159a0fd5f	50212	0	0	0	0	3880	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1e4a05c71502a4f48610bd441fcab27f	0	0	0	0	0	0	0	0	0	0	41942	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11610	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
cc90f9f3edab9c0dd8a3407910deab59	0	0	0	0	0	0	0	0	0	0	0	53220	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
9d5f73b98896b121f68260d164f90e39	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	52877	0	0	0	0	0	0	0	0	0	5	0
27c95221a1ee760811f376a7b453c53e	50049	0	0	0	0	0	0	0	0	0	0	0	0	785	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1322	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
02237fefa113095c467c762bc2702cdb	0	0	50260	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
c431265ffe7e54033c133a35187dc624	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	48028	0	0	0	0	0	0	0	0	0	0
5d47f12a165393b21ce48b71b583001d	0	0	0	0	0	0	0	0	47319	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
b189e417627d898b6e477d1df634f9d8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	43822	0	1347	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
07337521ed74d1f2e731c4f6a3ae58cb	860	2112	0	0	0	1683	0	0	0	2004	1349	0	740	657	5848	678	0	379	0	0	814	859	478	0	0	0	20895	0	0	0	1898	0	0	0	309	563	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	543	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0e11b4b0b836d4a6f38960cf46f4dfc3	0	0	0	0	0	1115	0	0	0	1244	4755	0	0	0	0	28870	0	0	691	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5725	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
e572c661aed71ca1ab2ae04b8208079f	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	39712	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0f8732575d681938a95b3232de77dc54	2338	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	36214	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
29e80a36298e889f86a7a5b3f6408ee5	0	0	0	0	33498	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4502
6d47d8b76950eb58d496b9751c1fb0a1	0	2657	0	8337	0	347	0	0	0	1482	349	0	1835	0	0	0	0	187	730	1910	889	1101	0	0	0	0	3158	0	0	0	0	0	0	0	1127	468	0	0	0	0	0	0	0	0	5862	0	959	0	0	0	2702	0	0	0	1289	0	0	0	0	0	0	0	0	0	0	0	0
75b0f376117520ebaf41b2c3be3b28fd	559	0	1508	0	0	223	0	30066	1014	0	407	0	0	83	0	0	0	0	0	0	0	0	185	0	192	0	0	0	234	0	0	0	0	0	0	0	0	0	0	0	0	0	313	0	0	0	0	0	0	0	0	0	412	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0dae598fe21f2dbdd6635d6f80c98177	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	34445	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
7b9e9f79667ec96b1de21f493466fccb	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	33915	0	0	0	0	0	0	0
357af10943343d865e0820ee7939e4ec	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	33357	0	0	0	409	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2d972ca28f283e5ffa9a6c729895d42e	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	27974	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
3db5dc06ec3583b5a25796c61d1eeba4	0	0	451	0	0	0	0	0	0	0	0	0	17016	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2907	0	0	3282	1536	2374	0	0	0	0	0	0	0	0	0	0	0	0	0	0
884eb8b30fb4e68253a844853e0a6b47	0	0	0	0	0	0	0	0	0	0	0	27321	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ad1e906c64c89570499fefa7c91ad4f1	0	0	0	0	0	2506	0	0	0	0	0	0	0	0	23596	0	0	0	0	0	0	0	0	0	0	0	1044	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
09b645406111c6810c283d4f2e0ec89a	1432	3256	216	0	0	1678	0	0	221	7315	1403	0	598	614	3015	660	0	337	692	0	544	935	508	0	0	0	1191	48	0	0	780	0	0	0	250	438	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	288	164	0	0	0	0	0	0	0	0	0	0	0	0	0	0
7f31275cb5a3bb3fb0d3bd4fb50146bb	0	0	0	0	0	26032	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
5831361ee43938860fabe1e6ffe71ee5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	24009	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1100	0	0	0	0	0	0	0	0
fb06bacba49ac5b10019db59fb8ec746	0	0	0	0	0	0	0	0	0	0	0	0	0	0	24734	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
3124bf38ff62d871e5e8e58762d58ea4	0	0	0	23489	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2d82117f9e1ce69f155edca9ad600e89	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	23154	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
c5107e7a1d0dfe3153c3a21d14cf95af	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	172	1530	0	0	0	0	0	0	0	0	0	438	0	0	0	19906	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	586	0	0	0	0	0	0	0	0
99c9be32dfa87f70dfa7031e4c7d6a87	487	1472	200	0	0	1166	0	0	193	1364	1109	0	497	743	4574	700	0	369	5430	0	993	636	356	0	0	0	397	0	0	0	615	146	0	0	182	600	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	235	164	0	0	0	0	0	0	0	0	0	0	0	0	0	0
035904cc243fb126f342c49aff6b2e37	0	0	0	0	15165	0	0	0	0	0	6971	0	0	0	0	0	0	0	0	0	114	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	263	0	0	0	0	0	0	0	0	0	0	0
836a23a535766636af8f44969e884139	0	2992	0	7670	0	292	0	0	0	933	0	0	5133	0	0	0	0	0	0	0	0	0	0	0	0	0	1786	0	0	0	0	0	0	0	0	665	0	0	0	0	0	0	0	0	2772	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1638ff3f8d5cb646c59c2100772f5163	0	0	0	0	0	0	0	0	0	0	0	0	0	142	0	0	0	0	0	0	344	2491	2092	0	0	0	0	117	0	0	2061	1283	478	0	405	5898	0	0	0	2620	0	0	0	0	0	0	1972	0	0	0	0	0	0	0	0	0	0	0	1745	0	0	0	0	0	0	0	0
d96dbc9cbb9e8f73953357bdaf7fbc28	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	19206	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
