Species,PercentID,X2023ESI_01,X2023ESI_02,X2023ESI_03,X2023ESI_04,X2023ESI_05,X2023ESI_06,X2023ESI_07,X2023ESI_08,X2023ESI_09,X2023ESI_10,X2023ESI_12,X2023ESI_13,X2023ESI_14,X2023ESI_15,X2023ESI_17,X2023ESI_18,X2023ESI_19,X2023ESI_21,X2023ESI_22,X499612,X499613,X499614,X499615,X499616,X499617,X499618,X499619,X499620,X499621,X499622,X499623,X499624,X499625,X499626,X499627,X499628,X499629,X499630,X499631,X499632,X499633,X499634,X499635,X499636,X499637,X499638,X499639,X499640,X499641,X499642,X499643,X499644,X499645,X499646,X499647,X499648,X499649,X499650,X499651,X499652,X499653,X499654,X499655
Alosa pseudoharengus,99.422,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,523,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4162,0,0,0,1093,0,0,0,0,0,0,0,0,0,0,0,0
Alosa pseudoharengus,99.422,450,0,0,0,0,0,0,0,0,0,0,0,0,557,0,0,0,307,90,0,0,0,0,0,0,0,0,0,0,0,0,0,97,0,227,0,0,0,619,1,188,0,448,152,0,0,482,1088,470,0,172,0,0,0,0,0,0,0,0,0,0,0,0
Alosa pseudoharengus,99.422,417,0,0,0,0,0,0,0,0,0,0,0,0,475,0,0,0,244,137,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,168,0,0,0,523,1,220,0,340,158,0,0,411,1130,523,0,147,98,0,0,0,0,0,0,0,0,0,0,0
Alosa pseudoharengus,99.422,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,726,0,0,0,1544,0,0,0,0,0,0,0,0,2132,0,0,378,0,0,0,0,0,0,0,0,0,0,0,0
Alosa pseudoharengus,99.422,457,0,0,0,0,0,0,0,0,0,0,0,0,486,0,0,0,311,141,0,0,0,0,0,0,0,0,0,0,0,0,0,127,0,0,0,0,0,640,0,0,0,368,0,0,0,506,916,414,0,167,0,0,0,0,0,0,0,0,0,0,0,0
Alosa pseudoharengus,99.422,4429,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Alosa pseudoharengus,99.422,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3363,0,0,0,0,0,0,0,0,833,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Alosa pseudoharengus,99.422,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,222,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1274,0,0,0,0,1734,913,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Alosa pseudoharengus,100,291353,0,0,0,0,10475,0,0,0,0,0,0,0,338481,0,0,0,179048,66821,0,0,0,0,0,0,0,0,9327,27967,0,0,0,52285,0,111515,0,0,279,378871,643,124610,0,211084,88338,0,0,285820,524371,280917,0,101804,43061,0,0,0,0,0,0,0,0,0,0,0
Alosa pseudoharengus,100,0,0,0,0,0,0,0,0,0,0,0,0,0,2953,0,0,0,571,0,0,0,0,0,0,0,0,0,0,0,0,0,0,241,0,360,0,0,0,4066,0,352,0,0,0,0,0,862,0,0,0,314,0,0,0,0,0,0,0,0,0,0,0,0
Ammodytes marinus,99.408,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16700,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ammodytes marinus,99.408,8422,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ammodytes marinus,99.408,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5156,0,0,0,0
Ammodytes marinus,99.408,0,0,0,0,0,0,0,0,0,2032,0,0,1046,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1102,0,0,0,0
Ammodytes marinus,99.408,0,0,0,0,0,0,0,0,0,0,0,0,2189,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1872,0,0,0,0
Ammodytes marinus,100,78732,0,0,0,0,0,0,0,0,107365,0,0,308243,13901,0,0,0,39893,39631,0,0,0,0,0,0,0,0,7096,0,0,0,0,0,0,9869,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,330776,0,0,0,0
Anguilla rostrata,99.408,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10081,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Anguilla rostrata,99.408,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4773,0,0,0,0,0,0,0,0,0,0,0,0
Anguilla rostrata,99.408,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4152,0,0,0,0,0,0,0,0,0,0,0,0
Anguilla rostrata,100,0,0,0,0,0,0,0,27808,0,0,0,0,0,9111,0,0,0,0,25076,0,0,0,0,0,0,0,0,0,127972,0,0,0,0,0,0,99447,0,0,0,0,0,0,0,57,48033,0,0,0,0,0,202377,0,0,0,0,0,0,0,0,0,0,0,0
Anguilla rostrata,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100441,0,91165,0,0,0,0,0,0,0,0,0,0
Auxis rochei,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5566,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Caranx hippos,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34445,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Clupea harengus,99.419,50212,0,0,0,0,3880,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Clupea harengus,99.419,0,0,0,0,0,0,0,0,47319,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Clupea harengus,99.419,559,0,1508,0,0,223,0,30066,1014,0,407,0,0,83,0,0,0,0,0,0,0,0,185,0,192,0,0,0,234,0,0,0,0,0,0,0,0,0,0,0,0,0,313,0,0,0,0,0,0,0,0,0,412,0,0,0,0,0,0,0,0,0,0
Clupea harengus,99.419,0,0,0,0,0,0,0,0,12452,0,0,0,0,0,0,0,0,0,0,0,0,0,857,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Clupea harengus,99.419,877,0,2040,0,0,628,0,1179,1339,0,869,0,0,101,116,0,0,196,0,0,0,0,307,0,347,0,0,0,287,0,0,0,0,0,0,0,0,0,0,0,0,0,452,0,0,0,0,0,0,0,0,0,623,0,0,0,199,0,0,0,0,0,0
Clupea harengus,99.419,1043,0,2978,0,0,0,0,0,2251,0,713,0,0,0,0,0,0,0,0,0,0,0,0,0,469,0,0,0,469,0,0,0,0,0,0,0,0,0,0,0,0,0,493,0,0,0,0,0,0,0,0,0,773,0,0,0,0,0,0,0,0,0,0
Clupea harengus,99.419,0,0,6065,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,664,0,0,0,0,0,0,0,0,0,0,0,0,0,917,0,0,0,0,0,0,0,0,0,1334,0,0,0,0,0,0,0,0,0,0
Clupea harengus,99.419,0,0,4106,0,0,0,0,0,2825,0,1492,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,467,0,0,0,0,0,0
Clupea harengus,99.419,816,0,2211,0,0,392,0,898,1295,0,644,0,0,157,76,0,0,198,0,0,0,0,295,0,337,0,0,0,400,0,0,0,0,0,0,0,0,0,0,0,0,0,424,0,0,0,0,0,0,0,0,0,549,0,0,0,0,0,0,0,0,0,0
Clupea harengus,99.419,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8482,0,0,0,0,0,0,0,0,0,0
Clupea harengus,99.419,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3981,0,0,0,4491,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Clupea harengus,99.419,0,0,3608,0,0,0,0,0,3019,0,0,0,0,0,0,0,0,473,0,0,0,0,0,0,0,0,0,0,537,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,215,0,0,0,0,0,0
Clupea harengus,99.419,0,0,0,0,0,0,0,0,7516,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Clupea harengus,99.419,647,0,1236,0,0,304,0,748,1522,0,471,0,0,0,0,0,0,150,0,0,0,0,196,0,334,0,0,0,887,0,0,0,0,0,0,0,0,0,0,0,0,0,295,0,0,0,0,0,0,0,0,0,384,0,0,0,128,0,0,0,0,0,0
Clupea harengus,99.419,0,0,0,0,0,7054,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Clupea harengus,99.419,669,0,1634,0,0,319,0,690,1170,0,558,0,0,0,125,0,0,138,0,0,0,0,276,0,322,0,0,0,197,0,0,0,0,0,0,0,0,0,0,0,0,0,364,0,0,0,0,0,0,0,0,0,584,0,0,0,0,0,0,0,0,0,0
