,x
Sample.1,0.639259675034895
Sample.100,0.488165680473373
Sample.11,0.386564571384206
Sample.17,0.467612552152942
Sample.18,0.144344857990384
Sample.20,0.799644628639062
Sample.21,0.811961805067589
Sample.22,0.822186179556688
Sample.23,0
Sample.24,0.273516948995124
Sample.26,0.45398386511153
Sample.28,0
Sample.30,0.418563445266106
Sample.31,0.471987298304608
Sample.32,0.391111111111111
Sample.36,0.643555381018205
Sample.37,0.7051864052985
Sample.41,0.623789329302353
Sample.44,0.72256996513675
Sample.45,0.608616803057867
Sample.47,0.369357832648194
Sample.48,0.618528746972344
Sample.49,0
Sample.51,0.673171881741313
Sample.52,0.746521496210511
Sample.53,0.0786998506068083
Sample.54,0.663326747376538
Sample.55,0.0101032959623669
Sample.56,0.649433269995603
Sample.57,0
Sample.58,0.707087268535312
Sample.59,0.0600005585096481
Sample.61,0
Sample.63,0.446860733312678
Sample.64,0.795127974508442
Sample.65,0.610008091545292
Sample.66,0.450425749657464
Sample.67,0.45332228597623
Sample.69,0
Sample.70,0.261542216745601
Sample.71,0.481952007518586
Sample.72,0.774854747765123
Sample.73,0.490031882223933
Sample.74,0.617390931491686
Sample.77,0
Sample.80,0.101401729562231
Sample.85,0.548115156862871
Sample.86,0.0919663404293772
Sample.89,0.614645192738676
Sample.90,0.611345350180519
Sample.92,0.608597690917363
Sample.93,0.00079550966323283
Sample.94,0
Sample.95,0
Sample.96,0
Sample.97,0.606560125165213
Sample.98,0.665076204184167
Sample.99,0.635392146653482
