,x
Sample.1,0
Sample.100,0.673011667009257
Sample.11,0.240118483262785
Sample.17,0.833387111113518
Sample.18,0
Sample.20,1.40123579710043
Sample.21,1.55450774755772
Sample.22,1.8927537048073
Sample.23,0
Sample.24,0
Sample.26,0.517592126707958
Sample.30,1.31247349482872
Sample.31,0.823102491837128
Sample.36,1.32851931148528
Sample.37,1.02781400535225
Sample.41,0.965786680278331
Sample.44,0.877048553619542
Sample.47,0.699313361368566
Sample.48,1.3532964776071
Sample.51,0.623440530094208
Sample.52,1.55322928036925
Sample.53,0
Sample.54,0.97218076755187
Sample.55,0.320002320544184
Sample.56,1.11335268224001
Sample.57,0.66800407631484
Sample.58,1.29785609593131
Sample.59,0
Sample.61,0
Sample.63,1.02436596616363
Sample.64,1.63807003330353
Sample.65,0.637196944526563
Sample.66,0.578921816142563
Sample.67,1.02298204627493
Sample.69,1.20325589276855
Sample.70,1.0199271482268
Sample.72,1.72464916752189
Sample.73,0.900178707003998
Sample.74,1.19324710483315
Sample.80,0.555919994575242
Sample.81,0
Sample.85,0.816144294605339
Sample.89,0.469229136959965
Sample.90,0.460891237348323
Sample.92,0.740108031427153
Sample.93,0
Sample.94,0
Sample.95,0.111992320614935
Sample.97,1.05794479499253
Sample.98,0.804346711680636
Sample.99,1.41332578792469
