SET-LEVEL FLAGS

flag id,cruise,set,flag,explanation,created by,creation date,approved by,approved date,comment
8810,2023 Maritime Region Ecosystem Summer Survey (TELEOST) (TEL-2023-010),4,868,WHITE BARRACUDINA; NOTOLEPIS RISSOI,catch is not on the allow list,The catch entered has not been added to the allow list attached to either the stratum or sampling protocol. Please ensure a specimen has been kept for validation and verification.,---,2023-06-29 16:57:19 UTC,ryan_martin,2023-06-29 16:57:20 UTC,---
8803,2023 Maritime Region Ecosystem Summer Survey (TELEOST) (TEL-2023-010),4,869,ATLANTIC ROCK CRAB,calculated specimen weight is greater than expected,The calculated total specimen weight is greater than the basket weight by a different of greater than 25%,ryan_martin,2023-06-29 16:56:53 UTC,ryan_martin,2023-06-29 16:57:16 UTC,---
8813,2023 Maritime Region Ecosystem Summer Survey (TELEOST) (TEL-2023-010),4,869,ATLANTIC ROCK CRAB,catch is not on the allow list,The catch entered has not been added to the allow list attached to either the stratum or sampling protocol. Please ensure a specimen has been kept for validation and verification.,---,2023-06-29 16:57:21 UTC,ryan_martin,2023-06-29 16:57:22 UTC,---
8815,2023 Maritime Region Ecosystem Summer Survey (TELEOST) (TEL-2023-010),4,864,MUD STAR,catch is not on the allow list,The catch entered has not been added to the allow list attached to either the stratum or sampling protocol. Please ensure a specimen has been kept for validation and verification.,---,2023-06-29 16:57:23 UTC,ryan_martin,2023-06-29 16:57:25 UTC,---
8920,2023 Maritime Region Ecosystem Summer Survey (TELEOST) (TEL-2023-010),5,884,JONAH CRAB,calculated specimen weight is greater than expected,The calculated total specimen weight is greater than the basket weight by a different of greater than 25%,ryan_martin,2023-06-29 22:10:43 UTC,ryan_martin,2023-06-29 22:10:54 UTC,---
8923,2023 Maritime Region Ecosystem Summer Survey (TELEOST) (TEL-2023-010),5,883,"LONGFIN SQUID, LONGFIN INSHORE SQUID; LOLIGO",catch is not on the allow list,The catch entered has not been added to the allow list attached to either the stratum or sampling protocol. Please ensure a specimen has been kept for validation and verification.,---,2023-06-29 22:10:55 UTC,ryan_martin,2023-06-29 22:11:01 UTC,---
8925,2023 Maritime Region Ecosystem Summer Survey (TELEOST) (TEL-2023-010),5,889,Brittle Stars unidentified (Ophiura sp.),catch is not on the allow list,The catch entered has not been added to the allow list attached to either the stratum or sampling protocol. Please ensure a specimen has been kept for validation and verification.,---,2023-06-29 22:11:02 UTC,ryan_martin,2023-06-29 22:11:04 UTC,---
9025,2023 Maritime Region Ecosystem Summer Survey (TELEOST) (TEL-2023-010),7,918,NORTHERN SAND LANCE,calculated specimen weight is greater than expected,The calculated total specimen weight is greater than the basket weight by a different of greater than 25%,Jamie,2023-06-30 05:00:18 UTC,Jamie,2023-06-30 05:01:04 UTC,---
9024,2023 Maritime Region Ecosystem Summer Survey (TELEOST) (TEL-2023-010),7,921,Octopus (Bathypolypus sp.),catch is not on the allow list,The catch entered has not been added to the allow list attached to either the stratum or sampling protocol. Please ensure a specimen has been kept for validation and verification.,---,2023-06-30 05:00:05 UTC,Jamie,2023-06-30 05:00:17 UTC,---
9031,2023 Maritime Region Ecosystem Summer Survey (TELEOST) (TEL-2023-010),7,926,Molpadia unidentified,catch is not on the allow list,The catch entered has not been added to the allow list attached to either the stratum or sampling protocol. Please ensure a specimen has been kept for validation and verification.,---,2023-06-30 06:53:36 UTC,Jamie,2023-06-30 06:53:41 UTC,---
