catch_ratio,created_at,id,is_parent,mission_number,notes,parent_catch,parent_catch_id,relative_abundance_category,relative_abundance_category_id,set_number,species,species_aphia_id,species_code,species_en,species_fr,species_scientific,species_uuid,specimen_count,unweighed_baskets
,2023-06-29 12:01:49 UTC,833,No,TEL-2023-010,,,,,,3,SILVER HAKE,158962,14,SILVER HAKE,Merlu argenté,Merluccius bilinearis,23d02f66-fed3-41f2-b392-02acd2e705f7,,
,2023-06-29 12:00:35 UTC,829,No,TEL-2023-010,,,,,,3,POLLOCK,126441,16,POLLOCK,Goberge,Pollachius virens,12868fea-63cc-4e2a-8ac6-8ef21ba5eca1,,
,2023-06-29 12:04:13 UTC,834,No,TEL-2023-010,,,,,,3,REDFISH UNSEPARATED,126175,23,REDFISH UNSEPARATED,Sébastes non-spécifiés (Sebastes sp.),Sebastes sp.,9c123bf6-1e90-4a49-a311-fdbb0b43a83b,,
,2023-06-29 12:07:15 UTC,838,No,TEL-2023-010,,,,,,3,HALIBUT ATLANTIC,127138,30,HALIBUT ATLANTIC,Flétan Atlantique,Hippoglossus hippoglossus,dbf46c6f-f6dc-4c38-93bf-437d34ff9beb,,
,2023-06-29 12:14:45 UTC,848,No,TEL-2023-010,,,,,,3,GULF STREAM FLOUNDER,158791,44,GULF STREAM FLOUNDER,Turbot du Gulf Stream,Citharichthys arctifrons,0080c5dd-773b-41d9-9296-627a9774e5e3,,
,2023-06-29 12:07:25 UTC,839,No,TEL-2023-010,,,,,,3,HERRING ATLANTIC,126417,60,HERRING ATLANTIC,Hareng atlantique,Clupea harengus,5d02abb7-3748-44b9-83cf-d72cdeaa02ac,,
,2023-06-29 12:09:43 UTC,842,No,TEL-2023-010,,,,,,3,SHAD AMERICAN,158670,61,SHAD AMERICAN,Alose savoureuse,Alosa sapidissima,70a39611-09c3-4905-bcc1-c06548fbf372,,
,2023-06-29 12:05:32 UTC,837,No,TEL-2023-010,,,,,,3,ALEWIFE,158669,62,ALEWIFE,Gaspereau,Alosa pseudoharengus,34ce3029-ca39-4e4d-8e6a-b5bde509b173,,
,2023-06-29 12:09:18 UTC,841,No,TEL-2023-010,,,,,,3,MACKEREL ATLANTIC,127023,70,MACKEREL ATLANTIC,Maquereau bleu,Scomber scombrus,614cc280-5149-4d97-a3a1-39a54517eaa7,,
,2023-06-29 12:16:39 UTC,850,No,TEL-2023-010,,,,,,3,LANTERNFISH,125498,150,LANTERNFISH,Poissons-lanterne non-spécifié (Myctophidae),Myctophidae sp.,96a8fc77-7bff-498e-867e-28867677cb8f,,
,2023-06-29 12:01:11 UTC,831,No,TEL-2023-010,,,,,,3,SPINY DOGFISH,105923,220,SPINY DOGFISH,Aiguillat commun,Squalus acanthias,1e170cdf-4f3b-47c9-bad4-64947d79bd6c,,
,2023-06-29 12:20:11 UTC,853,No,TEL-2023-010,,,,,,3,NORTHERN SAND LANCE,151520,610,NORTHERN SAND LANCE,Lançon du nord,Ammodytes dubius,e1d1886b-027c-4fec-a4c7-328731d3839b,,
