CrabSurvey_Fish,CrabSurvey_Inverts,Fish16S,COI_animals
,,,PSEUDOCARDIUM SACHALINENSE
,,,PSOLUS PHANTAPUS
,,,PTERASTER MILITARIS
,,,SABELLIDES OCTOCIRRATA
,,,SCAPHANDER PUNCTOSTRIATUS
,,,SCOLOPLOS ACUTUS
,,,SCOMBER SCOMBRUS
,,,SPISULA SOLIDISSIMA
,,,STAUROSTOMA MERTENSII
,,,STERNASPIS SCUTATA
,,,STRONGYLOCENTROTUS PALLIDUS
,,,TEREBELLIDES STROEMII CMC01
,,,TEREBELLIDES STROEMII CMC02
,,,TEREBELLIDES STROEMII CMC04
,,,THELEPUS CINCINNATUS
,,,TORTANUS DISCAUDATUS
,,,YOLDIELLA FRIGIDA
