# Constructed from biom file
#OTU ID	SAB_1	SAB_10	SAB_11	SAB_12	SAB_13	SAB_14	SAB_15	SAB_16	SAB_17	SAB_18	SAB_19	SAB_2	SAB_20	SAB_21	SAB_22	SAB_23	SAB_24	SAB_25	SAB_26	SAB_27	SAB_28	SAB_29	SAB_3	SAB_30	SAB_4	SAB_5	SAB_6	SAB_7	SAB_8	SAB_9
bbc63e5e40840499dcc1fedf71f0f19d	25327.0	58543.0	27626.0	61.0	23192.0	34476.0	34774.0	84.0	52442.0	47531.0	78955.0	9071.0	59802.0	58128.0	65032.0	32409.0	70745.0	60761.0	88.0	33456.0	66067.0	40162.0	27060.0	85.0	136.0	34342.0	43276.0	34473.0	83.0	48646.0
f75e4ea40552e17dd4a7c2bf9e5605ac	44351.0	55114.0	47816.0	25.0	40855.0	55471.0	56902.0	34.0	15958.0	13697.0	10868.0	9945.0	7838.0	11173.0	16788.0	18224.0	32465.0	31951.0	16.0	13520.0	18215.0	9222.0	55902.0	47.0	134.0	56010.0	62334.0	69027.0	35.0	66185.0
9765078fb5436421ed0432cc27dc0a75	18304.0	26643.0	12115.0	61.0	11093.0	12111.0	18096.0	57.0	36764.0	27649.0	41014.0	7830.0	27063.0	26573.0	43314.0	10606.0	36796.0	40735.0	199.0	13045.0	35924.0	21737.0	28372.0	77.0	114.0	11243.0	21816.0	22969.0	86.0	25282.0
2a4bf8d8b5a7b78c0f32c07cc69dd37e	11901.0	11971.0	2390.0	20.0	8356.0	3668.0	85717.0	26.0	26387.0	3857.0	17586.0	43784.0	1795.0	20163.0	23561.0	2346.0	19210.0	17981.0	36.0	2807.0	24825.0	3085.0	87264.0	24.0	68.0	44293.0	26915.0	11786.0	14.0	11404.0
7e2f8db8f63d9ef756572f76aba0a724	18738.0	41651.0	19891.0	0.0	15850.0	15649.0	25310.0	0.0	16139.0	11542.0	18465.0	7237.0	12196.0	12065.0	18771.0	4663.0	17392.0	17279.0	0.0	5458.0	16379.0	9968.0	30757.0	0.0	83.0	19614.0	31961.0	39097.0	0.0	40630.0
418afb0433ff07a2fd79a298e0a86c82	432.0	5817.0	4888.0	0.0	4235.0	9765.0	4155.0	48.0	33772.0	41129.0	29853.0	0.0	48136.0	25838.0	36960.0	36706.0	30331.0	35193.0	0.0	25029.0	25264.0	16351.0	218.0	0.0	66.0	6998.0	7545.0	4669.0	0.0	5191.0
6f2c71be41293854b7c7393399554371	314.0	7715.0	7463.0	17.0	5899.0	15081.0	6160.0	0.0	26806.0	31142.0	23244.0	0.0	40742.0	20766.0	29100.0	28717.0	24995.0	27241.0	0.0	23301.0	20344.0	14474.0	183.0	41.0	0.0	10283.0	9115.0	7500.0	32.0	8771.0
feaace7007de61491843fb68d1fc3123	13258.0	22725.0	18035.0	0.0	30760.0	23361.0	82390.0	9.0	1477.0	689.0	892.0	9347.0	301.0	472.0	1298.0	838.0	1968.0	1403.0	5.0	544.0	540.0	557.0	22405.0	3.0	53.0	26971.0	36993.0	23334.0	6.0	30064.0
9e9d76875f64f6bc63f257d96053b36f	99.0	24.0	7.0	0.0	14.0	1563.0	42.0	0.0	6463.0	8018.0	12434.0	0.0	32113.0	5365.0	20598.0	41645.0	21042.0	20738.0	13.0	57662.0	29495.0	54633.0	14.0	20.0	16.0	33.0	21.0	0.0	48.0	11.0
01b8fc36136eb017b939dc483481b249	1240.0	629.0	0.0	14.0	0.0	1256.0	1380.0	0.0	31622.0	0.0	27053.0	0.0	0.0	20303.0	22483.0	16743.0	24000.0	19531.0	17.0	13105.0	19251.0	0.0	1367.0	24.0	0.0	1383.0	786.0	812.0	0.0	652.0
