# Constructed from biom file
#OTU ID	Musq_19	Musq_21	Musq_23	Musq_25	Musq_27	Musq_29	Musq_31	Zone_2B_1	Zone_2B_2	Zone_2B_3	Zone_3_1	Zone_3_3	Zone_3_2	Zone_2A_12	Zone_2A_10	Zone_2A_1	Musq_01	Musq_03	Musq_05	Musq_07	Musq_09	Musq_11	Musq_13	Musq_15	Musq_17
k__Metazoa;p__Chordata;c__Actinopteri;o__Clupeiformes;f__Clupeidae;g__Alosa;s__Alosa pseudoharengus (alewife)	1537.0	0.0	0.0	0.0	10307.0	38575.0	0.0	13152.0	0.0	0.0	0.0	6832.0	0.0	9874.0	17377.0	1993.0	2336.0	2735.0	0.0	1414.0	0.0	4907.0	27587.0	1818.0	0.0
k__Metazoa;p__Chordata;c__Actinopteri;o__Scombriformes;f__Scombridae;g__Scomber;s__Scomber scombrus (Atlantic mackerel)	149.0	0.0	1713.0	7295.0	0.0	0.0	13.0	4608.0	6485.0	2.0	0.0	0.0	19232.0	17165.0	0.0	6.0	8.0	0.0	0.0	0.0	0.0	0.0	0.0	5.0	13.0
k__Metazoa;p__Chordata;c__Mammalia;o__Artiodactyla;f__Phocoenidae;g__Phocoena;s__Phocoena phocoena (harbor porpoise)	0.0	0.0	0.0	0.0	0.0	564.0	0.0	0.0	0.0	241.0	0.0	72.0	3095.0	0.0	0.0	0.0	0.0	248.0	0.0	0.0	2761.0	553.0	59.0	11974.0	503.0
k__Metazoa;p__Chordata;c__Chondrichthyes;o__Lamniformes;f__Alopiidae;g__Alopias;s__Alopias vulpinus (thresher shark)	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2628.0	340.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Metazoa;p__Chordata;c__Actinopteri;o__Clupeiformes;f__Clupeidae;g__Brevoortia;s__Brevoortia patronus (Gulf menhaden)	219.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8759.0	0.0	0.0	0.0	0.0	0.0	0.0	638.0	0.0	0.0	6330.0	8844.0	0.0	0.0	0.0	0.0
k__Metazoa;p__Chordata;c__Chondrichthyes;o__Lamniformes;f__Alopiidae;g__Carcharodon;s__Carcharodon carcharias (great white shark)	0.0	0.0	0.0	0.0	0.0	0.0	1378.0	0.0	0.0	842.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Metazoa;p__Chordata;c__Actinopteri;o__Perciformes;f__Cottidae;g__Myoxocephalus;s__Myoxocephalus aenaeus (grubby sculpin)	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8.0	0.0	0.0	0.0	27955.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Metazoa;p__Chordata;c__Actinopteri;o__Cypriniformes;f__Catostomidae;g__Catostomus;s__Catostomus commersonii (white sucker)	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	15787.0	0.0	4122.0	11.0	0.0	2307.0	0.0	0.0	0.0
k__Metazoa;p__Chordata;c__Actinopteri;o__Gadiformes;f__Gaidropsaridae;g__Enchelyopus;s__Enchelyopus cimbrius (fourbeard rockling)	796.0	0.0	0.0	0.0	0.0	6555.0	0.0	0.0	5654.0	18520.0	0.0	0.0	0.0	0.0	0.0	5.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Metazoa;p__Chordata;c__Actinopteri;o__Anguilliformes;f__Anguillidae;g__Anguilla;s__Anguilla rostrata (American eel)	707.0	0.0	9.0	9.0	0.0	36.0	11359.0	0.0	0.0	14.0	0.0	11.0	0.0	0.0	19.0	19.0	65474.0	7135.0	7535.0	9681.0	2370.0	4.0	29338.0	9250.0	3498.0
k__Metazoa;p__Chordata;c__Actinopteri;o__Acipenseriformes;f__Acipenseridae;g__Acipenser;s__Acipenser oxyrinchus (Atlantic sturgeon)	0.0	0.0	0.0	3095.0	0.0	0.0	0.0	0.0	0.0	0.0	5.0	0.0	6098.0	0.0	7362.0	0.0	0.0	3654.0	0.0	0.0	3970.0	0.0	3756.0	0.0	0.0
k__Metazoa;p__Chordata;c__Actinopteri;o__Cypriniformes;f__Leuciscidae;g__Rhinichthys;s__Rhinichthys atratulus (blacknose dace)	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2419.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Metazoa;p__Chordata;c__Actinopteri;o__Perciformes;f__Gasterosteidae;g__Apeltes;s__Apeltes quadracus (fourspine stickleback)	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6196.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Metazoa;p__Chordata;c__Actinopteri;o__Perciformes;f__Agonidae;g__Hemitripterus;s__Hemitripterus americanus (sea raven)	0.0	0.0	0.0	11.0	0.0	4.0	0.0	23785.0	0.0	0.0	0.0	0.0	8.0	0.0	0.0	5977.0	0.0	0.0	0.0	0.0	7.0	0.0	0.0	0.0	0.0
k__Metazoa;p__Chordata;c__Actinopteri;o__Lophiiformes;f__Lophiidae;g__Lophius;s__Lophius americanus (American angler)	0.0	0.0	0.0	0.0	0.0	0.0	0.0	15075.0	0.0	0.0	0.0	0.0	4.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Metazoa;p__Chordata;c__Actinopteri;o__Perciformes;f__Zoarcidae;g__Zoarces;s__Zoarces americanus (ocean pout)	2715.0	1397.0	0.0	0.0	0.0	2588.0	9117.0	0.0	0.0	9719.0	6.0	2865.0	2443.0	0.0	0.0	2927.0	2.0	0.0	0.0	4.0	0.0	0.0	0.0	0.0	0.0
k__Metazoa;p__Chordata;c__Actinopteri;o__Gadiformes;f__Phycidae;g__Urophycis;s__Urophycis tenuis (white hake)	0.0	18122.0	25143.0	15349.0	11.0	9830.0	5.0	0.0	12.0	14807.0	0.0	7093.0	2.0	15.0	9.0	0.0	0.0	3.0	6621.0	4054.0	3182.0	5999.0	16.0	24822.0	0.0
k__Metazoa;p__Chordata;c__Actinopteri;o__Clupeiformes;f__Clupeidae;g__Alosa;s__Alosa sapidissima (American shad)	1499.0	0.0	3480.0	0.0	0.0	0.0	0.0	0.0	0.0	8756.0	0.0	7259.0	0.0	0.0	2072.0	896.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6615.0
