# Constructed from biom file
#OTU ID	Musq_19	Musq_21	Musq_23	Musq_25	Musq_27	Musq_29	Musq_31	Zone_2B_1	Zone_2B_2	Zone_2B_3	Zone_3_1	Zone_3_3	Zone_3_2	Zone_2A_12	Zone_2A_10	Zone_2A_1	Musq_01	Musq_03	Musq_05	Musq_07	Musq_09	Musq_11	Musq_13	Musq_15	Musq_17
k__Metazoa;p__Bryozoa;c__Gymnolaemata;o__Ctenostomatida;f__Alcyonidiidae;g__Alcyonidium;s__Alcyonidium polyoum (bryozoans)	13.0	4.0	27.0	4.0	0.0	0.0	0.0	18.0	3.0	0.0	0.0	13.0	5.0	105.0	0.0	15.0	5.0	0.0	0.0	0.0	10.0	46.0	27.0	21.0	6.0
k__Metazoa;p__Chordata;c__Actinopteri;o__Clupeiformes;f__Clupeidae;g__Brevoortia;s__Brevoortia tyrannus (Atlantic menhaden)	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	3.0	2.0	0.0	0.0	5.0	0.0	0.0	27.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Metazoa;p__Cnidaria;c__Hydrozoa;o__Leptothecata;f__Clytiidae;g__Clytia;s__Clytia hemisphaerica (hydrozoans)	0.0	0.0	0.0	4.0	2.0	0.0	0.0	0.0	5.0	0.0	2.0	0.0	0.0	0.0	5.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	0.0	0.0
k__Metazoa;p__Mollusca;c__Gastropoda;o__Littorinimorpha;f__Littorinidae;g__Littorina;s__Littorina littorea (gastropods)	0.0	0.0	10.0	0.0	0.0	5.0	0.0	3.0	0.0	3.0	0.0	9.0	0.0	41.0	0.0	19.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	9.0	0.0
k__Metazoa;p__Bryozoa;c__Gymnolaemata;o__Cheilostomatida;f__Flustridae;g__Flustra;s__Flustra foliacea (greater hornwrack)	0.0	0.0	9.0	14.0	20.0	6.0	14.0	41.0	15.0	22.0	23.0	134.0	13.0	4.0	12.0	6.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.0	0.0
k__Metazoa;p__Arthropoda;c__Hexanauplia;o__Calanoida;f__Clausocalanidae;g__Microcalanus;s__Microcalanus pusillus (copepods)	0.0	0.0	0.0	6.0	0.0	254.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	101.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Metazoa;p__Echinodermata;c__Echinoidea;o__Camarodonta;f__Strongylocentrotidae;g__Strongylocentrotus;s__Strongylocentrotus droebachiensis (green sea urchin)	0.0	0.0	9.0	5.0	0.0	0.0	0.0	16.0	12.0	12.0	19.0	0.0	0.0	0.0	0.0	4.0	0.0	0.0	0.0	0.0	5.0	0.0	6.0	0.0	0.0
k__Metazoa;p__Annelida;c__Polychaeta;o__Spionida;f__Spionidae;g__Polydora;s__Polydora cornuta (polychaetes)	10.0	14.0	18.0	39.0	0.0	0.0	0.0	8.0	0.0	11.0	0.0	8.0	16.0	6.0	28.0	79.0	7.0	36.0	5.0	3.0	29.0	16431.0	9505.0	17686.0	29971.0
k__Metazoa;p__Arthropoda;c__Hexanauplia;o__Calanoida;f__Centropagidae;g__Centropages;s__Centropages hamatus (copepods)	0.0	622.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	361.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Metazoa;p__Chordata;c__Actinopteri;o__Atheriniformes;f__Atherinopsidae;g__Menidia;s__Menidia menidia (Atlantic silverside)	28.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.0	14.0	12.0	7.0	0.0	0.0	0.0	0.0	5.0	0.0	0.0	15.0
k__Metazoa;p__Cnidaria;c__Hydrozoa;o__Anthoathecata;f__Pandeidae;g__Leuckartiara;s__Leuckartiara octona (hydrozoans)	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0	9.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Metazoa;p__Cnidaria;c__Hydrozoa;o__Leptothecata;f__Obeliidae;g__Obelia;s__Obelia dichotoma (sea thread hydroid)	73.0	129.0	54.0	4.0	4.0	0.0	0.0	0.0	0.0	6.0	7.0	0.0	0.0	0.0	0.0	5.0	0.0	7.0	5.0	14.0	106.0	35.0	32.0	50.0	61.0
