Date,Site,Set Number,Fish_Number,Species,Total_Length (mm),Length_Precision,Whole specimen,Photo #,Comments
12-Aug-19,TAW,2,59,Atlantic Herring,62,1mm,,,
12-Aug-19,TAW,2,60,Atlantic Herring,78,1mm,,,
12-Aug-19,TAW,2,61,Atlantic Herring,80,1mm,,,
12-Aug-19,TAW,2,62,Atlantic Herring,73,1mm,,,
12-Aug-19,TAW,2,63,Atlantic Herring,75,1mm,,,
12-Aug-19,TAW,2,64,Atlantic Herring,74,1mm,,,
12-Aug-19,TAW,2,65,Atlantic Herring,64,1mm,,,
12-Aug-19,TAW,2,66,Atlantic Herring,74,1mm,,,
12-Aug-19,TAW,2,67,Atlantic Herring,70,1mm,,,
12-Aug-19,TAW,2,68,Atlantic Herring,72,1mm,,,
12-Aug-19,TAW,2,69,Atlantic Herring,72,1mm,,,
12-Aug-19,TAW,2,70,Atlantic Herring,72,1mm,,,
12-Aug-19,TAW,2,71,Atlantic Herring,71,1mm,,,
12-Aug-19,TAW,2,72,Atlantic Herring,71,1mm,,,
12-Aug-19,TAW,2,73,Atlantic Herring,77,1mm,,,
12-Aug-19,TAW,2,74,Atlantic Herring,70,1mm,,,
12-Aug-19,TAW,2,75,Atlantic Herring,78,1mm,,,
12-Aug-19,TAW,2,76,Atlantic Herring,70,1mm,,,
12-Aug-19,TAW,2,77,Atlantic Herring,71,1mm,,,
12-Aug-19,TAW,2,78,Atlantic Herring,70,1mm,,,
12-Aug-19,TAW,2,79,Atlantic Herring,76,1mm,,,
12-Aug-19,TAW,2,80,Atlantic Herring,77,1mm,,,
12-Aug-19,TAW,2,81,Atlantic Herring,72,1mm,,,
12-Aug-19,TAW,2,82,Atlantic Herring,79,1mm,,,
12-Aug-19,TAW,2,83,Atlantic Herring,69,1mm,,,
12-Aug-19,TAW,2,84,Atlantic Herring,66,1mm,,,
12-Aug-19,TAW,2,85,Atlantic Herring,71,1mm,,,
12-Aug-19,TAW,2,86,Atlantic Herring,74,1mm,,,
12-Aug-19,TAW,2,87,Atlantic Herring,77,1mm,,,
12-Aug-19,TAW,2,88,Caraynx sp.,41,1mm,,106-107,"ID'd as ""Triggerfish"" morph but is a jack (Carangidae)"
12-Aug-19,TAW,2,89,Atlantic Herring,69,1mm,,,
12-Aug-19,TAW,2,90,Atlantic Herring,67,1mm,,,
12-Aug-19,TAW,2,91,Atlantic Herring,65,1mm,,,
12-Aug-19,TAW,2,92,Atlantic Herring,70,1mm,,,
12-Aug-19,TAW,2,93,Atlantic Herring,64,1mm,,,
12-Aug-19,TAW,2,94,Atlantic Herring,69,1mm,,,
12-Aug-19,TAW,2,95,Atlantic Herring,59,1mm,,,
12-Aug-19,TAW,2,96,Atlantic Herring,80,1mm,,,
12-Aug-19,TAW,2,97,Atlantic Herring,76,1mm,,,
12-Aug-19,TAW,2,98,Northern Sennet,79,1mm,y,109-110,"S. borealis potentially, a species of barracuda"
12-Aug-19,TAW,2,99,White Hake,74,1mm,,,
12-Aug-19,TAW,2,100,Tomcod,66,1mm,,,
12-Aug-19,TAW,2,101,Threespine Stickleback,31,1mm,,,
12-Aug-19,TAW,2,102,Tomcod,60,1mm,,,
12-Aug-19,TAW,2,103,Threespine Stickleback,27,1mm,,,
12-Aug-19,TAW,2,104,Pipefish,161,1mm,,,
12-Aug-19,TAW,2,105,Pipefish,65,1mm,,,
12-Aug-19,TAW,2,106,Pipefish,148,1mm,,,
12-Aug-19,TAW,2,107,Tomcod,45,1mm,,,
12-Aug-19,TAW,2,108,Threespine Stickleback,44,1mm,,,
12-Aug-19,TAW,2,109,Threespine Stickleback,32,1mm,,,
12-Aug-19,TAW,2,110,Tomcod,55,1mm,,,
12-Aug-19,TAW,2,111,Tomcod,58,1mm,,,
12-Aug-19,TAW,2,112,Threespine Stickleback,36,1mm,,,
12-Aug-19,TAW,2,113,Threespine Stickleback,41,1mm,,,
12-Aug-19,TAW,2,114,Northern Sennet,66,1mm,,111,
12-Aug-19,TAW,2,115,Threespine Stickleback,44,1mm,,,
12-Aug-19,TAW,2,116,Threespine Stickleback,42,1mm,,,
12-Aug-19,TAW,2,117,Threespine Stickleback,38,1mm,,,
12-Aug-19,TAW,2,118,Threespine Stickleback,42,1mm,,,
12-Aug-19,TAW,2,119,Cunner,63,1mm,,,
12-Aug-19,TAW,2,120,Northern Sennet,78,1mm,,112,
12-Aug-19,TAW,2,121,Pipefish,160,1mm,,,
12-Aug-19,TAW,2,122,Tomcod,60,1mm,,,
12-Aug-19,TAW,2,123,Cunner,54,1mm,,,
12-Aug-19,TAW,2,124,Sand Lance,109,1mm,,,
12-Aug-19,TAW,2,125,Tomcod,65,1mm,,,
12-Aug-19,TAW,2,126,Carynx sp.,44,1mm,,113-114,"Carangidae, a Jack species we labeled as ""Triggerfish"""
12-Aug-19,TAW,2,127,Threespine Stickleback,35,1mm,,,
12-Aug-19,TAW,2,128,Cunner,78,1mm,,,
12-Aug-19,TAW,2,129,Cunner,91,1mm,,,
12-Aug-19,TAW,2,130,Cunner,65,1mm,,,
12-Aug-19,TAW,2,131,Pipefish,168,1mm,,,
12-Aug-19,TAW,2,132,Cunner,56,1mm,,,
12-Aug-19,TAW,2,133,Cunner,60,1mm,,,
12-Aug-19,TAW,2,134,Pipefish,185,1mm,,,
12-Aug-19,TAW,2,135,Pipefish,194,1mm,,,
12-Aug-19,TAW,2,136,Cunner,77,1mm,,,
12-Aug-19,TAW,2,137,Pipefish,154,1mm,,,
12-Aug-19,TAW,2,138,Cunner,64,1mm,,,
12-Aug-19,TAW,2,139,Carynx sp.,46,1mm,,115-116,"Carangidae, "
12-Aug-19,TAW,2,140,Threespine Stickleback,46,1mm,,,
12-Aug-19,TAW,2,141,Cunner,61,1mm,,,
12-Aug-19,TAW,2,142,Sculpin,61,1mm,,117-118,
12-Aug-19,TAW,2,143,Cunner,64,1mm,,,
12-Aug-19,TAW,2,144,Cunner,62,1mm,,,
12-Aug-19,TAW,2,145,Threespine Stickleback,50,1mm,,,
12-Aug-19,TAW,2,146,Tomcod,60,1mm,,,
12-Aug-19,TAW,2,147,Tomcod,66,1mm,,,
12-Aug-19,TAW,2,148,Threespine Stickleback,38,1mm,,,
12-Aug-19,TAW,2,149,Threespine Stickleback,36,1mm,,,
12-Aug-19,TAW,2,150,Tomcod,73,1mm,,,
12-Aug-19,TAW,2,151,Cunner,62,1mm,,,
12-Aug-19,TAW,2,152,Tomcod,73,1mm,,,
13-Aug-19,MOS,1,1,Sand Lance,92,1mm,,,
13-Aug-19,MOS,1,2,Sand Lance,95,1mm,,,
13-Aug-19,MOS,1,3,Sand Lance,94,1mm,,,Mortality
13-Aug-19,MOS,1,4,Sand Lance,93,1mm,,,
13-Aug-19,MOS,1,5,Sand Lance,89,1mm,,,
13-Aug-19,MOS,1,6,Sand Lance,87,1mm,,,Mortality
13-Aug-19,MOS,1,7,Sand Lance,95,1mm,,,
13-Aug-19,MOS,1,8,Sand Lance,74,1mm,,,
13-Aug-19,MOS,1,9,Sand Lance,97,1mm,,,
13-Aug-19,MOS,1,10,Sand Lance,97,1mm,,,
13-Aug-19,MOS,1,11,Sand Lance,87,1mm,,,
13-Aug-19,MOS,1,12,Sand Lance,89,1mm,,,
13-Aug-19,MOS,1,13,Sand Lance,90,1mm,,,
13-Aug-19,MOS,1,14,Sand Lance,94,1mm,,,
13-Aug-19,MOS,1,15,Sand Lance,91,1mm,,,
13-Aug-19,MOS,1,16,Sand Lance,86,1mm,,,
13-Aug-19,MOS,1,17,Sand Lance,90,1mm,,,
13-Aug-19,MOS,1,18,Sand Lance,96,1mm,,,
13-Aug-19,MOS,1,19,Sand Lance,64,1mm,,,
13-Aug-19,MOS,1,20,Sand Lance,95,1mm,,,
13-Aug-19,MOS,1,21,Sand Lance,97,1mm,,,
13-Aug-19,MOS,1,22,Sand Lance,88,1mm,,,Mortality
13-Aug-19,MOS,1,23,Sand Lance,89,1mm,,,
13-Aug-19,MOS,1,24,Sand Lance,80,1mm,,,
13-Aug-19,MOS,1,25,Sand Lance,89,1mm,,,
13-Aug-19,MOS,1,26,Sand Lance,75,1mm,,,
13-Aug-19,MOS,1,27,Sand Lance,92,1mm,,,
13-Aug-19,MOS,1,28,Sand Lance,72,1mm,,,
13-Aug-19,MOS,1,29,Sand Lance,87,1mm,,,
13-Aug-19,MOS,1,30,Sand Lance,91,1mm,,,
13-Aug-19,MOS,1,31,Sand Lance,91,1mm,,,
13-Aug-19,MOS,1,32,Sand Lance,66,1mm,,,
13-Aug-19,MOS,1,33,Sand Lance,84,1mm,,,
13-Aug-19,MOS,1,34,Sand Lance,86,1mm,,,
13-Aug-19,MOS,1,35,Sand Lance,70,1mm,,,
13-Aug-19,MOS,1,36,Sand Lance,61,1mm,,,
13-Aug-19,MOS,1,37,Sand Lance,92,1mm,,,
13-Aug-19,MOS,1,38,Sand Lance,70,1mm,,,
13-Aug-19,MOS,1,39,Sand Lance,89,1mm,,,
13-Aug-19,MOS,1,40,Sand Lance,90,1mm,,,Mortality
13-Aug-19,MOS,1,41,Sand Lance,63,1mm,,,
13-Aug-19,MOS,1,42,Sand Lance,101,1mm,,,
13-Aug-19,MOS,1,43,Sand Lance,68,1mm,,,
13-Aug-19,MOS,1,44,Sand Lance,94,1mm,,,
13-Aug-19,MOS,1,45,Sand Lance,69,1mm,,,
13-Aug-19,MOS,1,46,Sand Lance,80,1mm,,,
13-Aug-19,MOS,1,47,Sand Lance,90,1mm,,,
13-Aug-19,MOS,1,48,Sand Lance,85,1mm,,,
13-Aug-19,MOS,1,49,Sand Lance,85,1mm,,,Mortality
13-Aug-19,MOS,1,50,Sand Lance,96,1mm,,,
13-Aug-19,MOS,1,51,Atlantic Herring,93,1mm,,,"Two classes of juvenile herring - small black ones, larger blue ones"
13-Aug-19,MOS,1,52,Alosa sp.,46,1mm,y,130,"Dead, with parasite"
13-Aug-19,MOS,1,53,Alosa sp.,39,1mm,,,"Smaller, black herring are river herring. Larger ones might be too…"
13-Aug-19,MOS,1,54,Alosa sp.,41,1mm,,,
13-Aug-19,MOS,1,55,Tomcod,85,1mm,,,mortality
13-Aug-19,MOS,1,56,Tomcod,60,1mm,,,mortality
13-Aug-19,MOS,1,57,Tomcod,56,1mm,,,mortality
13-Aug-19,MOS,1,58,Tomcod,51,1mm,,,mortality
13-Aug-19,MOS,1,59,Tomcod,80,1mm,,,
13-Aug-19,MOS,1,60,Tomcod,96,1mm,,,
13-Aug-19,MOS,1,61,Tomcod,60,1mm,,,mort
13-Aug-19,MOS,1,62,Atlantic Herring,66,1mm,,,mort
13-Aug-19,MOS,1,63,Tomcod,62,1mm,,,
13-Aug-19,MOS,1,64,Alosa sp.,30,1mm,,,mort
13-Aug-19,MOS,1,65,Winter Flounder,100,1mm,,131-132,
13-Aug-19,MOS,1,66,White Hake,90,1mm,,,
13-Aug-19,MOS,1,67,Atlantic Herring,50,1mm,,,
13-Aug-19,MOS,1,68,Tomcod,82,1mm,,,
13-Aug-19,MOS,1,69,Tomcod,95,1mm,,,
13-Aug-19,MOS,1,70,Pipefish,172,1mm,,,
13-Aug-19,MOS,1,71,Tomcod,65,1mm,,,mort
13-Aug-19,MOS,1,72,Tomcod,95,1mm,,,
13-Aug-19,MOS,1,73,Tomcod,65,1mm,,,
13-Aug-19,MOS,1,74,Tomcod,64,1mm,,,
13-Aug-19,MOS,1,75,Tomcod,70,1mm,,,
13-Aug-19,MOS,1,76,Tomcod,53,1mm,,,
13-Aug-19,MOS,1,77,Tomcod,60,1mm,,,
13-Aug-19,MOS,1,78,Cunner,77,1mm,,,
13-Aug-19,MOS,1,79,Tomcod,75,1mm,,,
13-Aug-19,MOS,1,80,Tomcod,80,1mm,,,
13-Aug-19,MOS,1,81,White Hake,79,1mm,,,
13-Aug-19,MOS,1,82,Tomcod,59,1mm,,,
13-Aug-19,MOS,1,83,Threespine Stickleback,55,1mm,,133,
13-Aug-19,MOS,1,84,Tomcod,57,1mm,,,
13-Aug-19,MOS,1,85,Alosa sp.,40,1mm,,134,
13-Aug-19,MOS,1,86,Threespine Stickleback,32,1mm,,,
13-Aug-19,MOS,1,87,Tomcod,60,1mm,,,
13-Aug-19,MOS,1,88,Alosa sp.,45,1mm,,,
13-Aug-19,MOS,1,89,Tomcod,55,1mm,,,
13-Aug-19,MOS,1,90,Threespine Stickleback,39,1mm,,,
13-Aug-19,MOS,1,91,Alosa sp.,44,1mm,,,
13-Aug-19,MOS,1,92,Tomcod,57,1mm,,,
13-Aug-19,MOS,1,93,Threespine Stickleback,53,1mm,,,
13-Aug-19,MOS,1,94,Threespine Stickleback,37,1mm,,,
13-Aug-19,MOS,1,95,Alosa sp.,29,1mm,,,mort
13-Aug-19,MOS,1,96,Alosa sp.,39,1mm,,,
13-Aug-19,MOS,1,97,Threespine Stickleback,30,1mm,,,
13-Aug-19,MOS,1,98,Threespine Stickleback,40,1mm,,,
13-Aug-19,MOS,1,99,Threespine Stickleback,36,1mm,,,
13-Aug-19,MOS,1,100,Tomcod,65,1mm,,,
13-Aug-19,MOS,1,101,Threespine Stickleback,25,1mm,,,
13-Aug-19,MOS,1,102,Tomcod,56,1mm,,,
13-Aug-19,MOS,1,103,Cunner,50,1mm,,,
13-Aug-19,MOS,1,104,Alosa sp.,30,1mm,,,mort
13-Aug-19,MOS,1,105,Threespine Stickleback,21,1mm,,,
13-Aug-19,MOS,1,106,Tomcod,82,1mm,,,
13-Aug-19,MOS,1,107,Alosa sp.,25,1mm,,,
13-Aug-19,MOS,1,108,Alosa sp.,43,1mm,,,
13-Aug-19,MOS,1,109,Alosa sp.,38,1mm,,,
13-Aug-19,MOS,1,110,Alosa sp.,30,1mm,,,
13-Aug-19,MOS,1,111,Threespine Stickleback,44,1mm,,,
13-Aug-19,MOS,1,112,Atlantic Herring,41,1mm,,,
13-Aug-19,MOS,1,113,Tomcod,55,1mm,,,
13-Aug-19,MOS,1,114,Alosa sp.,29,1mm,,,
13-Aug-19,MOS,1,115,Alosa sp.,36,1mm,,,
13-Aug-19,MOS,1,116,Tomcod,54,1mm,,,
13-Aug-19,MOS,1,117,Alosa sp.,34,1mm,,,
13-Aug-19,MOS,1,118,Threespine Stickleback,39,1mm,,,
13-Aug-19,MOS,1,119,Alosa sp.,31,1mm,,,
13-Aug-19,MOS,1,120,Alosa sp.,39,1mm,,,
13-Aug-19,MOS,1,121,Alosa sp.,34,1mm,,,
13-Aug-19,MOS,1,122,Tomcod,60,1mm,,,
13-Aug-19,MOS,1,123,White Hake,75,1mm,,,
13-Aug-19,MOS,1,124,Tomcod,77,1mm,,,
13-Aug-19,MOS,1,125,Tomcod,61,1mm,,,
13-Aug-19,MOS,1,126,Tomcod,97,1mm,,,
13-Aug-19,MOS,1,127,Cunner,66,1mm,,,
13-Aug-19,MOS,1,128,Tomcod,77,1mm,,,
13-Aug-19,MOS,1,129,Tomcod,62,1mm,,,
13-Aug-19,MOS,1,130,Tomcod,63,1mm,,,
13-Aug-19,MOS,1,131,Tomcod,64,1mm,,,
13-Aug-19,MOS,1,132,Tomcod,64,1mm,,,
13-Aug-19,MOS,1,133,Tomcod,60,1mm,,,
13-Aug-19,MOS,1,134,Tomcod,74,1mm,,,
13-Aug-19,MOS,1,135,Tomcod,72,1mm,,,
13-Aug-19,MOS,1,136,Tomcod,55,1mm,,,
13-Aug-19,MOS,1,137,Cunner,63,1mm,,,
13-Aug-19,MOS,1,138,Tomcod,56,1mm,,,
13-Aug-19,MOS,1,139,Tomcod,85,1mm,,,
13-Aug-19,MOS,1,140,Tomcod,49,1mm,,,
13-Aug-19,MOS,1,141,Tomcod,68,1mm,,,
13-Aug-19,MOS,1,142,Alosa sp.,31,1mm,,,
13-Aug-19,MOS,1,143,White Hake,54,1mm,,,
13-Aug-19,MOS,1,144,Tomcod,58,1mm,,,
13-Aug-19,MOS,1,145,Tomcod,58,1mm,,,
13-Aug-19,MOS,1,146,Alosa sp.,31,1mm,,,
13-Aug-19,MOS,1,147,Alosa sp.,31,1mm,,,
13-Aug-19,MOS,1,148,Alosa sp.,39,1mm,,,
13-Aug-19,MOS,1,149,Alosa sp.,38,1mm,,,
13-Aug-19,MOS,1,150,Alosa sp.,32,1mm,eDNA023,,Confirmed ID by Daphne - river herring
13-Aug-19,MOS,1,151,Threespine Stickleback,28,1mm,,,
13-Aug-19,MOS,1,152,Threespine Stickleback,22,1mm,,,
13-Aug-19,MOS,1,153,Threespine Stickleback,39,1mm,,,
13-Aug-19,MOS,1,154,Tomcod,60,1mm,,,
13-Aug-19,MOS,1,155,Threespine Stickleback,51,1mm,,,
13-Aug-19,MOS,1,156,Threespine Stickleback,32,1mm,,,
13-Aug-19,MOS,1,157,Alosa sp.,27,1mm,,,
13-Aug-19,MOS,1,158,Threespine Stickleback,33,1mm,,,
13-Aug-19,MOS,1,159,Tomcod,62,1mm,,,
13-Aug-19,MOS,1,160,Threespine Stickleback,35,1mm,,,
13-Aug-19,MOS,1,161,Threespine Stickleback,27,1mm,,,
13-Aug-19,MOS,1,162,Threespine Stickleback,28,1mm,,,
13-Aug-19,MOS,1,163,Alosa sp.,44,1mm,,,
13-Aug-19,MOS,1,164,White Hake,79,1mm,,,
13-Aug-19,MOS,1,165,Threespine Stickleback,28,1mm,,,
13-Aug-19,MOS,1,166,Alosa sp.,38,1mm,,,
13-Aug-19,MOS,1,167,Threespine Stickleback,45,1mm,,,
13-Aug-19,MOS,1,168,Threespine Stickleback,26,1mm,,,
13-Aug-19,MOS,1,169,Tomcod,64,1mm,,,
13-Aug-19,MOS,1,170,Threespine Stickleback,37,1mm,,,
13-Aug-19,MOS,1,171,Threespine Stickleback,44,1mm,,,
13-Aug-19,MOS,1,172,Alosa sp.,34,1mm,,,
13-Aug-19,MOS,1,173,Alosa sp.,33,1mm,,,
13-Aug-19,MOS,1,174,Threespine Stickleback,37,1mm,,,
13-Aug-19,MOS,1,175,Threespine Stickleback,35,1mm,,,
13-Aug-19,MOS,1,176,Threespine Stickleback,45,1mm,,,
13-Aug-19,MOS,1,177,Threespine Stickleback,29,1mm,,,
13-Aug-19,MOS,1,178,Threespine Stickleback,25,1mm,,,
13-Aug-19,MOS,1,179,Threespine Stickleback,29,1mm,,,
13-Aug-19,MOS,1,180,Threespine Stickleback,32,1mm,,,
13-Aug-19,MOS,1,181,Threespine Stickleback,30,1mm,,,
13-Aug-19,MOS,1,182,Threespine Stickleback,42,1mm,,,
13-Aug-19,MOS,1,183,Threespine Stickleback,32,1mm,,,
13-Aug-19,MOS,1,184,Threespine Stickleback,31,1mm,,,
13-Aug-19,MOS,1,185,Threespine Stickleback,34,1mm,,,
13-Aug-19,MOS,1,186,Threespine Stickleback,43,1mm,,,
13-Aug-19,MOS,1,187,Threespine Stickleback,46,1mm,,,
13-Aug-19,MOS,1,188,Threespine Stickleback,30,1mm,,,
13-Aug-19,MOS,1,189,Threespine Stickleback,35,1mm,,,
13-Aug-19,MOS,1,190,Threespine Stickleback,26,1mm,,,
13-Aug-19,MOS,1,191,Threespine Stickleback,36,1mm,,,
13-Aug-19,MOS,1,192,Threespine Stickleback,25,1mm,,,
13-Aug-19,MOS,1,193,Threespine Stickleback,38,1mm,,,
13-Aug-19,MOS,1,194,Threespine Stickleback,35,1mm,,,
13-Aug-19,MOS,1,195,Threespine Stickleback,41,1mm,,,
13-Aug-19,MOS,1,196,Threespine Stickleback,36,1mm,,,
13-Aug-19,MOS,1,197,Threespine Stickleback,34,1mm,,,
13-Aug-19,MOS,1,198,Threespine Stickleback,28,1mm,,,
13-Aug-19,MOS,1,199,Threespine Stickleback,35,1mm,,,
13-Aug-19,MOS,1,200,Threespine Stickleback,52,1mm,,,
13-Aug-19,MOS,1,201,Threespine Stickleback,42,1mm,,,
13-Aug-19,MOS,1,202,Threespine Stickleback,32,1mm,,,
13-Aug-19,MOS,1,203,Threespine Stickleback,51,1mm,,,
13-Aug-19,MOS,2,1,Sand Lance,90,1mm,,,
13-Aug-19,MOS,2,2,Sand Lance,95,1mm,,,
13-Aug-19,MOS,2,3,Sand Lance,85,1mm,,,
13-Aug-19,MOS,2,4,Sand Lance,65,1mm,,,
13-Aug-19,MOS,2,5,Sand Lance,55,1mm,,,
13-Aug-19,MOS,2,6,Sand Lance,62,1mm,,,
13-Aug-19,MOS,2,7,Sand Lance,91,1mm,,,
13-Aug-19,MOS,2,8,Sand Lance,95,1mm,,,
13-Aug-19,MOS,2,9,Sand Lance,72,1mm,,,
13-Aug-19,MOS,2,10,Sand Lance,63,1mm,,,
13-Aug-19,MOS,2,11,Sand Lance,81,1mm,,,
13-Aug-19,MOS,2,12,Sand Lance,85,1mm,,,
13-Aug-19,MOS,2,13,Sand Lance,65,1mm,,,
13-Aug-19,MOS,2,14,Sand Lance,90,1mm,,,
13-Aug-19,MOS,2,15,Sand Lance,94,1mm,,,
13-Aug-19,MOS,2,16,Sand Lance,99,1mm,,,
13-Aug-19,MOS,2,17,Sand Lance,86,1mm,,,
13-Aug-19,MOS,2,18,Sand Lance,85,1mm,,,
13-Aug-19,MOS,2,19,Sand Lance,84,1mm,,,
13-Aug-19,MOS,2,20,Sand Lance,86,1mm,,,
13-Aug-19,MOS,2,21,Sand Lance,87,1mm,,,
13-Aug-19,MOS,2,22,Sand Lance,80,1mm,,,
13-Aug-19,MOS,2,23,Sand Lance,79,1mm,,,
13-Aug-19,MOS,2,24,Sand Lance,95,1mm,,,
13-Aug-19,MOS,2,25,Sand Lance,79,1mm,,,
13-Aug-19,MOS,2,26,Sand Lance,89,1mm,,,
13-Aug-19,MOS,2,27,Sand Lance,99,1mm,,,
13-Aug-19,MOS,2,28,Sand Lance,86,1mm,,,
13-Aug-19,MOS,2,29,Sand Lance,97,1mm,,,
13-Aug-19,MOS,2,30,Sand Lance,88,1mm,,,
13-Aug-19,MOS,2,31,Sand Lance,90,1mm,,,
13-Aug-19,MOS,2,32,Sand Lance,96,1mm,,,
13-Aug-19,MOS,2,33,Sand Lance,66,1mm,,,
13-Aug-19,MOS,2,34,Sand Lance,94,1mm,,,
13-Aug-19,MOS,2,35,Sand Lance,98,1mm,,,
13-Aug-19,MOS,2,36,Sand Lance,96,1mm,,,
13-Aug-19,MOS,2,37,Sand Lance,65,1mm,,,
13-Aug-19,MOS,2,38,Sand Lance,66,1mm,,,
13-Aug-19,MOS,2,39,Sand Lance,90,1mm,,,
13-Aug-19,MOS,2,40,Sand Lance,64,1mm,,,
13-Aug-19,MOS,2,41,Sand Lance,83,1mm,,,
13-Aug-19,MOS,2,42,Sand Lance,91,1mm,,,
13-Aug-19,MOS,2,43,Sand Lance,94,1mm,,,
13-Aug-19,MOS,2,44,Sand Lance,90,1mm,,,
13-Aug-19,MOS,2,45,Sand Lance,87,1mm,,,
13-Aug-19,MOS,2,46,Sand Lance,91,1mm,,,
13-Aug-19,MOS,2,47,Sand Lance,88,1mm,,,
13-Aug-19,MOS,2,48,Sand Lance,97,1mm,,,
13-Aug-19,MOS,2,49,Sand Lance,99,1mm,,,
13-Aug-19,MOS,2,50,Sand Lance,66,1mm,,,
13-Aug-19,MOS,2,51,Atlantic Herring,89,1mm,,,Atlantic Herring in Seine 2 are a mix of River Herring and Atlantic Herring
13-Aug-19,MOS,2,52,Alosa sp.,35,1mm,,,"We labeled them all as ""Herring"" but the smaller ones are likely Alosa sp."
13-Aug-19,MOS,2,53,Alosa sp.,31,1mm,,,
13-Aug-19,MOS,2,54,Atlantic Herring,87,1mm,,,
13-Aug-19,MOS,2,55,Pipefish,134,1mm,,,
13-Aug-19,MOS,2,56,Pipefish,205,1mm,,137,
13-Aug-19,MOS,2,57,Atlantic Herring,68,1mm,,,
13-Aug-19,MOS,2,58,Atlantic Herring,41,1mm,,,
13-Aug-19,MOS,2,59,Atlantic Herring,51,1mm,,,
13-Aug-19,MOS,2,60,Atlantic Herring,40,1mm,,,
13-Aug-19,MOS,2,61,Atlantic Herring,45,1mm,,,
13-Aug-19,MOS,2,62,Atlantic Herring,53,1mm,,,
13-Aug-19,MOS,2,63,Atlantic Herring,35,1mm,,,
13-Aug-19,MOS,2,64,Atlantic Herring,38,1mm,,,
13-Aug-19,MOS,2,65,Atlantic Herring,41,1mm,,,
13-Aug-19,MOS,2,66,Atlantic Herring,35,1mm,,,
13-Aug-19,MOS,2,67,Atlantic Herring,41,1mm,,,
13-Aug-19,MOS,2,68,Atlantic Herring,79,1mm,,,
13-Aug-19,MOS,2,69,Atlantic Herring,34,1mm,,,mort
13-Aug-19,MOS,2,70,Atlantic Herring,40,1mm,,,
13-Aug-19,MOS,2,71,Atlantic Herring,25,1mm,,,
13-Aug-19,MOS,2,72,Atlantic Herring,46,1mm,,,
13-Aug-19,MOS,2,73,Atlantic Herring,35,1mm,,,
13-Aug-19,MOS,2,74,Atlantic Herring,42,1mm,,,
13-Aug-19,MOS,2,75,Atlantic Herring,43,1mm,,,
13-Aug-19,MOS,2,76,Atlantic Herring,41,1mm,,,
13-Aug-19,MOS,2,77,Atlantic Herring,37,1mm,,,
13-Aug-19,MOS,2,78,Atlantic Herring,38,1mm,,,
13-Aug-19,MOS,2,79,Atlantic Herring,30,1mm,,,
13-Aug-19,MOS,2,80,Atlantic Herring,40,1mm,,,
13-Aug-19,MOS,2,81,Atlantic Herring,34,1mm,,,
13-Aug-19,MOS,2,82,Atlantic Herring,35,1mm,,,
13-Aug-19,MOS,2,83,Atlantic Herring,52,1mm,,,
13-Aug-19,MOS,2,84,Atlantic Herring,41,1mm,,,
13-Aug-19,MOS,2,85,Atlantic Herring,36,1mm,,,
13-Aug-19,MOS,2,86,Atlantic Herring,40,1mm,,,
13-Aug-19,MOS,2,87,Atlantic Herring,42,1mm,,,
13-Aug-19,MOS,2,88,Atlantic Herring,29,1mm,,,
13-Aug-19,MOS,2,89,Atlantic Herring,21,1mm,,,
13-Aug-19,MOS,2,90,Atlantic Herring,36,1mm,,,
13-Aug-19,MOS,2,91,Atlantic Herring,35,1mm,,,
13-Aug-19,MOS,2,92,Atlantic Herring,28,1mm,,,
13-Aug-19,MOS,2,93,Atlantic Herring,33,1mm,,,
13-Aug-19,MOS,2,94,Atlantic Herring,33,1mm,,,
13-Aug-19,MOS,2,95,Atlantic Herring,41,1mm,,,
13-Aug-19,MOS,2,96,Atlantic Herring,43,1mm,,,
13-Aug-19,MOS,2,97,Atlantic Herring,31,1mm,,,
13-Aug-19,MOS,2,98,Atlantic Herring,30,1mm,,,
13-Aug-19,MOS,2,99,Atlantic Herring,71,1mm,,,
13-Aug-19,MOS,2,100,Atlantic Herring,78,1mm,,,
13-Aug-19,MOS,2,101,Atlantic Herring,81,1mm,,,
13-Aug-19,MOS,2,102,Atlantic Herring,84,1mm,,,
13-Aug-19,MOS,2,103,Atlantic Herring,71,1mm,,,
13-Aug-19,MOS,2,104,Atlantic Herring,40,1mm,,,
13-Aug-19,MOS,2,105,Threespine Stickleback,44,1mm,,,
13-Aug-19,MOS,2,106,Threespine Stickleback,34,1mm,,,
13-Aug-19,MOS,2,107,Threespine Stickleback,35,1mm,,,
13-Aug-19,MOS,2,108,Threespine Stickleback,40,1mm,,,
13-Aug-19,MOS,2,109,Threespine Stickleback,26,1mm,,,
13-Aug-19,MOS,2,110,Threespine Stickleback,32,1mm,,,
13-Aug-19,MOS,2,111,Threespine Stickleback,38,1mm,,,
13-Aug-19,MOS,2,112,Threespine Stickleback,49,1mm,,,
13-Aug-19,MOS,2,113,Threespine Stickleback,38,1mm,,,
13-Aug-19,MOS,2,114,Threespine Stickleback,28,1mm,,,
13-Aug-19,MOS,2,115,Threespine Stickleback,45,1mm,,,
13-Aug-19,MOS,2,116,Threespine Stickleback,41,1mm,,,
13-Aug-19,MOS,2,117,Threespine Stickleback,34,1mm,,,
13-Aug-19,MOS,2,118,Threespine Stickleback,35,1mm,,,
