# Constructed from biom file
#OTU ID	Sample-1	Sample-10	Sample-11	Sample-12	Sample-13	Sample-14	Sample-15	Sample-16	Sample-17	Sample-18	Sample-19	Sample-2	Sample-20	Sample-21	Sample-22	Sample-23	Sample-24	Sample-25	Sample-26	Sample-27	Sample-3	Sample-4	Sample-5	Sample-6	Sample-7	Sample-8	Sample-9
ed67fda721ccdf145a92f4658f65813d	22067.0	22962.0	147.0	77605.0	92397.0	78705.0	88.0	74062.0	85356.0	42594.0	114.0	42304.0	31691.0	11465.0	13829.0	677.0	16211.0	41990.0	38146.0	15.0	17598.0	10.0	25186.0	50770.0	21402.0	8407.0	5427.0
fe5b38d2e9971e80130fccc93392ba56	35901.0	16347.0	68.0	22596.0	19172.0	21306.0	62.0	34263.0	32875.0	19859.0	84.0	56179.0	81841.0	29741.0	41699.0	53.0	8168.0	45330.0	37251.0	225.0	33260.0	0.0	11183.0	39806.0	9470.0	5453.0	3824.0
5d56cfd90743e9a3c14e39f7f0b1a04b	89189.0	0.0	0.0	0.0	0.0	894.0	32.0	9.0	0.0	5.0	0.0	68547.0	1996.0	39626.0	16010.0	0.0	689.0	5902.0	2388.0	675.0	92356.0	0.0	12.0	67.0	0.0	5.0	254.0
f782b5c934941bc568e67597233f762b	10503.0	384.0	20.0	1013.0	961.0	1173.0	11.0	12256.0	17224.0	14295.0	14.0	19526.0	12651.0	3436.0	5549.0	13.0	2293.0	10967.0	7094.0	0.0	6515.0	0.0	26582.0	54947.0	21181.0	192.0	169.0
be0d0758b32f4e6233546427da972a2e	552.0	223.0	0.0	53887.0	50073.0	50118.0	20.0	391.0	605.0	617.0	0.0	1102.0	2307.0	1038.0	1016.0	41.0	10465.0	7923.0	7079.0	0.0	397.0	0.0	14199.0	13072.0	10575.0	74.0	96.0
ba7a73fd1a58f7b15ac6c867abbead8d	8411.0	5426.0	32.0	4203.0	3314.0	3743.0	21.0	9184.0	12967.0	10395.0	11.0	13818.0	7411.0	4827.0	4015.0	9.0	15498.0	34092.0	30761.0	0.0	4786.0	1093.0	2156.0	3688.0	1971.0	1513.0	1890.0
d406eb50fe93409f8e2287a008ff96d4	124.0	60.0	5.0	27.0	16.0	26.0	0.0	68.0	122.0	151.0	0.0	211.0	29.0	16.0	22.0	4.0	74.0	0.0	0.0	0.0	110.0	8.0	75240.0	24471.0	73883.0	79.0	37.0
06396f5247a6dc21fbb49d7133cb2adb	11878.0	661.0	17.0	8192.0	7161.0	7184.0	0.0	3519.0	4879.0	5879.0	14.0	22917.0	9400.0	4494.0	4612.0	0.0	19366.0	15303.0	13894.0	0.0	8747.0	0.0	8377.0	8560.0	6994.0	321.0	419.0
f82b1dbd2844f550c365f7e9f9b93e4e	0.0	0.0	0.0	0.0	0.0	35.0	0.0	0.0	0.0	0.0	0.0	0.0	268.0	42899.0	83018.0	1809.0	0.0	1228.0	0.0	0.0	0.0	0.0	0.0	41.0	0.0	1905.0	2067.0
09d2ae7895cf9d377095a5ed0f402148	31304.0	0.0	22.0	3043.0	2910.0	1959.0	0.0	0.0	0.0	0.0	505.0	18373.0	0.0	17934.0	3745.0	0.0	2646.0	6417.0	8209.0	0.0	34465.0	0.0	0.0	0.0	0.0	0.0	0.0
8c0867f68274eb4b530ac08b2b8ebc16	3.0	0.0	8.0	23.0	37.0	29.0	0.0	29375.0	28800.0	69823.0	339.0	8.0	0.0	4.0	3.0	11.0	4.0	3.0	19.0	0.0	5.0	0.0	0.0	0.0	7.0	0.0	0.0
b4a4293be0a8e4daaddbfb73709f27ce	6897.0	4691.0	0.0	5228.0	4566.0	4972.0	0.0	8450.0	8077.0	4883.0	0.0	10834.0	11375.0	4224.0	5995.0	96.0	179.0	1290.0	998.0	0.0	6731.0	0.0	6458.0	22367.0	5481.0	1653.0	1177.0
5316de9e5ea0f8d6c80d2619ce0310f9	5.0	72.0	0.0	27.0	35.0	61.0	0.0	0.0	0.0	0.0	0.0	17.0	0.0	33.0	26.0	0.0	24.0	0.0	0.0	0.0	11.0	0.0	28563.0	65062.0	24492.0	58.0	19.0
