Species,percentMatch,ENEG.1_S19,ENEG.1_S30,ENEG.1_S42,ENEG.2_S39,ENEG.2_S44,ENEG.2_S67,KEJI.1,KEJI.2,KEJI.3,KEJI.4,MCRG24.001,MCRG24.002,MCRG24.003,MCRG24.004,MCRG24.005,MCRG24.006,MCRG24.007,MCRG24.008,MCRG24.009,MCRG24.010,MCRG24.011,MCRG24.012,MCRG24.013,MCRG24.014,MCRG24.015,MCRG24.016,MCRG24.017,MCRG24.018,MCRG24.019,MCRG24.020,MCRG24.021,MCRG24.022,MCRG24.023,MCRG24.024,MCRG24.025,MCRG24.026,MCRG24.027,MCRG24.028,MCRG24.029,MCRG24.030,MCRG24.031,MCRG24.032,MCRG24.033,MCRG24.034,MCRG24.035,MCRG24.036,MCRG24.037,MCRG24.038,MCRG24.039,MCRG24.040,MCRG24.041,MCRG24.042,MCRG24.043,MCRG24.044,MCRG24.045,MCRG24.046,MCRG24.048,MCRG24.049,MCRG24.050,MCRG24.051,MCRG24.052,MCRG24.053,MCRG24.054,MCRG24.055,MCRG24.056,MCRG24.057,MCRG24.058,MCRG24.059,MCRG24.060
Hemitripterus americanus,99.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,390,801,0,0
Apeltes quadracus,99.2,0,0,0,0,0,0,0,408,528,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Apeltes quadracus,99.2,0,0,0,0,0,0,1047,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Apeltes quadracus,100,0,353,41,0,49,0,129639,125185,122638,60,0,0,0,20,2675,1587,1417,0,112,0,134,0,193,0,0,0,52,2582,718,275,2698,870,4998,0,75,172,0,0,0,0,231,0,3337,11249,2752,0,0,282,37,0,0,26,96,0,683,169,30,0,47,61,81,26,0,137,0,82,0,0,0
Pungitius pungitius,100,0,0,0,0,0,0,247,827,156,0,0,0,0,0,0,0,0,0,0,0,0,0,1495,974,0,0,0,0,0,466,0,0,476,0,294,819,62,0,0,0,0,0,266,309,89,0,0,0,0,0,499,115,360,0,0,193,0,0,0,0,0,0,0,0,0,0,0,0,0
Gasterosteus aculeatus,100,0,17,0,0,0,8,745,132,785,1918,28,109,83,6,2803,0,1001,0,0,0,0,0,0,0,0,0,0,0,0,0,801,1454,3589,0,3099,1244,938,31,0,730,0,0,335,0,0,0,0,0,0,9656,0,507,1673,0,5930,7523,0,1947,0,0,0,0,477,234,0,0,328,1078,0
Gasterosteus wheatlandi,100,0,0,4,0,0,0,2198,1291,2419,0,0,0,0,0,3205,0,736,0,0,0,0,0,0,0,0,0,14,0,0,0,179,379,233,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1776,1433,0,0,0,0,0,0,0,0,0,0,0,0,0
Gasterosteus wheatlandi,99.2,0,0,0,0,0,0,0,268,910,0,0,0,0,0,0,696,0,0,0,0,0,0,0,0,0,0,0,0,0,0,262,0,1226,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,364,766,0,0,0,0,0,0,0,0,0,0,0,0,0
Perca flavescens,100,0,5,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,3779,10464,3935,0,0,0,0,0,0,0,0,0,0,13,0,14028,13809,3570,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,0,0,0,0,0,0,0,0
Menidia menidia,100,7,92,22,0,32,4,64027,85089,75390,0,2587,28,927,14,7735,7355,2756,10,72,0,132,0,134,42,94,14,56,93,37,126,8682,7511,11019,19,2762,2547,2344,0,25,0,66,0,990,102,650,38,0,174,35,35,5148,5908,4874,15,33476,47615,52,8050,16967,3209,47,352,17,294,31,2630,2044,1692,0
Pholis gunnellus,99.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1321,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Peprilus burti,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,237,0,0,0,206,0,0,0,0,450,0,0,0,599,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Alosa pseudoharengus,99.2,0,0,0,0,0,0,132,0,0,0,4819,3575,4893,0,887,1788,0,0,0,0,0,0,0,376,203,0,0,489,2613,869,586,277,324,0,0,0,0,0,1546,0,0,0,4700,0,375,0,0,0,303,0,0,823,2923,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Salvelinus fontinalis x Salvelinus malma,100,0,0,0,0,0,0,0,0,7,0,13,0,4,0,0,0,1761,2,0,6,0,0,3805,4700,296,0,0,3650,583,483,0,441,0,0,227,0,262,0,135,1300,0,0,5845,4444,5163,2862,0,0,0,0,0,0,0,7,13,0,0,0,0,0,0,0,0,0,0,0,702,20,0
Catostomus commersonii,100,0,0,4,0,0,0,3,0,0,0,0,6,4,0,434,0,0,0,5,0,0,4,12667,11940,283,0,9,4529,5975,7481,0,5,0,8,0,0,0,9,241,0,0,0,9716,6902,1394,5,0,0,0,0,0,0,11,0,6,0,0,0,0,0,15,3,0,0,0,8,0,19,0
Brevoortia tyrannus,100,0,0,0,0,0,0,385,287,166,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,148,0,0,0,0,184,0,973,1526,264,0,0,0,0,0,0,0,0,0,290,45,0,0,0,0,0,114,122,76,0,0,0,0,0
Alosa pseudoharengus,99.2,0,0,0,0,0,0,0,0,0,0,728,0,0,0,0,0,0,0,0,0,0,0,181,0,174,0,0,244,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,333,0,0,0,0,0,0,0,0,440,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Alosa aestivalis,100,0,0,0,0,0,0,93,135,163,0,0,0,0,0,0,0,290,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,105,0,0,0,0,0,927,3305,1006,0,0,0,0,0,563,432,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Alosa pseudoharengus,100,187,109,61,9,145,179,2722,2394,4178,30,128112,100310,99612,231,4146,14471,9617,14,2029,9412,2880,44,13883,15662,1785,120,83,23978,24635,25189,6597,7745,9476,90,1338,3196,2483,71,4082,55428,2875,34,88704,89571,18737,108,24,68,375,184,98779,46893,69848,68,2480,4072,22,62,667,0,344,110,135,118,144,0,1775,472,13
Alosa pseudoharengus,99.2,0,0,0,0,0,0,130,0,0,0,0,684,760,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,141,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,353,0,225,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Alosa fallax,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,800,0,1144,79,0,0,0,0,0,0,0,0,0,0,451,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,570,1167,264,0
Alosa pseudoharengus,99.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2771,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pollachius virens,100,0,0,0,0,0,0,0,0,0,0,0,442,445,0,0,77,0,0,308,419,402,0,136,689,6026,0,0,4854,2617,2662,426,661,1203,0,2988,2655,1318,0,0,0,73,0,1290,369,141,0,0,706,3482,781,1471,519,787,0,217,0,0,0,0,0,0,312,50,221,0,0,0,0,0
Tautoga onitis,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,540,908,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Anguilla rostrata,99.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,280,0,0,0,0,0,0,0,0,0,0,224,0,0,0,0,2002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Anguilla rostrata,100,0,39,42,0,34,12,7258,10497,7191,90,3560,4098,3453,0,3513,2568,2371,0,746,1074,3468,9,77994,51922,5814,0,34,10371,8205,14105,10753,7800,8611,28,27006,11968,13036,55,4167,5864,1407,0,22799,20218,3111,58,8,3425,2584,2224,980,1267,1250,42,4110,3938,16,86,46,412,43,103,272,483,64,3288,4062,4096,13
Anguilla rostrata,99.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,860,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Anguilla rostrata,99.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,286,0,0,0,519,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,181,0
Anguilla rostrata,99.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1130,169,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Leucoraja ocellata,100,0,0,0,0,0,0,0,0,0,0,0,413,0,0,1345,1754,420,0,0,0,0,0,0,0,0,0,0,0,0,0,751,589,1042,0,1118,0,418,0,0,0,0,0,0,0,0,0,0,0,0,0,0,499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Osmerus mordax,100,0,0,0,0,0,0,0,0,0,0,0,136,211,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,996,0,164,2760,0,219,0,0,0,0,0,47,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,201,118,0,0,0,0,0
Scomber scombrus,100,21,29,20,22,49,56,37,65,47,85,5334,9711,4514,20,875,1238,838,17,194,79,96,4,2537,3280,584,45,52,1447,143,2189,25759,19656,23917,80,1805,2420,1863,109,91883,81575,29417,4,10971,14873,3336,41,0,5829,5052,7374,1863,2227,1311,36,59,531,38,5676,6130,37,0,152,418,586,31,509,1736,1313,8
