Species,percentMatch,ENEG.1_S19,ENEG.1_S30,ENEG.1_S42,ENEG.2_S39,ENEG.2_S44,ENEG.2_S67,KEJI.1,KEJI.2,KEJI.3,KEJI.4,MCRG24.001,MCRG24.002,MCRG24.003,MCRG24.004,MCRG24.005,MCRG24.006,MCRG24.007,MCRG24.008,MCRG24.009,MCRG24.010,MCRG24.011,MCRG24.012,MCRG24.013,MCRG24.014,MCRG24.015,MCRG24.016,MCRG24.017,MCRG24.018,MCRG24.019,MCRG24.020,MCRG24.021,MCRG24.022,MCRG24.023,MCRG24.024,MCRG24.025,MCRG24.026,MCRG24.027,MCRG24.028,MCRG24.029,MCRG24.030,MCRG24.031,MCRG24.032,MCRG24.033,MCRG24.034,MCRG24.035,MCRG24.036,MCRG24.037,MCRG24.038,MCRG24.039,MCRG24.040,MCRG24.041,MCRG24.042,MCRG24.043,MCRG24.044,MCRG24.045,MCRG24.046,MCRG24.048,MCRG24.049,MCRG24.050,MCRG24.051,MCRG24.052,MCRG24.053,MCRG24.054,MCRG24.055,MCRG24.056,MCRG24.057,MCRG24.058,MCRG24.059,MCRG24.060
Clupea harengus,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,375,478,0,0,0,0,0,0,0,0,0,0,0,0,0,133,281,262,0,0,0,0,330,0,0,0,0,0,134,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3886,3195,4842,0,0,0,0,0
Clupea harengus,99.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1803,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Clupea harengus,99.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1565,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Clupea harengus,99.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,652,0,0,0,0,966,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,885,0,0,0,0,0,0,0
Clupea harengus,99.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,342,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1026,1104,1250,0,0,0,0,0
Clupea harengus,99.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,822,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2206,2005,2231,0,0,0,0,0
Clupea harengus,99.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,214,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,348,312,0,0,0,0,0,0
Clupea harengus,100,0,0,0,0,0,0,100,0,0,0,588,0,0,0,0,2184,1961,0,0,0,0,0,0,0,0,0,0,0,1353,2865,582,1492,2942,0,967,448,3457,0,506,1742,313,0,1166,556,424,0,0,0,0,0,1262,0,0,0,994,1868,0,0,0,0,0,23616,24721,24819,0,0,0,0,0
Clupea harengus,99.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1033,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gadus morhua,99.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,956,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gadus morhua,100,0,0,0,0,34,0,0,0,0,0,2621,2156,3200,26,3527,8457,3359,0,1085,836,2668,18,143,0,9423,36,0,3333,4733,814,817,0,296,0,184,610,623,0,95,538,171,0,502,153,74,0,0,0,794,1981,17343,631,594,0,0,0,0,1052,1773,0,0,171,0,196,0,0,0,144,0
Microgadus tomcod,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1720,1095,1369,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,202,0,0,2036,0,0,0,0,0,0,0,0,0,0,0,0,0
Microgadus tomcod,99.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,227,0,0,0,0,0,0,0,0,0,0,0,0,0,0,275,0,0,397,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Microgadus tomcod,100,27,41,30,21,104,12,296,75,546,84,106,1237,426,0,1197,1609,26,54,809,412,2400,0,1718,3896,2712,0,86,425,803,0,13930,11858,11031,77,4191,12069,10229,23566,7663,2436,826,21,3770,2982,714,87,41960,1055,1362,2644,6712,10323,15526,27,26309,32419,39,5148,9293,25265,23,1872,2595,3803,16,108651,16380,126636,0
Microgadus tomcod,99.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,902,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Syngnathus fuscus,100,2,0,0,0,0,0,577,319,536,0,430,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,386,0,0,0,461,0,3269,2316,832,0,97,0,0,0,0,650,0,0,0,0,0,0,1659,0,0,0,0,660,0,0,0,860,0,195,5,0,0,462,2918,0,0
Ammodytes marinus,99.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,831,0,0,0,0,0,0,0,0,0
Ammodytes marinus,99.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2323,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ammodytes marinus,99.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1809,0,0,0,81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,304,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ammodytes marinus,100,0,29,20,14,0,0,626,1222,370,37,260,705,0,37,3453,224,3142,8,5938,6231,36786,8,1120,4589,437,10,44,25755,55933,16520,472,344,402,33,816,1186,1734,46,6828,5442,2438,0,58,25,277,96,0,2441,1358,929,1179,3578,4596,0,19308,13493,28,12045,114,5582,77,273,325,491,32,5914,4421,8060,4
Ammodytes dubius,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,151,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,795,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,141,55,56,0,0,452,0,0
Ammodytes americanus,100,0,0,0,0,0,0,165,0,0,0,0,91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,869,0,0,0,0,0,0,0,0,0,0,575,0,2203,0
Ammodytes marinus,98.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,837,0,0,0,0,0,0,0,0,0
Liparis ochotensis,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,204,0,0,0,0,0,0,0,0,0,0,0,817,1344,0,0,0,352,0,0,0,248,0,0,0,0,0
Liparis miostomus,99.2,0,0,0,0,0,0,0,0,0,0,0,0,273,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1757,0,41,0,0,0,0,0,0,0
Liparis miostomus,99.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,171,0,735,0,0,0,0,0,0,0,0,378,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Liparis miostomus,100,0,0,0,0,0,0,9,0,10,0,0,504,1165,9,2276,989,1042,0,8832,6085,6353,3,437,4530,644,0,0,821,979,554,1151,1413,1886,0,2029,2331,631,0,394,515,0,0,0,334,0,25,0,1058,0,1414,0,0,574,0,2747,0,0,0,19,0,0,88,979,954,0,0,0,0,0
Cryptacanthodes maculatus,100,0,0,0,0,0,0,0,0,0,0,186,114,253,0,0,0,0,0,0,0,547,0,169,252,163,0,0,0,0,0,0,0,0,0,106,464,1346,0,471,628,123,0,220,260,0,0,0,0,0,760,654,0,410,0,0,0,0,1346,2812,2614,0,80,82,0,0,154,0,0,0
Pseudopleuronectes americanus,100,10,33,47,0,40,11,257,395,459,69,6395,15454,8741,0,41820,12735,17474,30,2011,8345,7020,0,2521,6936,6451,52,103,3988,2693,1212,22263,49278,15306,52,21892,9907,12426,98,2376,1145,1310,0,2457,6128,786,120,20,4450,3590,4069,2668,9345,5601,34,8092,7419,67,17944,36742,43842,38,2500,1263,2631,61,7481,10532,12640,15
Pleuronectes platessa,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1348,0,0,0,0,0,0,459,0,0,0
Platichthys stellatus,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,249,640,0,0,0,0,0,0,0,0,0,0,0,0,358,0,0,0,0,212,195,0,0,0,0,0,0,0,0,0,0,0,0,0
Myoxocephalus scorpius,99.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,906,0,0,0,0,0,0,0,0,0,0
Myoxocephalus scorpius,100,49,62,57,27,106,35,511,1706,1199,81,14838,15385,15498,77,13492,15104,5627,44,9147,12972,39731,17,8506,28652,5444,69,116,16061,11564,8746,20028,11426,14175,90,26075,14371,14714,167,9448,6590,14452,9,4064,3774,1593,251,19,2970,12368,10577,34911,20461,20238,53,49352,63864,107,32377,26009,20186,82,8638,7711,7782,73,15350,12595,14970,15
Myoxocephalus octodecemspinosus,100,0,0,0,0,0,0,0,0,0,0,199,211,155,0,98,0,0,0,162,0,3574,0,0,0,0,0,0,841,1648,950,0,288,0,0,144,0,153,0,1163,1508,301,0,835,245,459,0,0,0,0,1921,0,0,0,0,0,0,0,0,0,0,0,239,53,72,0,0,0,0,0
Scophthalmus aquosus,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,597,0,858,0,0,0,0,0,0,0,0,0,0,0,526,0,1242,1547,1347,0,127,137,0,0,0,0,0,0,325,0,64,0,0,396,0,878,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Auxis thazard,100,0,0,0,0,0,0,0,0,0,0,430,1201,629,0,0,0,0,0,0,0,0,0,59,0,144,0,0,0,0,0,0,0,0,0,0,0,218,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Katsuwonus pelamis,100,0,0,0,0,0,0,0,0,0,0,1714,497,1825,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Thunnus obesus,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,518,488,493,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pholis gunnellus,99.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,786,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,483,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
