OTU ID	953-ENEG-1	953-ENEG-2	954-ENEG-1	954-ENEG-2	955-ENEG-1	955-ENEG-2	956-ENEG-1	956-ENEG-2	957-ENEG-1	957-ENEG-2	958-ENEG-1	958-ENEG-2	959-ENEG-1	AZMP2024-EDNA-003	AZMP2024-EDNA-004	AZMP2024-EDNA-007	AZMP2024-EDNA-008	AZMP2024-EDNA-009	AZMP2024-EDNA-043	AZMP2024-EDNA-044	AZMP2024-EDNA-045	AZMP2024-EDNA-046	AZMP2024-EDNA-047	AZMP2024-EDNA-048	AZMP2024-EDNA-049	AZMP2024-EDNA-050	AZMP2024-EDNA-051	PER25-1	PER25-10	PER25-100	PER25-101	PER25-102	PER25-103	PER25-104	PER25-105	PER25-106	PER25-107	PER25-108	PER25-109	PER25-11	PER25-110	PER25-111	PER25-112	PER25-113	PER25-114	PER25-115	PER25-116	PER25-117	PER25-118	PER25-119	PER25-12	PER25-120	PER25-121	PER25-122	PER25-123	PER25-124	PER25-125	PER25-126	PER25-127	PER25-13	PER25-14	PER25-15	PER25-16	PER25-17	PER25-18	PER25-19	PER25-2	PER25-20	PER25-21	PER25-22	PER25-23	PER25-24	PER25-25	PER25-26	PER25-27	PER25-28	PER25-29	PER25-3	PER25-30	PER25-31	PER25-32	PER25-33	PER25-34	PER25-35	PER25-36	PER25-37	PER25-38	PER25-39	PER25-4	PER25-40	PER25-41	PER25-42	PER25-43	PER25-44	PER25-45	PER25-46	PER25-47	PER25-48	PER25-49	PER25-5	PER25-50	PER25-51	PER25-52	PER25-53	PER25-54	PER25-55	PER25-56	PER25-57	PER25-58	PER25-59	PER25-6	PER25-60	PER25-61	PER25-62	PER25-63	PER25-64	PER25-65	PER25-66	PER25-67	PER25-68	PER25-69	PER25-7	PER25-70	PER25-71	PER25-72	PER25-73	PER25-74	PER25-75	PER25-76	PER25-77	PER25-78	PER25-79	PER25-8	PER25-80	PER25-81	PER25-82	PER25-83	PER25-84	PER25-85	PER25-86	PER25-87	PER25-88	PER25-89	PER25-9	PER25-90	PER25-91	PER25-92	PER25-93	PER25-94	PER25-95	PER25-96	PER25-97	PER25-99
bb37d870422ada18dc5e585bae371f5d	125.0	66.0	3227.0	39.0	2661.0	58.0	0.0	28503.0	55.0	811.0	25.0	4092.0	1410.0	24.0	2379.0	1476.0	4238.0	4827.0	2683.0	6214.0	4839.0	3167.0	39.0	131.0	10483.0	4042.0	6619.0	3993.0	2176.0	11333.0	30905.0	1535.0	3133.0	0.0	0.0	19643.0	15.0	0.0	54.0	284.0	8469.0	60.0	0.0	8578.0	1618.0	1632.0	28889.0	137.0	750.0	4292.0	0.0	18585.0	806.0	4544.0	752.0	112.0	57429.0	951.0	1091.0	8843.0	3756.0	0.0	2954.0	20891.0	72374.0	1545.0	19439.0	20170.0	77191.0	8349.0	27814.0	59982.0	5186.0	0.0	29857.0	0.0	45795.0	16777.0	0.0	43734.0	19539.0	21415.0	4908.0	27385.0	26912.0	20808.0	99993.0	8934.0	7596.0	16952.0	15857.0	0.0	9852.0	0.0	0.0	6517.0	0.0	17959.0	806.0	3979.0	3898.0	16226.0	0.0	0.0	98.0	5521.0	15374.0	321.0	36383.0	0.0	10739.0	64725.0	92960.0	18444.0	32895.0	35242.0	0.0	6521.0	10835.0	2185.0	18494.0	2924.0	79.0	21009.0	35802.0	24111.0	33933.0	113743.0	31.0	3134.0	636.0	16441.0	1040.0	15523.0	3252.0	0.0	2617.0	5653.0	0.0	27121.0	4986.0	87044.0	13486.0	132.0	14113.0	20992.0	257.0	0.0	6988.0	15488.0	0.0	4233.0	9025.0
7feccc4244410fdc274f6cb4f967db28	15.0	27.0	22.0	32.0	40.0	0.0	40.0	99.0	47.0	11.0	17.0	60.0	44.0	25.0	48.0	0.0	5725.0	26.0	88.0	0.0	64.0	106.0	29.0	42.0	118.0	0.0	40.0	5336.0	52.0	3845.0	38.0	0.0	36.0	20877.0	146.0	10997.0	17.0	16865.0	67.0	23009.0	61.0	20916.0	43.0	46.0	32570.0	51195.0	42230.0	38.0	38.0	28.0	9116.0	69.0	53.0	0.0	101.0	49.0	14.0	39.0	77.0	3751.0	20896.0	0.0	74.0	69203.0	11558.0	45.0	64.0	99.0	9266.0	3525.0	8771.0	917.0	20981.0	52573.0	30.0	71.0	7527.0	58.0	23410.0	28539.0	15731.0	0.0	16600.0	34792.0	5799.0	15329.0	9040.0	69.0	22.0	13989.0	42.0	103.0	0.0	67.0	15055.0	7345.0	57.0	13912.0	15867.0	19415.0	85.0	15.0	8696.0	42590.0	39.0	0.0	53.0	27665.0	8320.0	15591.0	8982.0	8514.0	13280.0	27297.0	41323.0	77.0	48.0	73.0	19187.0	66580.0	17167.0	3189.0	26151.0	3896.0	26607.0	9788.0	110.0	32.0	12.0	15472.0	42.0	5469.0	9679.0	12732.0	37847.0	42.0	3057.0	23.0	70.0	8504.0	9908.0	1543.0	12073.0	3553.0	15192.0	8458.0	33.0	12490.0	51.0	15619.0	14162.0	5679.0	39438.0
8bb2b9ad848c7986e68fa3cacc105e35	47.0	52.0	21.0	36.0	28.0	30.0	78.0	83.0	26.0	24.0	0.0	26.0	51.0	49.0	25.0	84.0	22.0	53.0	164.0	30.0	84.0	83.0	11.0	43.0	73.0	37.0	33.0	97.0	12520.0	4680.0	3343.0	7721.0	54.0	55.0	25842.0	12730.0	4281.0	72.0	68.0	877.0	17278.0	16865.0	36781.0	32.0	0.0	12753.0	22.0	40.0	20.0	0.0	0.0	45.0	30.0	16.0	90.0	38.0	0.0	44.0	78.0	39922.0	9916.0	28003.0	24801.0	13143.0	24805.0	3648.0	75.0	93.0	27.0	35.0	18150.0	14773.0	7103.0	115.0	1872.0	12454.0	4437.0	68.0	13739.0	15505.0	26407.0	34220.0	1794.0	45.0	8670.0	13703.0	27091.0	61.0	34521.0	7187.0	51.0	89.0	27060.0	11244.0	36109.0	47.0	65.0	28.0	1009.0	42967.0	10595.0	6105.0	19171.0	35.0	98.0	9767.0	43.0	15504.0	82.0	53.0	83494.0	21168.0	58.0	44.0	42.0	11293.0	10927.0	16720.0	30110.0	65.0	8204.0	919.0	78.0	62.0	9709.0	17.0	111.0	0.0	45.0	35.0	64.0	58.0	19115.0	100.0	22446.0	21.0	6974.0	29.0	32945.0	80.0	13.0	36.0	71.0	18727.0	9215.0	25038.0	34.0	34586.0	19364.0	32029.0	10123.0	2493.0	55.0
f169724093f814c9aed9b7a445c3bb42	0.0	0.0	0.0	36.0	22.0	0.0	47.0	0.0	70.0	31.0	0.0	0.0	0.0	0.0	77.0	52.0	0.0	44.0	0.0	56.0	0.0	249.0	0.0	107.0	56.0	0.0	59.0	3147.0	0.0	6829.0	0.0	0.0	41.0	0.0	59.0	44.0	0.0	54.0	46.0	0.0	115.0	88.0	100.0	0.0	0.0	18872.0	6204.0	0.0	0.0	26.0	0.0	0.0	10344.0	34.0	50.0	48.0	53.0	4544.0	0.0	0.0	0.0	0.0	0.0	0.0	28.0	22810.0	0.0	0.0	0.0	0.0	0.0	8795.0	102.0	157.0	0.0	0.0	0.0	131.0	0.0	0.0	78.0	0.0	0.0	34.0	0.0	67.0	88.0	235.0	0.0	0.0	0.0	121.0	14738.0	15363.0	6974.0	59308.0	143082.0	77553.0	4691.0	88.0	36346.0	56682.0	20203.0	51398.0	12601.0	0.0	0.0	0.0	56908.0	36.0	53.0	39534.0	0.0	0.0	12666.0	39000.0	45.0	0.0	232.0	14714.0	49503.0	516.0	0.0	0.0	10105.0	0.0	103.0	52.0	0.0	17784.0	64479.0	39741.0	0.0	16619.0	19762.0	10853.0	7485.0	19757.0	43846.0	0.0	0.0	15370.0	14460.0	0.0	19355.0	19054.0	58.0	0.0	0.0	78.0	2067.0	0.0	6246.0
55afe8739af582e3c61a404026473330	14.0	23.0	15.0	20.0	24.0	20.0	55.0	51.0	29.0	0.0	13.0	15.0	24.0	7.0	16.0	68.0	12.0	25.0	87.0	0.0	76.0	109.0	20.0	17.0	98.0	0.0	7.0	200.0	1371.0	13646.0	1450.0	7895.0	384.0	7558.0	8063.0	6702.0	897.0	2393.0	4524.0	6911.0	2294.0	4913.0	8881.0	15.0	49477.0	12638.0	14403.0	29.0	387.0	689.0	6795.0	246.0	673.0	0.0	3455.0	20.0	179.0	0.0	36.0	8953.0	8739.0	11492.0	7666.0	11151.0	4417.0	11145.0	558.0	22804.0	1534.0	6214.0	6459.0	3627.0	15415.0	8449.0	676.0	2905.0	51.0	918.0	945.0	1097.0	869.0	7272.0	615.0	1461.0	11734.0	3648.0	8281.0	110.0	7499.0	4208.0	10647.0	57.0	22014.0	7507.0	10356.0	58.0	806.0	657.0	96.0	6849.0	25.0	4094.0	2267.0	0.0	3070.0	830.0	4343.0	2277.0	6509.0	8957.0	8186.0	4029.0	9587.0	16753.0	9925.0	7307.0	1630.0	84738.0	10915.0	11797.0	19077.0	1775.0	13291.0	15804.0	7555.0	55066.0	30513.0	3175.0	6.0	35636.0	48608.0	46732.0	11593.0	18069.0	21335.0	6728.0	2287.0	1368.0	0.0	4079.0	4663.0	193.0	2102.0	8801.0	1696.0	850.0	8.0	11636.0	11845.0	10401.0	62728.0	11230.0	8108.0
8e01d7f7b952e8f51f18425d01c69b26	32.0	24.0	28.0	0.0	0.0	73.0	0.0	39.0	0.0	0.0	26.0	33.0	41.0	38.0	0.0	0.0	55.0	0.0	79.0	0.0	51.0	0.0	59.0	0.0	0.0	0.0	0.0	2376.0	2065.0	10064.0	70.0	7720.0	0.0	10521.0	0.0	0.0	38574.0	0.0	0.0	9626.0	0.0	0.0	0.0	31.0	59.0	6946.0	10243.0	55.0	3126.0	0.0	4118.0	69.0	0.0	0.0	0.0	0.0	0.0	0.0	58.0	26976.0	1933.0	12969.0	21198.0	16786.0	0.0	0.0	1537.0	10932.0	6667.0	12555.0	10725.0	2490.0	0.0	0.0	75.0	97.0	68.0	187.0	74.0	56.0	0.0	0.0	45.0	0.0	5478.0	0.0	0.0	0.0	4430.0	70777.0	63.0	0.0	0.0	0.0	8149.0	0.0	3091.0	0.0	51982.0	0.0	9170.0	0.0	0.0	8343.0	0.0	52.0	10745.0	40675.0	0.0	0.0	0.0	0.0	0.0	20419.0	0.0	0.0	0.0	8592.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	36.0	0.0	0.0	36.0	8034.0	7755.0	15422.0	65.0	21939.0	6548.0	0.0	0.0	0.0	8574.0	14870.0	0.0	22763.0	2536.0	100501.0	5095.0	18453.0	0.0	42.0	10269.0	0.0	3064.0	58.0	0.0
3043736b622ac30b9921d1c2cafc36cf	19.0	26.0	4.0	7.0	24.0	9.0	15.0	21.0	85.0	43.0	19.0	14.0	50.0	15.0	63.0	77.0	25.0	4.0	26.0	33.0	0.0	10801.0	6.0	117.0	21.0	3452.0	2565.0	5453.0	0.0	0.0	0.0	32.0	28.0	0.0	42.0	98.0	38.0	58.0	0.0	0.0	0.0	18.0	23.0	19.0	0.0	0.0	11.0	12.0	60588.0	23642.0	30.0	68376.0	31518.0	41492.0	44722.0	30497.0	52359.0	67816.0	52.0	0.0	35.0	0.0	33.0	35.0	15.0	0.0	9825.0	0.0	35.0	13.0	44.0	900.0	5052.0	49.0	0.0	105.0	0.0	8491.0	0.0	20.0	17.0	38.0	0.0	28.0	21.0	29.0	10.0	21.0	311.0	0.0	0.0	29.0	0.0	19.0	23.0	3268.0	3276.0	2453.0	697.0	0.0	0.0	14776.0	38178.0	1478.0	62193.0	28.0	21019.0	0.0	29.0	24.0	25.0	17.0	17.0	24.0	18.0	0.0	10.0	9756.0	12.0	17.0	0.0	10.0	10.0	32.0	6449.0	0.0	41.0	35.0	12.0	0.0	28.0	6.0	49.0	52.0	13.0	21.0	0.0	26.0	2662.0	45615.0	11084.0	2769.0	5070.0	1044.0	0.0	1772.0	23.0	15.0	18.0	25.0	13.0	0.0	85.0
b883c4065ca10184ffe02dece25810b2	14.0	0.0	22.0	0.0	7.0	14.0	25.0	0.0	13.0	16.0	0.0	0.0	6.0	19.0	31.0	9.0	10.0	22.0	23.0	19.0	7.0	10.0	7.0	0.0	17.0	4.0	0.0	3429.0	10770.0	7.0	11482.0	6518.0	62703.0	27249.0	8623.0	42442.0	0.0	17.0	23046.0	27126.0	18.0	0.0	16.0	20.0	0.0	6625.0	0.0	0.0	0.0	2642.0	8649.0	5021.0	3708.0	0.0	28.0	9.0	0.0	7.0	13.0	4036.0	3492.0	2422.0	28752.0	5478.0	4777.0	16.0	39.0	0.0	0.0	0.0	3351.0	3333.0	19.0	14044.0	26.0	0.0	0.0	5344.0	1111.0	9.0	41.0	2732.0	6004.0	12978.0	11615.0	5454.0	7855.0	17.0	90584.0	5233.0	0.0	16.0	977.0	29.0	0.0	10.0	18.0	29.0	19.0	6.0	17.0	0.0	17.0	4965.0	12210.0	11101.0	29.0	30.0	11.0	0.0	8.0	0.0	12507.0	28.0	17.0	0.0	12388.0	21.0	14052.0	22.0	0.0	0.0	15.0	14.0	34.0	16.0	9.0	0.0	24.0	9601.0	3.0	6.0	24.0	0.0	0.0	5911.0	0.0	3301.0	57.0	0.0	8924.0	33.0	19.0	4533.0	0.0	15.0	25.0	9.0	4379.0	0.0	3038.0	11.0	20088.0
ec96ca3ab0315facadcc88f0a6dd7ea5	15.0	39.0	6.0	6.0	19.0	0.0	26.0	0.0	7.0	0.0	3.0	13.0	0.0	2615.0	0.0	0.0	6.0	33.0	29.0	7.0	24.0	0.0	0.0	13.0	8.0	10.0	0.0	0.0	3831.0	5628.0	2129.0	0.0	249.0	10.0	0.0	6260.0	0.0	9.0	545.0	110.0	7.0	8.0	11653.0	24.0	245.0	7415.0	3327.0	0.0	32.0	8.0	7.0	28.0	849.0	0.0	8.0	33.0	0.0	0.0	22.0	2666.0	4893.0	3302.0	2799.0	3041.0	16303.0	24947.0	3542.0	9984.0	4663.0	22801.0	5931.0	40090.0	6720.0	6525.0	3623.0	564.0	20972.0	230.0	27183.0	5220.0	15922.0	4661.0	1211.0	9209.0	358.0	630.0	6771.0	32.0	0.0	3381.0	35.0	1851.0	20.0	16.0	12216.0	2344.0	564.0	4501.0	111.0	225.0	21.0	10605.0	955.0	0.0	2364.0	1796.0	10999.0	245.0	0.0	6557.0	2855.0	2444.0	602.0	14.0	9.0	4268.0	8430.0	2538.0	2370.0	394.0	8512.0	32134.0	627.0	5423.0	153.0	11198.0	370.0	4.0	5.0	1026.0	1607.0	15781.0	16.0	1689.0	2794.0	0.0	6390.0	7.0	771.0	4983.0	10.0	981.0	1282.0	1076.0	4169.0	4580.0	10.0	13385.0	15.0	1610.0	1398.0	20.0	3190.0
b3de1a6eb4e7873332282b13534a562e	0.0	30.0	0.0	0.0	30.0	0.0	0.0	0.0	28.0	10.0	29.0	33.0	36.0	0.0	63.0	31.0	30.0	0.0	14.0	36.0	0.0	124.0	0.0	49.0	30.0	11004.0	44.0	0.0	0.0	0.0	0.0	21.0	0.0	0.0	11.0	22.0	31.0	73.0	0.0	0.0	0.0	0.0	27.0	41.0	0.0	0.0	0.0	0.0	15537.0	24592.0	16.0	22703.0	60073.0	61914.0	86503.0	111486.0	46547.0	50257.0	23.0	0.0	15.0	0.0	15.0	48.0	24.0	0.0	0.0	0.0	24.0	0.0	62.0	68.0	28.0	91.0	0.0	41.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	17.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	16.0	0.0	18.0	21.0	28.0	22.0	46.0	0.0	13.0	12.0	33.0	0.0	0.0	47.0	0.0	8.0	30.0	62.0	0.0	18.0	0.0	15.0	0.0	0.0	0.0	0.0	0.0	0.0	94.0	12.0	0.0	0.0	0.0	0.0	34.0	13.0	13.0	0.0	0.0	0.0	20.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	14.0	27.0	0.0	0.0	59.0	0.0	21.0	30.0	0.0	28.0	0.0	0.0	28.0
