ASV	Sample-1	Sample-10	Sample-100	Sample-11	Sample-12	Sample-13	Sample-14	Sample-15	Sample-16	Sample-17	Sample-18	Sample-19	Sample-2	Sample-20	Sample-21	Sample-22	Sample-23	Sample-24	Sample-25	Sample-26	Sample-27	Sample-28	Sample-29	Sample-3	Sample-30	Sample-31	Sample-32	Sample-33	Sample-34	Sample-35	Sample-36	Sample-37	Sample-38	Sample-39	Sample-4	Sample-40	Sample-41	Sample-42	Sample-43	Sample-44	Sample-45	Sample-46	Sample-47	Sample-48	Sample-49	Sample-5	Sample-50	Sample-51	Sample-52	Sample-53	Sample-54	Sample-55	Sample-56	Sample-57	Sample-58	Sample-59	Sample-6	Sample-60	Sample-61	Sample-62	Sample-63	Sample-64	Sample-65	Sample-66	Sample-67	Sample-68	Sample-69	Sample-7	Sample-70	Sample-71	Sample-72	Sample-73	Sample-74	Sample-75	Sample-76	Sample-77	Sample-78	Sample-79	Sample-8	Sample-80	Sample-81	Sample-82	Sample-83	Sample-84	Sample-85	Sample-86	Sample-87	Sample-88	Sample-89	Sample-9	Sample-90	Sample-91	Sample-92	Sample-93	Sample-94	Sample-95	Sample-96	Sample-97	Sample-98	Sample-99
43649b5e07a413967614c554fda23d61	0	11405	0	18	21331	0	556	18808	1588	30353	768	16576	17348	3784	12523	6151	4879	8248	14359	0	35229	0	46981	25	167	56434	0	0	28656	169	27262	49	28953	1544	21445	36862	1058	38702	3228	26355	1325	29230	4275	46815	4071	0	31172	0	36471	0	34152	0	91591	163	40381	0	8531	59143	0	54541	262	26040	707	36134	302	42605	7536	0	77606	4488	66501	13421	65426	0	0	48162	0	61810	14281	0	50044	48	106544	28	64240	0	100380	1007	20764	0	812	68586	225	67610	11633	91689	13361	81751	26914	69572
994ea13844149071fe46aba6eaf07ec3	436749	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	849308	0	545951	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
44d92d9f9bf26385b90cc50ab8cc3ca7	0	0	15	0	0	0	0	0	0	0	0	0	0	0	141857	0	0	0	0	0	0	0	0	0	0	168112	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	199606	0	0	0	0	0	0	0	0	0	0	0	0	0	0	96271	0	0	0	0	0	0	0	382578	0	0	0	0	0	0	0	0	0	0	0	0	171983	0	0	0	0	0	0	0	0	0	0	0	0	327078	0	306053
06feadb5fd05ccb3ac203a60f76fa8a8	0	66379	0	0	88569	0	0	25499	0	51305	0	48663	85103	350	73379	206	42205	475	53994	0	32396	0	29452	0	0	36531	0	0	40772	0	77653	0	50546	0	61483	71246	116	58368	0	41819	0	46811	44	67908	0	0	42907	0	11904	0	10906	0	20507	0	14637	0	33510	24545	0	21493	0	25007	0	34073	0	25377	127	0	12280	23	6772	290	6957	0	0	19736	0	26708	40564	0	18031	0	12862	0	19062	0	12596	145	5577	0	0	5864	0	7675	308	17336	565	16057	2068	12954
7022397071af0bc4c63084c5142cb628	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	203883	0	0	0	0	788907	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	574182	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
46a69141c313494f88984a2bf875c79c	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	808951	0	31	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	753038
34617136cf406340df91de1e3be1a505	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	290511	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	376238	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	158561	364276	0	0	0	0	0	0	0	345865	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
f727d7927c033e5bc2d59e33288dacaa	2538	1626	0	5260	1914	0	25754	1954	27184	3344	55036	2638	2551	42186	6157	29869	3350	32461	5210	2275	3498	2631	2136	6644	2373	3109	0	2001	6124	11099	1519	6451	1536	22692	3250	3336	34555	6367	34033	5393	22005	20580	35518	18622	37104	13935	12549	2737	2177	2368	1747	5919	4971	9102	3068	4605	1992	4750	25965	4359	25384	1296	15106	2288	16899	1538	53526	7337	29282	37482	36210	58320	38298	0	1734	2254	745	1540	1148	565	1496	14826	8023	8522	11202	7713	14522	36034	17972	17625	10597	24839	30664	23552	27054	84632	61321	62685	49710	47104
1018ae1f1dcf759e1411e23564ac958c	0	0	0	238	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	717464	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0	711213	0	0	0	0	0	0	0	0	0
63b7df5b8208c0d953e6e3cfccd5f6e8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	96140	0	0	680105	0	0	0	0	0	0	0	0	0	0	54602	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	452717	0	0	0	0	0	0	50169	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	70098	0	0	0	0	0	0	0	0	27	0	0	0	0	0	0
