V6,V3,X953.ENEG.1,X953.ENEG.2,X954.ENEG.1,X954.ENEG.2,X955.ENEG.1,X955.ENEG.2,X956.ENEG.1,X956.ENEG.2,X957.ENEG.1,X957.ENEG.2,X958.ENEG.1,X958.ENEG.2,X959.ENEG.1,AZMP2024.EDNA.004,AZMP2024.EDNA.007,AZMP2024.EDNA.008,AZMP2024.EDNA.009,AZMP2024.EDNA.043,AZMP2024.EDNA.044,AZMP2024.EDNA.045,AZMP2024.EDNA.046,AZMP2024.EDNA.047,AZMP2024.EDNA.048,AZMP2024.EDNA.049,AZMP2024.EDNA.050,AZMP2024.EDNA.051,PER25.1,PER25.10,PER25.100,PER25.101,PER25.102,PER25.103,PER25.104,PER25.105,PER25.106,PER25.107,PER25.108,PER25.109,PER25.11,PER25.110,PER25.111,PER25.112,PER25.113,PER25.114,PER25.115,PER25.116,PER25.117,PER25.118,PER25.119,PER25.12,PER25.120,PER25.121,PER25.122,PER25.123,PER25.124,PER25.125,PER25.126,PER25.127,PER25.13,PER25.14,PER25.15,PER25.16,PER25.17,PER25.18,PER25.19,PER25.2,PER25.20,PER25.21,PER25.22,PER25.23,PER25.24,PER25.25,PER25.26,PER25.27,PER25.28,PER25.29,PER25.3,PER25.30,PER25.31,PER25.32,PER25.33,PER25.34,PER25.35,PER25.36,PER25.37,PER25.38,PER25.39,PER25.4,PER25.40,PER25.41,PER25.42,PER25.43,PER25.44,PER25.45,PER25.46,PER25.47,PER25.48,PER25.49,PER25.5,PER25.50,PER25.51,PER25.52,PER25.53,PER25.54,PER25.55,PER25.56,PER25.57,PER25.58,PER25.59,PER25.6,PER25.60,PER25.61,PER25.62,PER25.63,PER25.64,PER25.65,PER25.66,PER25.67,PER25.68,PER25.69,PER25.7,PER25.70,PER25.71,PER25.72,PER25.73,PER25.74,PER25.75,PER25.76,PER25.77,PER25.78,PER25.79,PER25.8,PER25.80,PER25.81,PER25.82,PER25.83,PER25.84,PER25.85,PER25.86,PER25.87,PER25.88,PER25.89,PER25.9,PER25.90,PER25.91,PER25.92,PER25.93,PER25.94,PER25.95,PER25.96,PER25.97,PER25.99
Coryphaenoides armatus,100,0,0,0,0,0,0,0,14,0,10,0,0,0,0,11,0,0,17,0,0,15,0,114973,79844,0,0,0,0,0,0,13,0,0,28,0,0,27,0,0,0,0,0,0,7,0,0,0,21,0,10,0,0,0,19,0,14,22,0,0,10,0,0,6,0,0,0,0,20,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,8,17,0,12,0,17,0,19,0,15,0,0,0,0,0,12,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,15,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0
Hemitripterus americanus,100,45,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,0,0,0,0,0,0,0,0,0,0,15798,0,0,0,0,0,25117,0,0,0,0,0,0,11,0,0,0,0,3328,0,0,0,0,0,0,0,0,0,0,0,0,2576,0,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,0,119087,0,0,41,0,0,0,37,0,0,0,0,0,0,0,0,0,0,0,0,0,99,0,0,0,0,0,0,0,63,0,0,0,0,0,0,0,15,0,40,0,0,0,42,0,28,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0
Melanogrammus aeglefinus,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39,22632,0,0,0,0,28,0,0,29,0,0,0,0,0,0,92045,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2615,0,0,0,0,0,0,0,0,0,0,0,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15357,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8350,0,0,0,0,0,0,8446
Pholis gunnellus,100,16,0,0,0,0,0,15,0,0,12,8,22,0,0,0,7749,15,0,0,0,0,0,19,0,0,0,5757,0,0,0,0,0,0,0,23,0,0,0,0,0,7,0,0,0,12,3,0,21,0,2137,0,0,0,0,0,19,0,0,0,26507,20125,0,0,0,0,3166,13,12,7,0,0,0,0,0,0,0,3735,2655,3699,3195,28322,3518,10231,12,24249,0,0,0,0,0,16,0,20,0,0,0,18,0,0,0,24,28,11,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,36,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,5,15,0,0,0,0,14,0,0,0,0,0,0
Mallotus villosus,100,7,0,0,0,0,0,14,0,0,5,0,5,0,0,0,2,11,8,10,0,0,0,5,0,0,4,4763,11,0,0,0,0,0,0,8270,9195,0,0,0,0,0,0,0,0,0,18084,0,7,0,3063,0,0,0,5,0,0,0,0,3,1209,13922,0,0,0,13525,6495,7,6,0,0,0,14,5,0,0,6,11574,0,0,0,0,0,4,0,0,0,0,3672,0,0,11,0,0,0,0,4,7,0,0,0,21354,0,0,0,0,0,0,0,0,0,8,12,0,7,0,0,0,11,5,0,832,0,0,0,7,0,0,0,0,0,0,0,0,6,5,0,0,0,0,0,0,5,0,0,0,8,0,5804,7308,7880,0,0
Merluccius bilinearis,100,0,0,0,0,0,0,0,6,0,0,0,0,0,0,67788,24864,0,0,0,0,26,0,0,38,0,0,0,0,0,0,24,4,0,0,5,4,0,6,0,0,0,0,0,0,0,0,0,0,0,0,2984,0,0,24,0,0,13,0,0,0,0,0,4,0,0,5,0,4,5,14,0,0,29,3,0,0,0,0,0,0,25,0,0,4,0,0,0,0,2,0,13,7248,29517,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,3,0,0,0,0,0,0,0,0,27,0,0,0,0,0,0,0,0,0,4,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0
Antimora microlepis,100,0,0,0,0,0,0,0,0,0,0,3,7,0,0,0,16,9,32369,66483,0,0,0,0,0,0,12,4,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,3,0,0,0,12,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,13,0,0,0,0,0,5,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,12,16,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,11,0,0,0,0,0,0
Alosa pseudoharengus,100,0,0,0,5,6,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,0,25082,0,0,0,0,0,8,0,4,0,0,0,0,9,0,0,0,0,5,0,5,0,0,0,0,2,0,0,0,0,0,0,0,3214,0,0,0,6533,11,6816,0,0,0,0,0,11,0,0,0,0,41319,0,0,0,0,0,2430,0,0,15,11,0,0,0,11,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,3,0,0,0,9,0,0,0,12,0,0,172,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,2848,0,7,0,0,6,0,0,0,0,0,0
Sebastes mentella,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9464,0,0,0,0,0,3100,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,5,0,0,0,0,0,3936,0,0,5188,0,0,4782,0,0,0,0,0,0,0,0,3151,0,0,0,0,0,0,0,0,0,2538,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,26139,0,0,0,0,0,0,12410,0,0,0,0,0,0,0,0,0,0,0,0,10360,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4631,0,0,0,2545,0,0,0,0,0,0,0,0
Ammodytes americanus,100,0,0,0,9,3,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,10,0,0,5967,5,7,0,11,0,0,0,0,0,0,0,0,0,2997,18497,20,0,0,0,22,0,6,0,0,0,2783,0,0,0,0,0,0,0,0,0,11,10,0,0,0,0,0,0,0,0,0,0,0,8,0,0,5936,0,0,13,0,0,0,8947,0,0,0,0,15,12528,0,0,0,0,0,0,11,16,0,26,0,0,0,0,0,0,0,7,0,11,26,0,8,0,20,12728,5,0,0,0,4900,5,0,0,0,0,0,0,0,0,0,0,3921,0,0,0,0,6,0,0,8,0,5766,0,0,0,0,0,0,0,0,0
