OTU ID	953-ENEG-1	953-ENEG-2	954-ENEG-1	954-ENEG-2	955-ENEG-1	955-ENEG-2	956-ENEG-1	956-ENEG-2	957-ENEG-1	957-ENEG-2	958-ENEG-1	958-ENEG-2	959-ENEG-1	AZMP2024-EDNA-003	AZMP2024-EDNA-004	AZMP2024-EDNA-007	AZMP2024-EDNA-008	AZMP2024-EDNA-009	AZMP2024-EDNA-043	AZMP2024-EDNA-044	AZMP2024-EDNA-045	AZMP2024-EDNA-046	AZMP2024-EDNA-047	AZMP2024-EDNA-048	AZMP2024-EDNA-049	AZMP2024-EDNA-050	AZMP2024-EDNA-051	PER25-1	PER25-10	PER25-100	PER25-101	PER25-102	PER25-103	PER25-104	PER25-105	PER25-106	PER25-107	PER25-108	PER25-109	PER25-11	PER25-110	PER25-111	PER25-112	PER25-113	PER25-114	PER25-115	PER25-116	PER25-117	PER25-118	PER25-119	PER25-12	PER25-120	PER25-121	PER25-122	PER25-123	PER25-124	PER25-125	PER25-126	PER25-127	PER25-13	PER25-14	PER25-15	PER25-16	PER25-17	PER25-18	PER25-19	PER25-2	PER25-20	PER25-21	PER25-22	PER25-23	PER25-24	PER25-25	PER25-26	PER25-27	PER25-28	PER25-29	PER25-3	PER25-30	PER25-31	PER25-32	PER25-33	PER25-34	PER25-35	PER25-36	PER25-37	PER25-38	PER25-39	PER25-4	PER25-40	PER25-41	PER25-42	PER25-43	PER25-44	PER25-45	PER25-46	PER25-47	PER25-48	PER25-49	PER25-5	PER25-50	PER25-51	PER25-52	PER25-53	PER25-54	PER25-55	PER25-56	PER25-57	PER25-58	PER25-59	PER25-6	PER25-60	PER25-61	PER25-62	PER25-63	PER25-64	PER25-65	PER25-66	PER25-67	PER25-68	PER25-69	PER25-7	PER25-70	PER25-71	PER25-72	PER25-73	PER25-74	PER25-75	PER25-76	PER25-77	PER25-78	PER25-79	PER25-8	PER25-80	PER25-81	PER25-82	PER25-83	PER25-84	PER25-85	PER25-86	PER25-87	PER25-88	PER25-89	PER25-9	PER25-90	PER25-91	PER25-92	PER25-93	PER25-94	PER25-95	PER25-96	PER25-97	PER25-99
bb37d870422ada18dc5e585bae371f5d	91.0	48.0	3069.0	30.0	2493.0	40.0	0.0	26092.0	37.0	754.0	21.0	3883.0	1270.0	19.0	2194.0	1392.0	4039.0	4539.0	2558.0	5987.0	4566.0	3026.0	37.0	103.0	10105.0	3873.0	6368.0	3870.0	2080.0	10736.0	28211.0	1472.0	3014.0	0.0	0.0	19035.0	10.0	0.0	42.0	256.0	8184.0	44.0	0.0	7916.0	1545.0	1572.0	28001.0	103.0	727.0	4169.0	0.0	18041.0	775.0	4382.0	709.0	98.0	54773.0	916.0	980.0	8561.0	3654.0	0.0	2844.0	20137.0	65514.0	1462.0	18683.0	19505.0	74054.0	8078.0	27372.0	54478.0	4959.0	0.0	28716.0	0.0	43041.0	16237.0	0.0	42090.0	18904.0	20199.0	4751.0	26588.0	25487.0	20075.0	90088.0	8144.0	7390.0	16326.0	15147.0	0.0	9374.0	0.0	0.0	6180.0	0.0	17331.0	750.0	3702.0	3758.0	15740.0	0.0	0.0	86.0	5354.0	14748.0	307.0	35255.0	0.0	10397.0	61708.0	88155.0	17905.0	31103.0	33756.0	0.0	6297.0	10398.0	2106.0	17824.0	2841.0	56.0	20069.0	32251.0	23074.0	31129.0	109574.0	25.0	3014.0	614.0	15790.0	986.0	14734.0	3118.0	0.0	2484.0	5490.0	0.0	26013.0	4823.0	82221.0	12781.0	122.0	13668.0	20066.0	197.0	0.0	6727.0	14809.0	0.0	3983.0	8762.0
ca48c18143acb2012dcf1db58ec68b4b	12.0	26.0	17.0	27.0	36.0	26.0	33.0	85.0	38.0	9.0	19.0	47.0	37.0	23.0	71.0	50.0	5615.0	21.0	89.0	0.0	60.0	94.0	25.0	34.0	71.0	0.0	26.0	5168.0	47.0	3696.0	32.0	0.0	33.0	19884.0	128.0	10607.0	14.0	16336.0	71.0	22376.0	58.0	20263.0	45.0	28.0	31237.0	48329.0	40350.0	31.0	33.0	23.0	8756.0	61.0	50.0	0.0	60.0	48.0	10.0	30.0	72.0	3649.0	20287.0	58.0	63.0	63010.0	11001.0	43.0	62.0	87.0	9034.0	3357.0	8504.0	893.0	19904.0	48105.0	29.0	59.0	6969.0	55.0	22303.0	26976.0	15147.0	0.0	15977.0	33234.0	5684.0	14844.0	8632.0	66.0	25.0	13498.0	37.0	88.0	0.0	66.0	14557.0	7021.0	51.0	13569.0	14991.0	18726.0	68.0	16.0	8378.0	41283.0	38.0	37.0	43.0	26796.0	8199.0	14854.0	8702.0	8262.0	12838.0	26212.0	37638.0	75.0	39.0	63.0	18006.0	63855.0	16444.0	3083.0	24078.0	3722.0	25464.0	9522.0	94.0	28.0	11.0	14786.0	50.0	5267.0	9309.0	12113.0	34578.0	38.0	2929.0	23.0	61.0	8101.0	9618.0	1496.0	11696.0	3408.0	14660.0	8183.0	31.0	12080.0	50.0	14903.0	13591.0	5379.0	37772.0
0c03c3130f3e1af17cf819717bd17a47	40.0	53.0	19.0	34.0	20.0	27.0	66.0	77.0	28.0	25.0	0.0	19.0	42.0	45.0	57.0	61.0	16.0	50.0	152.0	26.0	69.0	73.0	21.0	37.0	53.0	32.0	28.0	84.0	11967.0	4396.0	3109.0	7263.0	48.0	46.0	24675.0	11839.0	4157.0	69.0	55.0	847.0	16652.0	16160.0	33448.0	27.0	0.0	12468.0	18.0	41.0	16.0	0.0	0.0	42.0	29.0	17.0	76.0	34.0	0.0	35.0	64.0	38022.0	9521.0	26674.0	23831.0	12269.0	23227.0	3457.0	71.0	87.0	31.0	27.0	17195.0	14032.0	6740.0	102.0	1812.0	11636.0	4269.0	60.0	12946.0	14655.0	25391.0	30960.0	1740.0	49.0	8368.0	13198.0	25483.0	62.0	33349.0	6935.0	56.0	79.0	24340.0	10413.0	34242.0	48.0	61.0	25.0	990.0	40548.0	10201.0	5910.0	17814.0	31.0	85.0	9208.0	44.0	14940.0	75.0	41.0	78665.0	20389.0	52.0	31.0	36.0	10631.0	10486.0	16100.0	27161.0	61.0	7748.0	882.0	76.0	58.0	9291.0	14.0	82.0	0.0	36.0	33.0	54.0	55.0	18062.0	87.0	21166.0	20.0	6561.0	26.0	31537.0	67.0	11.0	33.0	68.0	17680.0	8838.0	22992.0	28.0	32749.0	18154.0	28778.0	9600.0	2285.0	52.0
933d55bdb9f87e83a80786ad36d74021	29.0	27.0	0.0	33.0	18.0	0.0	46.0	23.0	61.0	30.0	0.0	14.0	50.0	0.0	151.0	52.0	0.0	39.0	76.0	58.0	73.0	211.0	39.0	94.0	47.0	31.0	50.0	3044.0	47.0	6576.0	0.0	32.0	36.0	70.0	53.0	39.0	0.0	44.0	40.0	21.0	108.0	85.0	102.0	0.0	0.0	18311.0	6062.0	50.0	48.0	26.0	26.0	0.0	10079.0	30.0	43.0	47.0	48.0	4374.0	0.0	0.0	44.0	0.0	60.0	0.0	26.0	21875.0	29.0	38.0	0.0	0.0	0.0	8479.0	81.0	142.0	0.0	34.0	0.0	110.0	0.0	0.0	69.0	32.0	32.0	27.0	29.0	67.0	77.0	204.0	14.0	0.0	51.0	115.0	14058.0	14637.0	6928.0	54858.0	130901.0	74894.0	4553.0	81.0	35118.0	54013.0	19180.0	48485.0	12212.0	74.0	0.0	0.0	54567.0	32.0	48.0	38311.0	43.0	0.0	12136.0	34718.0	33.0	0.0	213.0	14239.0	45727.0	496.0	0.0	25.0	9625.0	9.0	89.0	47.0	0.0	16519.0	59801.0	38062.0	46.0	15940.0	18904.0	10561.0	7114.0	18829.0	42057.0	28.0	22.0	14938.0	13598.0	15.0	18509.0	18339.0	51.0	0.0	18.0	68.0	2012.0	0.0	6011.0
df5e2a3a3447c5d8d61c1dd8cb9d6f7d	31.0	20.0	25.0	0.0	33.0	64.0	0.0	41.0	0.0	15.0	23.0	28.0	39.0	39.0	0.0	0.0	40.0	49.0	68.0	0.0	51.0	0.0	56.0	0.0	0.0	0.0	27.0	2325.0	2018.0	9704.0	64.0	7543.0	36.0	10074.0	41.0	36.0	36591.0	35.0	31.0	9527.0	0.0	0.0	0.0	26.0	52.0	6954.0	9963.0	47.0	3042.0	0.0	3963.0	59.0	22.0	23.0	30.0	0.0	0.0	40.0	54.0	26460.0	1886.0	12420.0	20435.0	16140.0	0.0	22.0	1486.0	10431.0	6513.0	12128.0	10360.0	2427.0	40.0	0.0	67.0	85.0	67.0	176.0	81.0	54.0	58.0	0.0	0.0	41.0	5338.0	0.0	23.0	26.0	4317.0	68310.0	56.0	0.0	0.0	0.0	7957.0	74.0	3206.0	21.0	49765.0	51.0	8989.0	0.0	0.0	8183.0	16.0	48.0	10323.0	39071.0	0.0	0.0	23.0	48.0	0.0	19896.0	42.0	76.0	37.0	8333.0	0.0	0.0	24.0	43.0	0.0	0.0	27.0	35.0	0.0	0.0	30.0	7845.0	7664.0	14978.0	65.0	20081.0	6323.0	0.0	48.0	0.0	8501.0	14212.0	0.0	22228.0	2441.0	88950.0	4941.0	17342.0	0.0	33.0	9953.0	0.0	2971.0	51.0	35.0
96d7a897fdc238e1dd0a9b5f89d7895e	14.0	20.0	3.0	6.0	21.0	6.0	12.0	16.0	36.0	33.0	16.0	11.0	29.0	12.0	97.0	45.0	17.0	0.0	19.0	20.0	0.0	10062.0	5.0	101.0	17.0	3221.0	2464.0	5210.0	0.0	0.0	0.0	23.0	21.0	0.0	32.0	72.0	32.0	47.0	0.0	0.0	0.0	14.0	13.0	17.0	0.0	0.0	9.0	9.0	57133.0	22436.0	23.0	62216.0	30334.0	39820.0	41881.0	28579.0	50502.0	63193.0	38.0	0.0	26.0	0.0	29.0	28.0	11.0	0.0	9126.0	0.0	29.0	8.0	39.0	843.0	4710.0	35.0	0.0	57.0	0.0	7976.0	0.0	10.0	16.0	27.0	0.0	20.0	15.0	21.0	7.0	13.0	300.0	0.0	0.0	24.0	0.0	15.0	18.0	3032.0	3075.0	2372.0	614.0	0.0	0.0	14206.0	33320.0	1411.0	58465.0	18.0	18755.0	0.0	20.0	22.0	14.0	9.0	13.0	20.0	13.0	0.0	8.0	9402.0	11.0	13.0	0.0	7.0	0.0	23.0	6038.0	0.0	30.0	23.0	0.0	0.0	14.0	5.0	34.0	32.0	11.0	14.0	0.0	20.0	2478.0	40820.0	10655.0	2677.0	4840.0	984.0	0.0	1653.0	18.0	11.0	12.0	19.0	11.0	0.0	61.0
b883c4065ca10184ffe02dece25810b2	13.0	0.0	20.0	0.0	5.0	10.0	18.0	0.0	13.0	15.0	0.0	0.0	4.0	10.0	0.0	8.0	0.0	20.0	16.0	14.0	7.0	8.0	7.0	0.0	15.0	4.0	0.0	3174.0	10043.0	4.0	10324.0	5911.0	53008.0	24058.0	8067.0	35009.0	0.0	9.0	20482.0	25438.0	15.0	0.0	14.0	16.0	0.0	6202.0	18.0	0.0	0.0	2358.0	8110.0	4520.0	3423.0	0.0	16.0	9.0	0.0	5.0	10.0	3797.0	3269.0	2241.0	25893.0	4923.0	4310.0	12.0	32.0	0.0	0.0	0.0	2998.0	2965.0	13.0	12442.0	18.0	0.0	0.0	4795.0	974.0	6.0	30.0	2456.0	5614.0	12124.0	10845.0	5126.0	6981.0	8.0	83062.0	4859.0	0.0	12.0	884.0	21.0	0.0	0.0	10.0	0.0	7.0	6.0	13.0	0.0	15.0	4629.0	11459.0	9911.0	24.0	23.0	8.0	0.0	5.0	0.0	11575.0	24.0	11.0	0.0	11472.0	15.0	12465.0	13.0	0.0	0.0	9.0	8.0	22.0	10.0	5.0	0.0	22.0	8601.0	3.0	4.0	18.0	0.0	0.0	5546.0	0.0	3096.0	46.0	0.0	8311.0	25.0	16.0	3995.0	9.0	15.0	19.0	7.0	3978.0	0.0	2694.0	7.0	18754.0
aacd34ba0a131657d54bcacbda931261	13.0	30.0	5.0	0.0	15.0	0.0	21.0	0.0	5.0	0.0	3.0	10.0	0.0	2535.0	0.0	0.0	5.0	31.0	26.0	5.0	24.0	0.0	0.0	12.0	7.0	9.0	0.0	0.0	3742.0	5458.0	2055.0	0.0	241.0	8.0	0.0	6069.0	0.0	9.0	534.0	105.0	6.0	8.0	11234.0	21.0	235.0	7262.0	3249.0	0.0	30.0	6.0	6.0	26.0	824.0	0.0	7.0	27.0	0.0	0.0	22.0	2554.0	4793.0	3236.0	2733.0	2971.0	15713.0	25483.0	3423.0	9712.0	4538.0	23182.0	5798.0	38964.0	6555.0	6217.0	3546.0	549.0	20376.0	220.0	24986.0	5050.0	15411.0	4542.0	1177.0	8897.0	347.0	623.0	6410.0	27.0	0.0	3314.0	29.0	1790.0	17.0	14.0	11814.0	2275.0	541.0	4404.0	105.0	219.0	16.0	10444.0	932.0	0.0	2301.0	1747.0	10657.0	236.0	0.0	6413.0	2777.0	2392.0	582.0	14.0	8.0	4111.0	8186.0	2494.0	2276.0	381.0	8230.0	30008.0	606.0	5266.0	145.0	10771.0	346.0	2.0	5.0	988.0	1495.0	15124.0	15.0	1646.0	2674.0	0.0	6183.0	6.0	744.0	4784.0	9.0	961.0	1248.0	1045.0	4067.0	4341.0	8.0	13055.0	12.0	1575.0	1366.0	18.0	3111.0
77920f5cdc3c567d745bcaeb089ce67a	0.0	0.0	4.0	6.0	16.0	0.0	0.0	0.0	0.0	8.0	3.0	8.0	7.0	0.0	0.0	18.0	0.0	0.0	37.0	0.0	17.0	21.0	0.0	10.0	16.0	0.0	0.0	10.0	0.0	1892.0	4453.0	0.0	1605.0	3725.0	3159.0	2229.0	4142.0	637.0	2423.0	11.0	3874.0	3369.0	10093.0	0.0	6215.0	11686.0	10089.0	18.0	10.0	7.0	1554.0	11.0	4.0	0.0	11.0	13.0	6.0	0.0	0.0	0.0	14.0	0.0	5837.0	881.0	938.0	5210.0	14.0	26546.0	8602.0	1923.0	11147.0	1092.0	8396.0	0.0	145.0	231.0	1199.0	26.0	237.0	1651.0	4294.0	8923.0	3631.0	0.0	4905.0	3139.0	2445.0	42.0	4659.0	6082.0	2131.0	25.0	16131.0	11463.0	21.0	35.0	16.0	0.0	0.0	3070.0	0.0	5651.0	15.0	0.0	0.0	14.0	27.0	0.0	0.0	16.0	1396.0	1086.0	8175.0	12885.0	21755.0	12042.0	0.0	6333.0	5698.0	4500.0	4955.0	968.0	32.0	33.0	1681.0	9851.0	0.0	3860.0	0.0	27125.0	17551.0	21299.0	10295.0	5295.0	7562.0	6942.0	6.0	0.0	0.0	0.0	0.0	0.0	737.0	8263.0	0.0	0.0	0.0	4726.0	13152.0	2267.0	8725.0	3137.0	1383.0
93150db40dfc98ffb219846ad635e2b6	12.0	0.0	5.0	0.0	0.0	28.0	0.0	18.0	14.0	3.0	0.0	6.0	0.0	5.0	10.0	24.0	5141.0	5.0	21.0	6.0	24.0	11.0	12.0	9.0	0.0	13.0	0.0	1785.0	2616.0	21.0	4103.0	9067.0	17.0	36594.0	39.0	46.0	0.0	8563.0	0.0	7267.0	11.0	28.0	0.0	5.0	19.0	39.0	4.0	12.0	7.0	5.0	1457.0	17.0	22.0	0.0	3498.0	0.0	0.0	0.0	32.0	19.0	21.0	5754.0	16.0	5187.0	0.0	20.0	2613.0	9327.0	5559.0	2945.0	9.0	14.0	12591.0	0.0	31639.0	56627.0	15204.0	2597.0	12458.0	3614.0	16964.0	13595.0	2810.0	23534.0	20201.0	11.0	22.0	51.0	16.0	20.0	26129.0	28.0	0.0	0.0	6.0	0.0	11.0	0.0	37.0	4149.0	0.0	7.0	10.0	0.0	14.0	10.0	11.0	19.0	6.0	5.0	9209.0	7.0	7.0	9.0	0.0	13296.0	10505.0	24.0	40.0	17205.0	0.0	0.0	9.0	10912.0	24.0	6204.0	24.0	0.0	6.0	0.0	0.0	9.0	35.0	35.0	32.0	9.0	22.0	9.0	10720.0	18.0	12.0	4535.0	6.0	13.0	0.0	35.0	11.0	26.0	16.0	0.0	7.0	1543.0	13567.0
