#OTU ID	2A01S1	2A01S2	2A01S3	2A10S3	2A12B1	2A12B2	2A12B3	2A12S1	2A12S2	2A12S3	2B01S1	2B01S2	2B02S1	2B02S2	2B03B1	2B03B2	2B03B3	2B03S1	2B03S2	2B03S3	301B1	301B2	301B3	301S1	301S2	301S3	302S1	302S2	302S3	303S1	303S2	303S3	M01S1	M01S2	M01S3	M02S1	M04S1	M04S2	M04S3	M06S2	M06S3	M07S1	M07S2	M08B1	M08S2	M08S3	M11S1	M11S2	M11S3	M15S1	M15S2	M15S3	M16S2	M16S3	M19S1	M19S2	M19S3	M20B1	M20B2	M20B3	M22S1	M22S2	M22S3	M24S1	M24S2	M24S3	M26S1	M26S2	M28S1	M28S2	M28S3	M30B1	M30B2	M30B3	M30S1	M30S2	M32B1	M32B2	M32B3	M32S2	M32S3	PCR_blank_001	PCR_blank_002	Kingdom	K_probability	Phylum	phylum	P_probability	Class	class	Class_Probability	Order	order	O_Probability	Family	family	F_probability	Genus	genus	G_probability	Species	species	prob
a38b7873f691c3c00be2fff8bddf50c6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	195	0	0	0	0	4	0	0	0	0	0	0	416	9	0	0	0	0	0	0	0	0	12	0	0	0	18	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Metazoa	1	Arthropoda	phylum	1	Thecostraca	class	1	Balanomorpha	order	1	Balanidae	family	1	Amphibalanus	genus	1	Amphibalanus_improvisus	species	1
dcd8b525813995f1cf333b442a4f6099	0	30	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Metazoa	1	Arthropoda	phylum	1	Thecostraca	class	1	Balanomorpha	order	1	Balanidae	family	1	Semibalanus	genus	1	Semibalanus_balanoides	species	1
53814ac04567f8e2287c46b0b52f47f1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	47	0	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Fungi	1	Ascomycota	phylum	1	Dothideomycetes	class	0.95	Cladosporiales	order	0.95	Cladosporiaceae	family	0.95	Cladosporium	genus	0.95	Cladosporium_herbarum	species	0.95
e3c06f84e408e28bd1079037587ded19	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	0	0	5	8	7	263	32	76	0	0	0	0	132	42	57	49	22	0	0	25	16	16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	Fungi	1	Ascomycota	phylum	1	Dothideomycetes	class	1	Cladosporiales	order	1	Cladosporiaceae	family	1	Cladosporium	genus	1	Cladosporium_bruhnei	species	0.93
0c11abb10ca8c4ca6a9466f89d510f2e	0	4	0	22	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	30	0	0	0	0	0	0	0	0	0	32	3	0	9	7	3	14	0	33	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Fungi	1	Ascomycota	phylum	1	Dothideomycetes	class	1	Cladosporiales	order	1	Cladosporiaceae	family	1	Cladosporium	genus	1	Cladosporium_tenuissimum	species	1
d895eaefd297dded64fb3861320f49a9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	41	13	0	0	0	0	3	0	9	0	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0	Fungi	1	Ascomycota	phylum	1	Eurotiomycetes	class	0.96	Eurotiales	order	0.96	Aspergillaceae	family	0.96	Penicillium	genus	0.93	Penicillium_citrinum	species	0.23
0edef9728b9de391a1f30a913a64d644	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	49	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Fungi	1	Ascomycota	phylum	1	Eurotiomycetes	class	1	Eurotiales	order	1	Aspergillaceae	family	0.99	Penicillium	genus	0.99	Penicillium_janthinellum	species	0.91
840357373195d985101b94cb36d05613	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16	0	7	0	0	0	5	23	7	0	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	Fungi	1	Ascomycota	phylum	1	Leotiomycetes	class	0.87	Helotiales	order	0.81	undef_Helotiales	family	0.8	Tetracladium	genus	0.8	Tetracladium_maxilliforme	species	0.45
17eb45b40e25cd325ad064fa0f7eda79	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	7	101	30	0	0	0	0	0	41	13	18	70	10	2	0	0	11	8	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	18	0	0	0	0	0	0	0	0	0	0	Fungi	1	Ascomycota	phylum	1	Leotiomycetes	class	0.91	Helotiales	order	0.86	undef_Helotiales	family	0.84	Tetracladium	genus	0.84	Tetracladium_apiense	species	0.27
ccf4488ec32bcce2747a3c4173f5b626	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	4	3	0	8	6	18	26	67	0	4	0	0	24	25	0	9	0	0	0	5	13	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	12	6	0	0	0	0	0	0	0	0	0	Fungi	0.99	Ascomycota	phylum	0.99	Leotiomycetes	class	0.98	Helotiales	order	0.98	undef_Helotiales	family	0.98	Tetracladium	genus	0.98	Tetracladium_apiense	species	0.41
