#OTU ID	Sample-1	Sample-10	Sample-11	Sample-12	Sample-13	Sample-14	Sample-15	Sample-16	Sample-17	Sample-18	Sample-19	Sample-2	Sample-20	Sample-21	Sample-22	Sample-23	Sample-24	Sample-25	Sample-26	Sample-27	Sample-28	Sample-29	Sample-3	Sample-30	Sample-31	Sample-32	Sample-33	Sample-34	Sample-35	Sample-36	Sample-37	Sample-38	Sample-39	Sample-4	Sample-40	Sample-41	Sample-42	Sample-43	Sample-44	Sample-45	Sample-46	Sample-47	Sample-48	Sample-49	Sample-5	Sample-50	Sample-51	Sample-52	Sample-53	Sample-54	Sample-55	Sample-56	Sample-57	Sample-58	Sample-59	Sample-6	Sample-60	Sample-61	Sample-62	Sample-63	Sample-64	Sample-65	Sample-66	Sample-67	Sample-68	Sample-69	Sample-7	Sample-70	Sample-71	Sample-72	Sample-73	Sample-74	Sample-75	Sample-76	Sample-77	Sample-78	Sample-79	Sample-8	Sample-80	Sample-81	Sample-83	Sample-9	Taxon_Rescript	Phylum	Class	Order	Family	Genus	Species	Confidence	BLAST
656f3f26a0ee660b37763bc14102ff94	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	56087	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	728214	0	0	0	0	0	525168	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	k__Metazoa	 Chordata	 Actinopteri	 Gadiformes	 Gadidae	 Gadus		0.899514438659279	
4adfe721c116602e976780c0c840eedb	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1008228	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	k__Metazoa	 Chordata	 Actinopteri	 Osmeriformes	 Salangidae	 Mallotus	 villosus	0.999928361000797	
71fcb2c00400ea834685748d88996fb5	0	0	0	0	0	0	0	0	0	0	0	0	0	889349	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	k__Metazoa	 Chordata	 Actinopteri	 Perciformes	 Zoarcidae			0.999732501198682	
d1949b93e604a4788d0cba502b75cbc2	0	0	0	0	0	0	254716	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	629685	0	0	0	0	0	0	0	0	0	0	k__Metazoa	 Chordata	 Chondrichthyes	 Lamniformes	 Alopiidae	 Alopias		0.793346372643677	
e21b1493ee36f00101d65edb14dd4c95	0	0	0	0	0	0	65	0	0	0	0	0	0	5219	7269	2287	0	0	0	18200	0	990	0	0	0	0	0	0	5086	0	0	0	0	0	0	0	0	0	0	0	0	238634	10529	0	0	0	0	137704	0	4342	0	0	0	34185	316	0	0	0	0	0	157432	188143	8188	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	k__Metazoa	 Chordata						0.99999999999999	
91ab386230cc277c2168b0564af00f0c	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	816798	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	k__Metazoa	 Chordata	 Actinopteri	 Pleuronectiformes	 Pleuronectidae			0.999995988510626	
a9a68a25f94156b5d4872b9c7fd201de	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	675140	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	k__Metazoa	 Chordata	 Actinopteri	 Clupeiformes	 Clupeidae	 Clupea	 harengus	0.917647663569723	
b8cc4b4fbd197a28112eea1d911a8275	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	649664	3	0	0	0	0	0	0	0	0	0	0	2367	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2737	0	0	0	0	0	0	0	0	0	0	0	0	0	750	0	0	0	0	0	0	0	0	0	0	0	0	0	0	k__Metazoa	 Chordata	 Actinopteri	 Pleuronectiformes	 Pleuronectidae			0.999999178775011	
4bce24b77551d2445bc28397cf6a3c69	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	647720	0	0	0	0	0	0	0	k__Metazoa	 Chordata	 Actinopteri	 Beloniformes	 Belonidae	 Scomberesox	 saurus	0.972887044556056	
f296f1071605e5aa4fe8e195f6c363db	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	421	47	0	0	0	0	0	525	32	0	0	0	0	0	482912	0	0	0	0	0	54	0	0	0	0	0	0	0	0	0	0	4855	0	0	0	0	0	0	0	0	0	0	5660	0	0	0	0	0	0	0	0	0	0	21552	0	0	0	0	0	k__Metazoa	 Chordata						1	
