OTU ID	962-ENEG-1	962-ENEG-2	963-ENEG-1	963-ENEG-2	964-ENEG-1	964-ENEG-2	965-ENEG-1	965-ENEG-2	BBL25-521760	CAR25-518830	CAR25-518831	CAR25-518836	CAR25-518837	CAR25-518855	CAR25-518856	CAR25-518862	CAR25-518863	CAR25-518872	CAR25-518873	CAR25-518879	CAR25-518880	CAR25-518927	CAR25-518928	CAR25-519011	CAR25-519012	CAR25-519017	CAR25-519018	CAR25-519028	CAR25-519029	CAR25-519082	CAR25-519083	CAR25-519157	CAR25-519158	CAR25-519163	CAR25-519164	CAR25-519170	CAR25-519171	CAR25-519176	CAR25-519177	CAR25-519182	CAR25-519183	CAR25-519197	CAR25-519198	CAR25-519268	CAR25-519269	CAR25-519329	CAR25-519330	CAR25-519335	CAR25-519336	CAR25-519407	CAR25-519408	CAR25-519590	CAR25-519591	CAR25-519648	CAR25-519649	CAR25-FB101	CAR25-FB111	CAR25-FB114	CAR25-FB128	CAR25-FB131	CAR25-FB141	CAR25-FB144	CAR25-FB585	CAR25-FB614	CAR25-FB67	CAR25-FB72	CAR25-FB75	CAR25-FB82	CAR25-FB86	CAR25-FB98	GUL25-522118	GUL25-522119	GUL25-522134	GUL25-522135	GUL25-522163	GUL25-522164	GUL25-522169	GUL25-522185	GUL25-522186	GUL25-522192	GUL25-FB668	NEC25-521595	NEC25-521596	NEC25-521615	NEC25-521616	NEC25-521631	NEC25-521632	NEC25-521648	NEC25-521649	NEC25-521663	NEC25-521664	NEC25-521686	NEC25-521687	NEC25-521702	NEC25-521703	NEC25-FB641
b65f36cf3734dc6245a3ecb6ef835f8e	0.0	26.0	41.0	22.0	149.0	21.0	39.0	47.0	0.0	108.0	104.0	363.0	202.0	78.0	57.0	88.0	0.0	3787.0	4694.0	3006.0	2630.0	2969.0	3215.0	12916.0	17864.0	16994.0	33083.0	2938.0	1854.0	20509.0	6581.0	2283.0	4011.0	45125.0	45136.0	1100.0	3387.0	169.0	88.0	0.0	75.0	36853.0	29568.0	5517.0	6660.0	114.0	212.0	37.0	52.0	1819.0	723.0	260.0	127.0	18227.0	23692.0	44.0	25.0	54.0	0.0	29.0	51.0	0.0	0.0	51.0	25.0	28.0	59.0	76.0	0.0	18.0	7435.0	10551.0	7309.0	5209.0	0.0	0.0	14789.0	0.0	0.0	45594.0	0.0	4166.0	6058.0	16257.0	29878.0	13134.0	19960.0	33839.0	40255.0	34481.0	38200.0	45204.0	36868.0	47025.0	42348.0	31.0
ce66b2901255ff3d1f742c57739b8ac4	13.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	29.0	186.0	0.0	225.0	32.0	396.0	44.0	136.0	41.0	136.0	20.0	478.0	30.0	19.0	0.0	0.0	1385.0	163.0	297.0	151.0	0.0	10076.0	229771.0	78982.0	18.0	33375.0	670.0	0.0	6148.0	101.0	7972.0	85.0	2332.0	84.0	2506.0	0.0	752.0	0.0	305.0	0.0	140.0	52.0	59.0	0.0	93.0	0.0	28.0	0.0	0.0	0.0	0.0	51.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	55.0	0.0	0.0	2.0	9.0	0.0	0.0	0.0	23.0	0.0	0.0	5.0	0.0	0.0	0.0	0.0	0.0	0.0	20.0	0.0	54.0	0.0	0.0	0.0	0.0	41.0
d5f5f8bb6d7d4c082f4c9ee44f0eae7a	22.0	14.0	9.0	0.0	21.0	0.0	0.0	0.0	0.0	6624.0	7251.0	12462.0	10229.0	3033.0	4911.0	7515.0	9862.0	9779.0	8276.0	14017.0	10645.0	154.0	921.0	2151.0	2539.0	2223.0	3995.0	11390.0	11217.0	9781.0	2569.0	8275.0	9312.0	2896.0	2511.0	1967.0	5743.0	11782.0	10823.0	9542.0	13995.0	1317.0	1678.0	5111.0	8540.0	4992.0	6910.0	8549.0	4917.0	870.0	0.0	14558.0	16295.0	1083.0	1553.0	21.0	0.0	0.0	0.0	0.0	14.0	0.0	0.0	26.0	0.0	0.0	6.0	0.0	12.0	0.0	472.0	347.0	364.0	382.0	0.0	0.0	0.0	0.0	0.0	407.0	0.0	12445.0	12881.0	1514.0	1709.0	641.0	922.0	2371.0	2905.0	3190.0	3743.0	4026.0	3555.0	2019.0	1814.0	9.0
8343389a4010a5e394664a0a2b693a79	21.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	263.0	241.0	295.0	98.0	2804.0	4943.0	4600.0	7988.0	10142.0	16063.0	46.0	0.0	5186.0	1687.0	0.0	0.0	3096.0	2898.0	0.0	0.0	0.0	0.0	0.0	0.0	10891.0	9441.0	2740.0	3742.0	546.0	948.0	0.0	0.0	5952.0	4571.0	0.0	0.0	3046.0	5128.0	0.0	0.0	0.0	14.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	9200.0	17048.0	11796.0	13211.0	3922.0	3011.0	27205.0	135.0	0.0	24961.0	0.0	133.0	144.0	4401.0	8096.0	4040.0	6041.0	12209.0	11344.0	10880.0	12646.0	9512.0	7656.0	9623.0	8772.0	0.0
961c71646a0d7f3cd59e2e0ba3d5867c	13.0	0.0	9.0	0.0	26.0	9.0	0.0	0.0	9.0	3156.0	3138.0	5000.0	3787.0	3079.0	6561.0	4747.0	7928.0	3705.0	3592.0	3752.0	3548.0	723.0	1373.0	1856.0	2473.0	1792.0	2783.0	5821.0	5716.0	4589.0	1297.0	5758.0	6248.0	4421.0	3992.0	2169.0	4762.0	5720.0	5641.0	3050.0	5917.0	2400.0	1601.0	3841.0	5854.0	3359.0	4697.0	6366.0	4213.0	161.0	18.0	11874.0	14015.0	2849.0	4442.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	9.0	0.0	0.0	6.0	0.0	20.0	0.0	0.0	1472.0	4040.0	878.0	878.0	0.0	0.0	3689.0	12.0	0.0	4528.0	0.0	8121.0	5834.0	3580.0	3194.0	2133.0	3207.0	4437.0	5940.0	6805.0	6841.0	8504.0	9025.0	7660.0	7715.0	7.0
5d588c3f1094cc434d07e90a563a6076	0.0	0.0	0.0	0.0	23.0	0.0	0.0	0.0	0.0	25.0	49.0	20.0	123.0	20.0	0.0	0.0	0.0	476.0	1025.0	374.0	543.0	2406.0	4907.0	2152.0	2368.0	2710.0	6514.0	179.0	350.0	14346.0	4871.0	712.0	1422.0	5217.0	3816.0	1001.0	1781.0	14.0	12.0	0.0	16.0	29778.0	28889.0	3992.0	4014.0	1039.0	1430.0	48.0	0.0	3865.0	2903.0	55.0	67.0	15102.0	19591.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	15.0	0.0	0.0	15.0	0.0	0.0	0.0	2355.0	2182.0	746.0	1446.0	212.0	0.0	4786.0	0.0	0.0	7809.0	0.0	2187.0	2240.0	2231.0	2980.0	3144.0	3639.0	4157.0	5152.0	4922.0	6088.0	7103.0	6945.0	8610.0	8917.0	0.0
c0a76ba30d1d33b9764110e7b86a0975	13.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	56.0	16106.0	23441.0	18718.0	11671.0	6260.0	6703.0	15731.0	12691.0	4712.0	5060.0	11405.0	9542.0	42.0	133.0	841.0	576.0	1257.0	2174.0	3761.0	3891.0	131.0	41.0	1125.0	2112.0	373.0	941.0	1910.0	7189.0	7398.0	8521.0	4334.0	3157.0	13.0	97.0	820.0	947.0	996.0	613.0	1394.0	1281.0	298.0	24.0	3180.0	3617.0	78.0	89.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	16.0	0.0	0.0	0.0	0.0	0.0	0.0	69.0	121.0	11.0	35.0	140.0	82.0	145.0	253.0	146.0	35.0	0.0	4687.0	8652.0	574.0	975.0	323.0	507.0	733.0	1005.0	917.0	1264.0	588.0	548.0	192.0	194.0	0.0
e025138174e829a2042f8fb6c059568a	18.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	10686.0	11111.0	11719.0	11419.0	9592.0	10756.0	4556.0	3756.0	3625.0	4476.0	7335.0	9224.0	0.0	489.0	1013.0	1297.0	1892.0	2782.0	1833.0	1511.0	1919.0	715.0	3004.0	3538.0	1251.0	1315.0	3098.0	7324.0	2835.0	4055.0	1424.0	3270.0	1292.0	1054.0	1292.0	2414.0	1387.0	1435.0	2567.0	3119.0	0.0	0.0	9634.0	14302.0	1344.0	1330.0	10.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	13.0	0.0	0.0	144.0	546.0	180.0	57.0	0.0	84.0	0.0	0.0	58.0	725.0	0.0	4911.0	4882.0	1648.0	2212.0	870.0	1489.0	2283.0	2587.0	3452.0	3275.0	1937.0	2415.0	1748.0	1301.0	23.0
ddd7cb88faf0567d6cbd6eab320bbb74	0.0	0.0	12.0	0.0	25.0	0.0	0.0	0.0	252.0	22595.0	14805.0	12807.0	15540.0	5735.0	8016.0	7397.0	6474.0	5007.0	6957.0	9984.0	12155.0	157.0	0.0	505.0	761.0	979.0	1231.0	3194.0	4264.0	0.0	0.0	1066.0	996.0	1153.0	845.0	609.0	2649.0	3392.0	3376.0	1127.0	825.0	0.0	0.0	628.0	656.0	533.0	183.0	450.0	245.0	274.0	0.0	2830.0	2714.0	136.0	0.0	12.0	0.0	0.0	0.0	72.0	9.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	166.0	154.0	255.0	212.0	225.0	0.0	81.0	18.0	30.0	128.0	0.0	10341.0	15207.0	1599.0	2892.0	1424.0	2463.0	3081.0	2549.0	3161.0	3432.0	1860.0	2244.0	612.0	518.0	0.0
7979ffacd0146e0d657d6372a229cbf5	0.0	0.0	11.0	0.0	0.0	0.0	0.0	0.0	0.0	912.0	1141.0	1952.0	1378.0	164.0	210.0	344.0	253.0	2697.0	2804.0	1599.0	1071.0	284.0	802.0	3145.0	2072.0	2523.0	3721.0	3511.0	2712.0	2673.0	980.0	6338.0	7111.0	7460.0	8535.0	2823.0	4417.0	3140.0	3867.0	3412.0	5948.0	2038.0	2565.0	3353.0	6428.0	2457.0	4250.0	3106.0	2508.0	14595.0	8202.0	3222.0	3246.0	1262.0	3201.0	0.0	0.0	0.0	0.0	8.0	0.0	0.0	0.0	12.0	0.0	0.0	10.0	10.0	12.0	0.0	800.0	1141.0	1194.0	1319.0	429.0	142.0	1974.0	0.0	0.0	1373.0	4.0	2978.0	3014.0	1110.0	2960.0	1666.0	1167.0	2890.0	3681.0	2994.0	3997.0	4880.0	5853.0	4749.0	5439.0	0.0
22acb84ee29a49c0d7b15514f3e79cb1	12.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3631.0	4230.0	4227.0	4399.0	2329.0	3884.0	7902.0	6925.0	4649.0	4667.0	3753.0	3822.0	239.0	423.0	251.0	342.0	478.0	517.0	6592.0	6169.0	920.0	276.0	9322.0	10433.0	6228.0	5034.0	2072.0	3535.0	7549.0	8376.0	13685.0	20073.0	776.0	901.0	2873.0	4322.0	1812.0	2913.0	3875.0	5325.0	945.0	330.0	6561.0	5089.0	116.0	598.0	0.0	10.0	0.0	0.0	0.0	0.0	34.0	0.0	0.0	0.0	9.0	0.0	0.0	0.0	0.0	154.0	272.0	82.0	0.0	0.0	0.0	277.0	0.0	0.0	0.0	0.0	3943.0	3104.0	250.0	574.0	149.0	218.0	334.0	374.0	459.0	479.0	390.0	381.0	446.0	416.0	0.0
cf290cb9037c01eabd65337f0baa65b4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	23.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	19.0	0.0	0.0	0.0	0.0	0.0	21.0	0.0	0.0	0.0	0.0	30.0	0.0	181489.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	22.0	0.0	0.0	31.0	0.0	0.0	0.0	85.0	0.0	58.0	0.0	0.0	0.0	14.0	0.0	0.0	0.0	0.0	69.0	0.0	21.0	0.0	0.0	0.0	19.0	35.0	0.0	0.0	0.0	0.0	37.0	0.0	0.0	48.0	0.0	16.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
fa36575c71f84cc0e31cb9cb96357cae	10.0	0.0	0.0	0.0	16.0	0.0	0.0	0.0	0.0	280.0	139.0	218.0	194.0	0.0	13.0	26.0	25.0	1417.0	1854.0	120.0	58.0	48974.0	110783.0	97.0	386.0	0.0	1039.0	129.0	126.0	0.0	0.0	0.0	0.0	25.0	18.0	20.0	33.0	0.0	3.0	0.0	0.0	14.0	0.0	46.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	79.0	0.0	0.0	0.0	35.0	0.0	0.0	0.0	0.0	0.0	0.0	25.0	0.0	0.0	0.0	10.0	0.0	21.0	0.0	0.0	0.0	0.0	0.0	0.0	66.0	0.0	0.0	0.0	0.0	24.0	47.0	41.0	0.0	0.0	0.0	0.0	26.0	11.0	65.0	98.0	382.0	306.0	295.0	0.0
7187e98d421d4cb77ea3488ba42fdd3a	0.0	0.0	0.0	0.0	21.0	0.0	0.0	8.0	0.0	1049.0	1114.0	1634.0	1615.0	603.0	976.0	3191.0	3169.0	3368.0	4445.0	5839.0	5766.0	516.0	434.0	1346.0	2704.0	1533.0	2317.0	5327.0	7525.0	4594.0	1361.0	1842.0	2439.0	2633.0	2408.0	966.0	2626.0	1952.0	1393.0	713.0	1274.0	4146.0	4850.0	925.0	1024.0	2413.0	3675.0	1300.0	1212.0	4456.0	3281.0	2960.0	2884.0	2179.0	2836.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	11.0	0.0	0.0	1271.0	1408.0	368.0	195.0	0.0	0.0	1686.0	0.0	0.0	1594.0	0.0	3042.0	3681.0	1043.0	1821.0	975.0	1902.0	2300.0	3679.0	3239.0	2926.0	4209.0	3837.0	4439.0	3676.0	0.0
