Species,confidence,ENEG.1_S19,ENEG.1_S30,ENEG.1_S41,ENEG.2_S38,ENEG.2_S43,ENEG.2_S65,KEJI.1,KEJI.2,KEJI.3,KEJI.4,MCRG24.001,MCRG24.002,MCRG24.003,MCRG24.004,MCRG24.005,MCRG24.006,MCRG24.007,MCRG24.008,MCRG24.009,MCRG24.010,MCRG24.011,MCRG24.012,MCRG24.013,MCRG24.014,MCRG24.015,MCRG24.016,MCRG24.017,MCRG24.018,MCRG24.019,MCRG24.020,MCRG24.021,MCRG24.022,MCRG24.023,MCRG24.024,MCRG24.025,MCRG24.026,MCRG24.027,MCRG24.028,MCRG24.029,MCRG24.030,MCRG24.032,MCRG24.033,MCRG24.034,MCRG24.036,MCRG24.037,MCRG24.038,MCRG24.039,MCRG24.040,MCRG24.041,MCRG24.042,MCRG24.043,MCRG24.044,MCRG24.045,MCRG24.046,MCRG24.048,MCRG24.049,MCRG24.050,MCRG24.051,MCRG24.052,MCRG24.053,MCRG24.054,MCRG24.055,MCRG24.056,MCRG24.057,MCRG24.058,MCRG24.059,MCRG24.060
Eurytemora_herdmani,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,445,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Eurytemora_herdmani,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1751,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Eurytemora_herdmani,1,0,0,0,0,0,0,0,0,0,0,568,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Eurytemora_herdmani,1,0,0,0,0,0,0,0,0,0,0,137,11,45,425,0,0,0,0,179,25,11,0,0,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56,21,49,8,0,0,0,0,0,0,20,204,18,0,0,24,20,0,0,29,0,0
Chondrus_crispus,1,0,0,0,0,0,0,20,25,0,0,0,0,0,0,80,25,8,0,100,65,41,0,26,21,0,0,0,656,610,3,59,37,27,0,162,94,164,0,44,0,0,109,0,0,0,41,49,79,0,0,0,0,0,0,0,0,0,0,0,9,195,109,0,0,0,0,0
Chondrus_crispus,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,108,60,80,0,57,0,0,0,0,60,47,0,0,83,0,0,0,82,80,0,0,47,0,0,0,70,0,0,0,0,0,0,0,0,0,0,0,0,13,7,0,0,0,0,0,0,0,0,0,0,52,38,0
Chondrus_crispus,1,0,0,0,0,0,0,0,0,25,0,8,46,48,0,162,72,54,0,81,79,34,0,34,0,0,0,0,432,431,0,0,62,83,0,236,232,257,0,0,0,0,0,0,0,0,0,0,49,3,24,56,0,0,0,0,0,0,0,0,0,75,50,0,0,0,0,0
Dichomeris_punctipennella,0.98,0,0,0,0,0,0,15,11,25,1248,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Micromonas_pusilla,0.98,0,0,0,0,0,0,0,0,0,0,0,0,200,0,173,197,260,0,109,0,0,0,287,288,148,0,0,437,411,0,134,135,139,0,440,338,484,0,0,0,0,0,0,0,0,123,169,101,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Micromonas_pusilla,0.98,28,52,151,54,145,58,678,854,1103,139,16012,14008,31483,76,29760,35718,42175,87,18618,14184,18727,82,50827,54261,22319,89,173,65844,57900,202,28003,31669,33742,83,81089,71163,89684,154,10335,26019,77,8961,104,110,119,22339,26944,20473,94,237,396,90,74,117,109,286,188,201,148,135,516,572,143,85,180,312,104
Micromonas_pusilla,0.99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,241,372,376,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Micromonas_pusilla,0.98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,215,209,292,0,0,0,0,0,0,0,0,0,0,753,857,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Micromonas_pusilla,1,0,24,0,0,0,0,11571,19753,19572,0,0,0,0,0,87,67,72,0,0,0,0,0,0,0,0,0,0,0,0,21,691,724,803,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,118,158,0,55,76,0,36,28,22,9,10,93,112,0,0,59,51,0
Micromonas_pusilla,0.99,0,0,0,0,0,0,0,84,57,0,0,0,0,0,126,109,111,0,0,0,0,0,0,0,0,0,0,0,0,0,603,690,762,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,297,384,0,0,46,0,72,62,53,0,0,133,161,0,11,120,106,0
