OTU ID	962-ENEG-1	962-ENEG-2	963-ENEG-1	963-ENEG-2	964-ENEG-1	964-ENEG-2	965-ENEG-1	965-ENEG-2	BBL25-521760	CAR25-518830	CAR25-518831	CAR25-518836	CAR25-518837	CAR25-518855	CAR25-518856	CAR25-518862	CAR25-518863	CAR25-518872	CAR25-518873	CAR25-518879	CAR25-518880	CAR25-518927	CAR25-518928	CAR25-519011	CAR25-519012	CAR25-519017	CAR25-519018	CAR25-519028	CAR25-519029	CAR25-519082	CAR25-519083	CAR25-519157	CAR25-519158	CAR25-519163	CAR25-519164	CAR25-519170	CAR25-519171	CAR25-519176	CAR25-519177	CAR25-519182	CAR25-519183	CAR25-519197	CAR25-519198	CAR25-519268	CAR25-519269	CAR25-519329	CAR25-519330	CAR25-519335	CAR25-519336	CAR25-519407	CAR25-519408	CAR25-519590	CAR25-519591	CAR25-519648	CAR25-519649	CAR25-FB101	CAR25-FB111	CAR25-FB114	CAR25-FB128	CAR25-FB131	CAR25-FB141	CAR25-FB144	CAR25-FB585	CAR25-FB614	CAR25-FB67	CAR25-FB72	CAR25-FB75	CAR25-FB82	CAR25-FB86	CAR25-FB98	GUL25-522118	GUL25-522119	GUL25-522134	GUL25-522135	GUL25-522163	GUL25-522164	GUL25-522169	GUL25-522185	GUL25-522186	GUL25-522192	GUL25-FB668	NEC25-521595	NEC25-521596	NEC25-521615	NEC25-521616	NEC25-521631	NEC25-521632	NEC25-521648	NEC25-521649	NEC25-521663	NEC25-521664	NEC25-521686	NEC25-521687	NEC25-521702	NEC25-521703	NEC25-FB641
38acb38ed5e40b4358247227bc8ef2e1	284.0	307.0	213.0	34.0	334.0	21.0	45.0	0.0	182.0	196164.0	120525.0	146777.0	78421.0	68366.0	31562.0	24786.0	3398.0	20753.0	14836.0	23897.0	36751.0	147.0	138.0	0.0	158.0	91.0	481.0	64464.0	19959.0	0.0	0.0	169.0	396.0	76.0	0.0	6940.0	0.0	0.0	0.0	0.0	0.0	67.0	143.0	0.0	210.0	233.0	0.0	243.0	571.0	193.0	93.0	0.0	21227.0	115.0	119.0	107.0	61.0	123.0	19.0	86.0	28.0	79.0	97.0	39.0	58.0	58.0	44.0	70.0	183.0	0.0	56.0	0.0	115.0	0.0	31.0	0.0	0.0	0.0	77.0	272.0	21.0	46371.0	110393.0	120.0	130.0	136.0	104.0	107.0	83.0	129.0	0.0	100.0	156.0	218.0	7966.0	245.0
1fd6ab0753431abb0109e3af7af56a60	44.0	69.0	53.0	355.0	182.0	31.0	44.0	27.0	81.0	86.0	42774.0	41.0	9441.0	41321.0	58506.0	0.0	5167.0	172.0	22580.0	20463.0	23031.0	40.0	10862.0	1192.0	12270.0	5.0	41510.0	2493.0	841.0	760.0	5099.0	44563.0	5739.0	54.0	3114.0	1498.0	112.0	7.0	25.0	4881.0	130.0	424.0	69.0	567.0	32525.0	6489.0	21923.0	77.0	3473.0	90.0	12.0	1484.0	24604.0	4651.0	0.0	0.0	862.0	56.0	1399.0	161.0	65.0	5888.0	1270.0	723.0	17683.0	6719.0	42.0	1246.0	10015.0	93005.0	430.0	78.0	0.0	28.0	91.0	251.0	2637.0	8720.0	17.0	64.0	88.0	1911.0	41.0	192877.0	2239.0	18.0	85.0	25.0	1197.0	882.0	62.0	25779.0	26.0	1899.0	3281.0	95941.0
b962a5ceedd109d8dfe3c105d5ff3403	0.0	63.0	48.0	0.0	64.0	19.0	19.0	0.0	56.0	63.0	0.0	22393.0	6768.0	25194.0	27954.0	9.0	24.0	128781.0	89310.0	44477.0	5596.0	58.0	7.0	53.0	12.0	63.0	172.0	16867.0	21.0	36.0	5782.0	0.0	0.0	7847.0	13159.0	3584.0	8429.0	38.0	30.0	0.0	62.0	31075.0	73529.0	0.0	69.0	16.0	0.0	9224.0	7724.0	168.0	29.0	20.0	57.0	60807.0	12358.0	11.0	0.0	23.0	25.0	8.0	18.0	0.0	0.0	14.0	4.0	0.0	19.0	18.0	24.0	0.0	0.0	18866.0	53.0	36.0	0.0	40.0	8.0	75.0	29.0	105.0	0.0	0.0	58.0	13.0	22.0	40.0	0.0	26.0	121.0	26.0	52.0	60.0	48.0	32.0	9.0	0.0
c703047e8ce28ce42edada4d93e96010	33.0	46.0	83.0	32.0	135.0	0.0	75.0	22.0	117.0	22.0	0.0	96.0	42.0	0.0	67.0	35.0	69.0	12803.0	94.0	38002.0	33.0	80.0	32.0	71.0	35.0	26.0	48.0	0.0	12266.0	113.0	33.0	72.0	23.0	0.0	21863.0	21.0	48.0	14828.0	0.0	6010.0	44.0	0.0	0.0	0.0	39.0	14.0	38.0	0.0	43.0	20.0	0.0	54.0	46.0	48.0	23.0	29.0	0.0	0.0	32.0	38.0	63.0	0.0	0.0	0.0	35.0	34.0	148.0	36.0	50.0	319.0	44.0	188.0	48.0	71.0	34.0	94.0	63.0	144.0	6.0	0.0	13.0	22517.0	27111.0	13136.0	40.0	31917.0	20060.0	0.0	32725.0	28269.0	56958.0	44758.0	53113.0	68896.0	36619.0	41.0
096cc69d7649e47ed2c2511d4d94d07f	7.0	0.0	71.0	65.0	0.0	34.0	0.0	0.0	13.0	0.0	51.0	0.0	0.0	11.0	6.0	0.0	0.0	0.0	0.0	0.0	55.0	35.0	14.0	0.0	0.0	74.0	0.0	100.0	8.0	74.0	80.0	0.0	9598.0	37948.0	7800.0	11.0	86.0	153203.0	178264.0	0.0	0.0	64.0	14.0	33.0	0.0	0.0	0.0	58.0	0.0	163.0	0.0	0.0	17.0	10887.0	13383.0	0.0	41.0	0.0	0.0	22.0	0.0	0.0	75.0	6.0	0.0	32.0	0.0	0.0	2.0	0.0	5.0	3.0	14.0	5.0	0.0	198.0	9.0	0.0	60.0	0.0	0.0	0.0	1267.0	1688.0	2966.0	0.0	0.0	212.0	0.0	10.0	11.0	5437.0	0.0	0.0	7.0	0.0
2c5049e480840ffc784d92312c30e5e8	0.0	9.0	23.0	22.0	0.0	75.0	0.0	0.0	23.0	0.0	0.0	9.0	0.0	152.0	0.0	0.0	0.0	8029.0	38.0	0.0	23.0	31.0	0.0	26.0	0.0	32.0	13.0	22946.0	2425.0	24239.0	85258.0	9441.0	4.0	34.0	0.0	12.0	88.0	47.0	36.0	0.0	40.0	33.0	245.0	0.0	49886.0	22.0	0.0	0.0	1534.0	76428.0	37424.0	56906.0	91.0	19486.0	33.0	0.0	0.0	16.0	29.0	57.0	0.0	20.0	10.0	0.0	10.0	0.0	0.0	9.0	0.0	0.0	24.0	161.0	11.0	31.0	28.0	27.0	0.0	22.0	62.0	78.0	29.0	10.0	0.0	16.0	40.0	12.0	627.0	10.0	57.0	22.0	83.0	51.0	27.0	0.0	0.0	26.0
9ec59d34518dd26b59953acb12f41397	0.0	0.0	0.0	23.0	66.0	39.0	28.0	27.0	46.0	10.0	61.0	42.0	0.0	31.0	21.0	34.0	14.0	114.0	10.0	43.0	44.0	60.0	0.0	19.0	30.0	33.0	38.0	3089.0	0.0	17469.0	18517.0	9970.0	0.0	0.0	4909.0	1412.0	71.0	12445.0	5247.0	32070.0	0.0	14774.0	13163.0	15.0	43.0	0.0	19.0	10.0	37.0	88.0	13.0	40.0	0.0	8613.0	0.0	30.0	0.0	30.0	19.0	17.0	28.0	12.0	0.0	9.0	21.0	33.0	38.0	17.0	37.0	21.0	40.0	0.0	0.0	8.0	16.0	50.0	22.0	16.0	22.0	0.0	15.0	8304.0	9512.0	12499.0	64543.0	0.0	22.0	0.0	0.0	25521.0	7646.0	3722.0	31.0	47917.0	41681.0	10.0
8475e7b34403b31143aa9f25a21960ff	0.0	0.0	0.0	0.0	0.0	0.0	0.0	44.0	0.0	15441.0	0.0	0.0	0.0	50606.0	30057.0	13569.0	18629.0	0.0	21361.0	8549.0	11842.0	0.0	0.0	115.0	0.0	0.0	0.0	22453.0	0.0	28.0	132.0	0.0	0.0	0.0	36.0	2577.0	16847.0	7617.0	9641.0	10090.0	103.0	0.0	0.0	0.0	0.0	0.0	15978.0	0.0	0.0	0.0	0.0	7264.0	26376.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	17.0	0.0	82.0	0.0	54.0	0.0	50.0	75.0	38.0	0.0	0.0	0.0	31122.0	34460.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	77.0	0.0	0.0	0.0	0.0	0.0
7328d150d9ffface36478e0e527fb1a2	0.0	58.0	54.0	35.0	12.0	0.0	21.0	0.0	0.0	26.0	0.0	1896.0	1383.0	57.0	4531.0	0.0	31.0	0.0	627.0	4773.0	1494.0	0.0	0.0	12.0	0.0	25.0	0.0	1493.0	0.0	0.0	31.0	25.0	25.0	28.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	10.0	64.0	0.0	100.0	7793.0	0.0	0.0	414.0	0.0	9.0	3200.0	0.0	39.0	0.0	0.0	0.0	0.0	14.0	67.0	0.0	0.0	55.0	5.0	32.0	0.0	25.0	43.0	0.0	9.0	12.0	90.0	7.0	37.0	0.0	0.0	0.0	39.0	0.0	17.0	25.0	4394.0	0.0	48.0	0.0	14118.0	31545.0	19545.0	25160.0	90629.0	102722.0	9101.0	29.0	0.0	0.0	75.0
2eed2dfd6607b82fa863514b56ecf27a	0.0	0.0	0.0	12.0	0.0	19.0	0.0	10.0	0.0	30.0	0.0	0.0	0.0	31.0	0.0	0.0	0.0	0.0	66.0	0.0	26.0	82.0	3784.0	0.0	0.0	19.0	31.0	102224.0	47223.0	110312.0	37296.0	0.0	0.0	24.0	8.0	0.0	64.0	84.0	38.0	0.0	0.0	28.0	0.0	57.0	6.0	36.0	0.0	21.0	0.0	79.0	0.0	0.0	33.0	0.0	24.0	0.0	0.0	0.0	0.0	12332.0	0.0	0.0	0.0	2602.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	63.0	0.0	18.0	0.0	20.0	26.0	21.0	34.0	49.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	31.0	21.0	17.0	0.0	0.0	12.0
